"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"28,2";"29,5";"27,9";"51,0";"56,0";"49,0";"17,2";"19,0";"16,8";"977,5";"977,5";"975,2";"0,8";"69,0";"2,3";"";"0,0"
"01/01/2022";"0100";"28,0";"28,6";"27,9";"51,0";"53,0";"48,0";"16,9";"17,5";"16,5";"983,4";"983,4";"977,5";"0,7";"90,0";"2,5";"";"0,0"
"01/01/2022";"0200";"26,5";"28,0";"26,2";"58,0";"59,0";"51,0";"17,6";"17,9";"16,6";"984,9";"984,9";"983,4";"1,4";"93,0";"2,9";"";"0,0"
"01/01/2022";"0300";"26,4";"28,2";"25,9";"59,0";"61,0";"51,0";"17,6";"18,0";"16,8";"988,2";"988,2";"984,9";"1,0";"77,0";"4,9";"";"0,0"
"01/01/2022";"0400";"24,9";"26,4";"23,9";"68,0";"70,0";"59,0";"18,4";"18,5";"17,5";"986,5";"988,4";"986,4";"1,7";"118,0";"3,5";"";"0,0"
"01/01/2022";"0500";"23,1";"24,9";"22,9";"74,0";"74,0";"66,0";"18,1";"18,3";"17,7";"986,5";"986,9";"986,5";"1,7";"147,0";"4,0";"";"0,0"
"01/01/2022";"0600";"21,7";"23,6";"21,7";"80,0";"80,0";"71,0";"18,0";"18,2";"17,8";"985,1";"986,6";"985,1";"0,9";"154,0";"3,4";"";"0,0"
"01/01/2022";"0700";"20,8";"21,8";"20,6";"84,0";"84,0";"79,0";"18,0";"18,2";"17,7";"984,5";"985,2";"984,5";"1,1";"129,0";"2,4";"";"0,0"
"01/01/2022";"0800";"21,4";"21,6";"20,2";"80,0";"87,0";"79,0";"17,7";"18,3";"17,5";"986,9";"986,9";"984,5";"1,5";"126,0";"3,0";"";"0,0"
"01/01/2022";"0900";"20,0";"21,6";"20,0";"86,0";"86,0";"79,0";"17,5";"17,9";"17,3";"988,1";"988,1";"986,9";"0,8";"168,0";"3,0";"3,60";"0,0"
"01/01/2022";"1000";"22,6";"22,7";"20,0";"77,0";"86,0";"76,0";"18,3";"18,9";"17,6";"997,1";"997,1";"988,1";"0,9";"119,0";"2,6";"247,10";"0,0"
"01/01/2022";"1100";"26,5";"26,8";"22,6";"64,0";"77,0";"61,0";"19,0";"19,4";"18,4";"1003,8";"1003,8";"997,1";"1,1";"83,0";"2,6";"911,30";"0,0"
