"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"24,7";"26,1";"24,7";"61,0";"61,0";"58,0";"16,7";"17,2";"16,7";"979,5";"979,5";"978,8";"4,4";"57,0";"9,7";"";"0,0"
"01/01/2022";"0100";"23,3";"24,7";"23,2";"67,0";"68,0";"61,0";"16,9";"17,0";"16,6";"980,1";"980,1";"979,5";"3,2";"40,0";"7,3";"";"0,0"
"01/01/2022";"0200";"21,7";"23,4";"21,5";"77,0";"77,0";"67,0";"17,4";"17,4";"16,6";"980,4";"980,4";"980,0";"2,4";"109,0";"5,4";"";"0,0"
"01/01/2022";"0300";"20,4";"22,2";"20,4";"80,0";"80,0";"74,0";"16,9";"17,5";"16,9";"980,2";"980,5";"980,2";"2,4";"107,0";"4,0";"";"0,0"
"01/01/2022";"0400";"19,5";"21,0";"19,3";"83,0";"84,0";"78,0";"16,5";"17,5";"15,8";"979,8";"980,2";"979,8";"2,9";"113,0";"4,1";"";"0,0"
"01/01/2022";"0500";"20,6";"20,6";"18,7";"80,0";"88,0";"80,0";"17,0";"17,5";"16,1";"979,6";"980,0";"979,6";"3,4";"79,0";"6,4";"";"0,0"
"01/01/2022";"0600";"20,0";"20,5";"19,9";"82,0";"82,0";"79,0";"16,8";"16,8";"16,4";"979,5";"979,7";"979,5";"3,2";"39,0";"7,0";"";"0,0"
"01/01/2022";"0700";"19,5";"20,2";"19,5";"84,0";"84,0";"81,0";"16,7";"17,0";"16,6";"979,3";"979,5";"979,3";"2,2";"81,0";"5,8";"";"0,0"
"01/01/2022";"0800";"19,3";"19,6";"19,1";"85,0";"86,0";"84,0";"16,7";"17,0";"16,5";"979,4";"979,4";"979,2";"2,9";"68,0";"4,6";"";"0,0"
"01/01/2022";"0900";"19,3";"19,5";"19,1";"84,0";"85,0";"83,0";"16,5";"16,8";"16,3";"979,3";"979,4";"979,3";"2,4";"77,0";"4,3";"27,20";"0,0"
"01/01/2022";"1000";"23,0";"23,0";"19,3";"69,0";"84,0";"69,0";"17,0";"17,0";"16,6";"979,7";"979,7";"979,1";"2,9";"53,0";"5,5";"449,50";"0,0"
