"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"22,3";"22,5";"20,7";"75,0";"87,0";"75,0";"17,6";"18,7";"17,6";"958,1";"958,1";"957,5";"";"";"";"";"0,0"
"01/01/2022";"0100";"22,5";"22,7";"21,7";"71,0";"78,0";"71,0";"17,0";"17,7";"17,0";"958,6";"958,6";"958,1";"";"";"";"";"0,0"
"01/01/2022";"0200";"23,3";"23,4";"22,1";"62,0";"73,0";"62,0";"15,6";"17,1";"15,6";"958,7";"958,8";"958,6";"";"";"";"";"0,0"
"01/01/2022";"0300";"21,9";"23,8";"21,9";"69,0";"69,0";"56,0";"15,9";"15,9";"14,5";"959,0";"959,0";"958,6";"";"";"";"";"0,0"
"01/01/2022";"0400";"19,9";"21,9";"19,6";"88,0";"88,0";"69,0";"17,8";"18,0";"16,0";"958,6";"959,1";"958,6";"";"";"";"";"0,0"
"01/01/2022";"0500";"21,0";"21,0";"19,9";"79,0";"88,0";"79,0";"17,1";"18,0";"17,1";"958,1";"958,7";"958,1";"";"";"";"";"0,0"
"01/01/2022";"0600";"19,9";"21,0";"19,9";"83,0";"84,0";"79,0";"16,9";"17,4";"16,9";"958,1";"958,1";"958,0";"";"";"";"";"0,0"
"01/01/2022";"0700";"20,7";"20,7";"19,7";"72,0";"83,0";"72,0";"15,5";"17,0";"15,5";"957,9";"958,1";"957,8";"";"";"";"";"0,0"
"01/01/2022";"0800";"20,5";"20,9";"20,4";"71,0";"72,0";"70,0";"15,2";"15,6";"15,1";"958,1";"958,1";"957,9";"";"";"";"";"0,0"
"01/01/2022";"0900";"20,9";"20,9";"20,3";"69,0";"71,0";"69,0";"15,0";"15,2";"14,8";"958,3";"958,3";"958,0";"";"";"";"24,00";"0,0"
"01/01/2022";"1000";"23,1";"23,1";"20,9";"62,0";"69,0";"62,0";"15,5";"15,7";"14,9";"958,5";"958,5";"958,2";"";"";"";"489,30";"0,0"
"01/01/2022";"1100";"24,4";"24,5";"23,1";"61,0";"63,0";"58,0";"16,4";"16,5";"15,1";"959,0";"959,0";"958,4";"";"";"";"1323,70";"0,0"
"01/01/2022";"1200";"25,8";"26,7";"24,4";"59,0";"62,0";"57,0";"17,2";"18,5";"16,4";"959,3";"959,6";"959,0";"";"";"";"2146,70";"0,0"
"01/01/2022";"1300";"28,2";"28,6";"25,8";"55,0";"62,0";"52,0";"18,4";"18,8";"17,3";"959,6";"959,6";"959,3";"";"";"";"2852,50";"0,0"
"01/01/2022";"1400";"29,9";"30,7";"27,8";"50,0";"55,0";"46,0";"18,3";"18,9";"17,3";"959,4";"959,6";"959,4";"";"";"";"3415,90";"0,0"
"01/01/2022";"1500";"32,1";"32,7";"29,9";"34,0";"50,0";"31,0";"14,3";"18,7";"12,9";"959,4";"959,4";"959,2";"";"";"";"3773,40";"0,0"
"01/01/2022";"1600";"32,7";"34,1";"32,0";"25,0";"35,0";"24,0";"10,0";"14,9";"9,8";"958,7";"959,4";"958,7";"";"";"";"3977,90";"0,0"
