"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"17,2";"18,3";"17,2";"100,0";"100,0";"91,0";"17,2";"17,3";"16,3";"896,2";"896,2";"895,7";"1,5";"62,0";"5,4";"";"0,0"
"01/01/2022";"0100";"16,9";"17,2";"16,9";"100,0";"100,0";"100,0";"16,9";"17,2";"16,9";"896,4";"896,5";"896,1";"2,1";"74,0";"4,7";"";"0,0"
"01/01/2022";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"0300";"16,0";"16,1";"15,9";"100,0";"100,0";"100,0";"16,0";"16,1";"15,9";"896,1";"896,5";"896,1";"1,2";"25,0";"4,6";"";"0,0"
"01/01/2022";"0400";"14,5";"16,0";"14,5";"100,0";"100,0";"100,0";"14,5";"16,0";"14,5";"895,5";"896,1";"895,5";"1,2";"342,0";"2,7";"";"0,0"
"01/01/2022";"0500";"14,7";"14,9";"14,5";"100,0";"100,0";"100,0";"14,7";"14,9";"14,5";"894,9";"895,5";"894,9";"1,9";"16,0";"3,6";"";"0,0"
"01/01/2022";"0600";"14,6";"15,1";"14,3";"100,0";"100,0";"100,0";"14,6";"15,1";"14,3";"894,6";"895,0";"894,6";"2,5";"26,0";"3,5";"";"0,0"
"01/01/2022";"0700";"15,5";"15,5";"14,6";"100,0";"100,0";"99,0";"15,5";"15,5";"14,6";"894,7";"894,8";"894,6";"1,9";"12,0";"3,6";"";"0,0"
"01/01/2022";"0800";"14,8";"15,5";"14,8";"100,0";"100,0";"100,0";"14,8";"15,5";"14,8";"895,2";"895,2";"894,7";"1,6";"10,0";"2,8";"";"0,0"
"01/01/2022";"0900";"15,0";"15,0";"14,5";"100,0";"100,0";"100,0";"15,0";"15,0";"14,5";"895,8";"895,8";"895,2";"1,7";"1,0";"2,7";"38,80";"0,0"
"01/01/2022";"1000";"15,7";"16,0";"15,0";"100,0";"100,0";"100,0";"15,7";"16,0";"15,0";"896,4";"896,4";"895,8";"2,2";"8,0";"3,2";"615,90";"0,0"
"01/01/2022";"1100";"16,6";"16,6";"15,1";"100,0";"100,0";"100,0";"16,6";"16,6";"15,1";"896,8";"896,8";"896,4";"2,8";"353,0";"4,0";"1123,30";"0,0"
"01/01/2022";"1200";"20,8";"20,8";"16,6";"78,0";"100,0";"78,0";"16,9";"18,2";"16,7";"896,7";"896,9";"896,7";"1,6";"354,0";"4,5";"2302,20";"0,0"
"01/01/2022";"1300";"23,8";"24,3";"20,8";"60,0";"79,0";"58,0";"15,6";"17,5";"15,3";"896,8";"896,9";"896,7";"2,6";"279,0";"5,5";"3044,20";"0,0"
"01/01/2022";"1400";"25,5";"25,9";"23,7";"46,0";"60,0";"42,0";"12,9";"15,9";"11,7";"896,6";"896,9";"896,6";"2,1";"336,0";"6,4";"3585,60";"0,0"
"01/01/2022";"1500";"26,8";"27,6";"25,4";"37,0";"49,0";"36,0";"10,9";"14,2";"10,5";"896,3";"896,6";"896,3";"2,8";"197,0";"9,0";"3550,70";"0,0"
"01/01/2022";"1600";"28,5";"28,8";"26,8";"33,0";"38,0";"29,0";"10,8";"11,7";"8,2";"895,9";"896,4";"895,9";"1,8";"131,0";"6,1";"4104,70";"0,0"
"01/01/2022";"1700";"28,4";"29,9";"27,2";"54,0";"55,0";"29,0";"18,1";"18,1";"9,3";"895,6";"895,9";"895,6";"3,6";"118,0";"7,4";"3659,00";"0,0"
