"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"22,6";"23,0";"20,9";"65,0";"85,0";"65,0";"15,8";"18,6";"15,7";"954,7";"954,7";"954,4";"3,4";"31,0";"4,3";"";"0,0"
"01/01/2022";"0100";"20,7";"23,4";"20,6";"75,0";"75,0";"53,0";"16,1";"16,1";"13,2";"955,5";"955,5";"954,7";"3,5";"93,0";"4,5";"";"0,0"
"01/01/2022";"0200";"20,1";"20,8";"20,0";"85,0";"86,0";"75,0";"17,5";"17,6";"16,2";"955,7";"955,9";"955,5";"5,2";"51,0";"8,1";"";"0,0"
"01/01/2022";"0300";"19,6";"20,3";"19,6";"93,0";"93,0";"82,0";"18,5";"18,6";"17,1";"955,5";"955,7";"955,4";"4,4";"61,0";"9,1";"";"0,0"
"01/01/2022";"0400";"19,8";"19,9";"19,4";"88,0";"95,0";"88,0";"17,8";"18,7";"17,8";"955,2";"955,6";"955,2";"3,7";"31,0";"8,1";"";"0,0"
"01/01/2022";"0500";"18,7";"19,8";"18,7";"96,0";"96,0";"88,0";"18,0";"18,0";"17,5";"954,8";"955,2";"954,7";"4,4";"41,0";"7,3";"";"0,0"
"01/01/2022";"0600";"19,2";"19,2";"18,6";"90,0";"97,0";"90,0";"17,4";"18,2";"17,4";"954,6";"954,8";"954,5";"3,5";"35,0";"7,0";"";"0,0"
"01/01/2022";"0700";"19,0";"20,0";"18,6";"90,0";"93,0";"81,0";"17,2";"17,4";"16,5";"954,5";"954,6";"954,5";"3,7";"48,0";"6,0";"";"0,0"
"01/01/2022";"0800";"18,2";"19,0";"18,2";"100,0";"100,0";"90,0";"18,2";"18,2";"17,2";"954,7";"954,8";"954,5";"4,1";"66,0";"7,0";"";"0,0"
"01/01/2022";"0900";"18,3";"18,3";"18,2";"";"";"";"";"";"";"954,9";"954,9";"954,7";"4,0";"65,0";"7,3";"15,80";"0,0"
"01/01/2022";"1000";"18,6";"18,8";"18,2";"";"";"";"";"";"";"954,8";"955,1";"954,7";"3,2";"58,0";"7,3";"309,80";"0,0"
"01/01/2022";"1100";"20,5";"20,5";"18,6";"88,0";"";"";"18,5";"";"";"955,7";"955,7";"954,8";"2,2";"25,0";"7,7";"1152,60";"0,0"
"01/01/2022";"1200";"24,1";"24,1";"20,5";"76,0";"89,0";"74,0";"19,6";"19,8";"18,4";"955,9";"955,9";"955,7";"1,4";"9,0";"3,9";"2089,80";"0,0"
"01/01/2022";"1300";"26,6";"27,4";"24,0";"59,0";"76,0";"59,0";"18,0";"19,9";"17,5";"955,9";"956,1";"955,8";"1,2";"47,0";"3,4";"2767,00";"0,0"
"01/01/2022";"1400";"28,7";"28,7";"26,5";"55,0";"67,0";"53,0";"18,8";"20,5";"17,1";"956,0";"956,1";"955,9";"1,7";"340,0";"4,0";"3274,50";"0,0"
"01/01/2022";"1500";"29,4";"29,9";"27,9";"44,0";"56,0";"44,0";"16,0";"18,6";"15,7";"956,0";"956,0";"955,9";"1,3";"17,0";"5,1";"3636,70";"0,0"
"01/01/2022";"1600";"31,6";"31,6";"28,9";"42,0";"49,0";"41,0";"17,1";"18,2";"14,9";"955,6";"956,1";"955,6";"1,4";"73,0";"6,1";"3612,40";"0,0"
"01/01/2022";"1700";"32,6";"32,6";"30,7";"40,0";"45,0";"34,0";"17,3";"18,1";"13,3";"954,4";"955,6";"954,4";"1,4";"129,0";"4,4";"3290,00";"0,0"
"01/01/2022";"1800";"33,2";"33,2";"31,3";"31,0";"40,0";"25,0";"13,7";"16,9";"10,3";"953,8";"954,4";"953,8";"1,1";"88,0";"6,4";"3348,30";"0,0"
"01/01/2022";"1900";"31,7";"33,3";"31,7";"48,0";"48,0";"26,0";"19,3";"19,5";"10,7";"952,6";"953,8";"952,6";"4,2";"89,0";"8,4";"2911,60";"0,0"
"01/01/2022";"2000";"30,1";"31,7";"30,1";"59,0";"59,0";"48,0";"21,2";"21,6";"19,4";"952,8";"952,8";"952,6";"4,7";"85,0";"9,7";"2251,20";"0,0"
"01/01/2022";"2100";"28,0";"30,1";"27,9";"67,0";"67,0";"58,0";"21,3";"21,5";"20,8";"953,1";"953,1";"952,7";"4,9";"101,0";"9,2";"1119,40";"0,0"
"01/01/2022";"2200";"25,8";"28,0";"25,8";"73,0";"73,0";"66,0";"20,6";"21,2";"20,5";"954,2";"954,2";"953,1";"4,8";"95,0";"9,3";"393,60";"0,0"
"01/01/2022";"2300";"24,1";"25,8";"24,0";"81,0";"81,0";"73,0";"20,6";"21,1";"20,6";"954,5";"954,5";"954,2";"5,9";"74,0";"9,8";"50,70";"0,0"
"02/01/2022";"0000";"23,1";"24,1";"23,1";"85,0";"85,0";"81,0";"20,4";"20,6";"20,4";"955,0";"955,0";"954,5";"6,3";"74,0";"10,4";"";"0,0"
"02/01/2022";"0100";"21,9";"23,1";"21,9";"89,0";"89,0";"85,0";"20,1";"20,4";"20,1";"955,1";"955,2";"954,4";"5,7";"68,0";"11,1";"";"0,0"
"02/01/2022";"0200";"21,2";"21,9";"21,2";"91,0";"92,0";"89,0";"19,6";"20,1";"19,6";"956,2";"956,6";"955,1";"1,2";"108,0";"9,9";"";"0,0"
"02/01/2022";"0300";"20,7";"21,2";"20,7";"92,0";"93,0";"91,0";"19,4";"19,8";"19,4";"955,6";"956,4";"955,6";"3,2";"93,0";"5,8";"";"0,0"
"02/01/2022";"0400";"20,0";"20,7";"19,9";"94,0";"94,0";"92,0";"18,9";"19,5";"18,8";"955,4";"955,7";"955,4";"3,3";"61,0";"6,1";"";"0,0"
"02/01/2022";"0500";"20,2";"20,2";"19,5";"88,0";"94,0";"88,0";"18,1";"18,9";"18,1";"954,9";"955,5";"954,9";"4,1";"33,0";"8,1";"";"0,0"
"02/01/2022";"0600";"20,0";"20,5";"19,7";"89,0";"90,0";"83,0";"18,1";"18,2";"17,5";"954,6";"955,0";"954,2";"2,9";"29,0";"8,1";"";"0,0"
"02/01/2022";"0700";"21,6";"21,6";"19,6";"70,0";"91,0";"70,0";"15,9";"18,1";"15,9";"953,9";"954,6";"953,9";"3,7";"22,0";"7,3";"";"0,0"
"02/01/2022";"0800";"20,2";"22,1";"20,1";"77,0";"78,0";"66,0";"16,0";"16,1";"15,3";"954,2";"954,3";"953,8";"1,1";"344,0";"7,1";"";"0,0"
"02/01/2022";"0900";"19,1";"22,7";"19,1";"84,0";"84,0";"57,0";"16,4";"16,4";"13,7";"954,7";"954,7";"954,1";"0,7";"18,0";"6,3";"17,60";"0,0"
"02/01/2022";"1000";"21,9";"22,6";"19,1";"71,0";"84,0";"62,0";"16,4";"17,8";"14,6";"955,6";"955,6";"954,7";"1,4";"7,0";"4,9";"500,60";"0,0"
"02/01/2022";"1100";"21,0";"24,5";"21,0";"86,0";"86,0";"58,0";"18,6";"19,4";"14,9";"957,3";"957,3";"955,5";"3,6";"191,0";"9,1";"897,00";"0,0"
"02/01/2022";"1200";"23,4";"23,6";"20,2";"78,0";"92,0";"78,0";"19,2";"20,3";"18,4";"956,3";"957,4";"956,3";"3,8";"105,0";"9,1";"1173,70";"0,0"
"02/01/2022";"1300";"23,0";"26,3";"23,0";"78,0";"80,0";"68,0";"19,0";"21,3";"18,9";"957,3";"957,5";"956,3";"3,6";"196,0";"7,4";"1346,10";"0,0"
"02/01/2022";"1400";"21,7";"23,0";"21,5";"89,0";"92,0";"78,0";"19,7";"20,3";"19,0";"958,0";"958,0";"956,9";"2,6";"195,0";"7,4";"540,00";"0,0"
"02/01/2022";"1500";"21,2";"21,7";"20,9";"92,0";"94,0";"89,0";"19,8";"20,8";"19,4";"957,9";"958,0";"957,4";"4,0";"134,0";"5,8";"616,10";"1,0"
"02/01/2022";"1600";"20,8";"21,4";"20,6";"88,0";"94,0";"87,0";"18,7";"20,1";"18,6";"958,2";"958,9";"957,7";"4,8";"193,0";"10,4";"853,60";"0,8"
"02/01/2022";"1700";"20,2";"20,8";"20,2";"90,0";"90,0";"85,0";"18,4";"19,0";"17,7";"958,6";"958,6";"957,9";"3,2";"282,0";"8,4";"650,40";"0,0"
