"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"27,1";"28,6";"26,9";"44,0";"48,0";"42,0";"14,0";"15,7";"13,8";"956,3";"956,3";"955,7";"0,0";"287,0";"1,7";"";"0,0"
"01/01/2022";"0100";"25,3";"27,6";"24,9";"51,0";"52,0";"41,0";"14,5";"14,5";"12,4";"957,2";"957,2";"956,3";"3,0";"287,0";"4,3";"";"0,0"
"01/01/2022";"0200";"24,7";"26,2";"24,4";"54,0";"55,0";"49,0";"14,7";"14,8";"14,6";"957,6";"957,6";"957,1";"2,8";"287,0";"5,4";"";"0,0"
"01/01/2022";"0300";"23,9";"24,8";"23,2";"59,0";"60,0";"54,0";"15,3";"15,3";"14,7";"957,3";"957,6";"957,3";"3,8";"287,0";"5,4";"";"0,0"
"01/01/2022";"0400";"22,6";"23,9";"22,6";"66,0";"66,0";"59,0";"15,9";"15,9";"15,3";"956,8";"957,3";"956,8";"3,1";"287,0";"5,7";"";"0,0"
"01/01/2022";"0500";"22,2";"22,6";"22,0";"68,0";"69,0";"66,0";"15,9";"15,9";"15,8";"956,5";"956,8";"956,4";"3,8";"287,0";"5,1";"";"0,0"
"01/01/2022";"0600";"21,2";"22,3";"21,1";"71,0";"71,0";"67,0";"15,6";"15,9";"15,6";"956,4";"956,5";"956,3";"1,7";"287,0";"6,1";"";"0,0"
"01/01/2022";"0700";"20,7";"21,7";"20,1";"72,0";"75,0";"69,0";"15,4";"15,7";"15,3";"956,7";"956,8";"956,4";"0,1";"287,0";"3,0";"";"0,0"
"01/01/2022";"0800";"20,7";"21,0";"20,7";"72,0";"72,0";"70,0";"15,4";"15,5";"15,4";"956,8";"956,8";"956,7";"2,1";"287,0";"2,9";"";"0,0"
"01/01/2022";"0900";"20,3";"20,7";"19,8";"74,0";"75,0";"72,0";"15,5";"15,5";"15,3";"957,3";"957,3";"956,8";"3,1";"287,0";"4,3";"12,60";"0,0"
"01/01/2022";"1000";"22,1";"22,1";"20,1";"70,0";"75,0";"69,0";"16,5";"16,6";"15,5";"957,9";"957,9";"957,3";"2,4";"287,0";"4,3";"390,30";"0,0"
"01/01/2022";"1100";"24,8";"24,8";"22,1";"61,0";"70,0";"60,0";"16,7";"16,9";"15,9";"958,3";"958,3";"957,9";"2,5";"287,0";"4,6";"1194,80";"0,0"
"01/01/2022";"1200";"27,8";"27,8";"24,8";"55,0";"61,0";"55,0";"18,0";"18,0";"16,3";"958,4";"958,6";"958,3";"2,5";"287,0";"4,9";"2053,40";"0,0"
"01/01/2022";"1300";"29,6";"29,7";"27,2";"48,0";"56,0";"47,0";"17,6";"18,1";"16,7";"958,6";"958,6";"958,4";"2,3";"287,0";"4,8";"2839,50";"0,0"
"01/01/2022";"1400";"31,4";"32,2";"29,6";"38,0";"49,0";"37,0";"15,5";"18,1";"15,5";"958,0";"958,6";"958,0";"2,8";"287,0";"6,2";"3449,30";"0,0"
"01/01/2022";"1500";"32,8";"33,5";"30,9";"33,0";"40,0";"31,0";"14,5";"16,1";"13,6";"957,9";"958,1";"957,9";"1,5";"287,0";"6,2";"3887,70";"0,0"
"01/01/2022";"1600";"33,8";"34,1";"32,5";"29,0";"34,0";"29,0";"13,5";"14,9";"13,1";"957,4";"957,9";"957,3";"3,3";"287,0";"7,8";"3799,80";"0,0"
"01/01/2022";"1700";"34,2";"35,7";"33,1";"27,0";"30,0";"25,0";"12,3";"14,2";"12,1";"956,8";"957,4";"956,8";"3,8";"287,0";"6,5";"3981,90";"0,0"
"01/01/2022";"1800";"35,0";"36,1";"33,9";"25,0";"27,0";"23,0";"11,8";"12,8";"11,2";"956,1";"956,8";"956,1";"1,5";"287,0";"7,3";"3746,00";"0,0"
"01/01/2022";"1900";"35,2";"36,0";"34,8";"26,0";"27,0";"23,0";"12,7";"13,0";"11,1";"955,0";"956,1";"955,0";"2,5";"287,0";"6,2";"3195,70";"0,0"
"01/01/2022";"2000";"34,9";"35,6";"34,5";"25,0";"26,0";"24,0";"11,7";"13,0";"11,4";"954,3";"955,0";"954,3";"0,8";"287,0";"4,9";"2382,90";"0,0"
"01/01/2022";"2100";"34,5";"35,4";"34,5";"26,0";"27,0";"24,0";"12,3";"12,9";"11,6";"954,1";"954,3";"954,1";"1,1";"287,0";"4,3";"1529,60";"0,0"
"01/01/2022";"2200";"33,3";"34,5";"33,3";"34,0";"35,0";"25,0";"15,4";"15,4";"11,7";"954,8";"954,8";"954,1";"0,0";"287,0";"3,5";"647,50";"0,0"
"01/01/2022";"2300";"29,9";"33,3";"29,7";"36,0";"36,0";"29,0";"13,3";"14,3";"11,8";"955,9";"955,9";"954,8";"1,6";"287,0";"2,4";"49,70";"0,0"
"02/01/2022";"0000";"28,9";"30,0";"28,4";"38,0";"40,0";"36,0";"13,0";"14,4";"12,7";"956,5";"956,6";"955,9";"1,0";"287,0";"2,8";"";"0,0"
"02/01/2022";"0100";"26,0";"28,9";"26,0";"47,0";"48,0";"38,0";"13,9";"14,2";"13,0";"956,7";"956,7";"956,4";"1,5";"287,0";"2,5";"";"0,0"
"02/01/2022";"0200";"27,7";"28,8";"24,1";"41,0";"56,0";"37,0";"13,3";"15,0";"12,7";"957,0";"957,0";"956,7";"4,8";"287,0";"7,7";"";"0,0"
"02/01/2022";"0300";"25,6";"27,7";"25,6";"48,0";"48,0";"41,0";"13,7";"13,7";"13,3";"957,0";"957,1";"957,0";"4,5";"287,0";"6,4";"";"0,0"
"02/01/2022";"0400";"24,1";"25,6";"24,0";"55,0";"56,0";"48,0";"14,5";"14,5";"13,8";"957,7";"957,7";"957,0";"3,7";"287,0";"5,7";"";"0,0"
"02/01/2022";"0500";"24,9";"24,9";"23,9";"52,0";"56,0";"52,0";"14,4";"14,5";"14,4";"957,2";"957,7";"957,2";"4,4";"287,0";"5,4";"";"0,0"
"02/01/2022";"0600";"23,6";"24,9";"22,6";"57,0";"61,0";"52,0";"14,7";"14,8";"14,3";"956,8";"957,3";"956,8";"2,6";"287,0";"6,3";"";"0,0"
"02/01/2022";"0700";"22,3";"23,6";"22,3";"64,0";"64,0";"57,0";"15,0";"15,0";"14,7";"955,9";"956,8";"955,9";"3,3";"287,0";"5,0";"";"0,0"
"02/01/2022";"0800";"21,8";"22,3";"21,3";"68,0";"69,0";"64,0";"15,5";"15,5";"15,1";"956,0";"956,0";"955,7";"3,8";"287,0";"5,1";"";"0,0"
"02/01/2022";"0900";"21,5";"22,4";"20,9";"70,0";"72,0";"65,0";"15,8";"15,8";"15,5";"957,0";"957,1";"956,0";"3,6";"287,0";"4,9";"12,30";"0,0"
"02/01/2022";"1000";"24,5";"24,5";"21,4";"62,0";"71,0";"61,0";"16,7";"16,7";"15,8";"958,0";"958,0";"957,0";"2,8";"287,0";"4,9";"389,70";"0,0"
"02/01/2022";"1100";"27,4";"27,4";"24,5";"53,0";"62,0";"52,0";"16,9";"17,0";"15,3";"958,6";"958,6";"958,0";"2,7";"287,0";"5,8";"1022,10";"0,0"
"02/01/2022";"1200";"29,9";"30,1";"27,4";"45,0";"53,0";"44,0";"16,6";"17,1";"15,8";"959,1";"959,2";"958,6";"2,8";"287,0";"6,6";"2016,10";"0,0"
"02/01/2022";"1300";"32,4";"32,4";"29,9";"40,0";"45,0";"40,0";"17,2";"17,5";"16,4";"959,7";"959,8";"959,0";"3,5";"287,0";"8,6";"2801,00";"0,0"
"02/01/2022";"1400";"33,9";"34,2";"32,4";"37,0";"41,0";"36,0";"17,1";"17,5";"16,3";"959,8";"959,8";"959,6";"3,3";"287,0";"10,1";"3303,60";"0,0"
"02/01/2022";"1500";"34,5";"35,1";"33,2";"34,0";"38,0";"34,0";"16,2";"17,7";"15,9";"959,3";"959,8";"959,2";"3,2";"287,0";"9,9";"3513,20";"0,0"
"02/01/2022";"1600";"35,0";"35,9";"34,1";"30,0";"35,0";"29,0";"14,8";"16,9";"14,2";"958,1";"959,3";"958,1";"3,4";"287,0";"9,9";"3574,60";"0,0"
"02/01/2022";"1700";"34,5";"35,5";"34,2";"34,0";"34,0";"29,0";"16,2";"16,4";"14,3";"957,2";"958,1";"957,2";"2,6";"287,0";"10,6";"2279,90";"0,0"
"02/01/2022";"1800";"35,2";"35,2";"34,1";"31,0";"36,0";"31,0";"15,4";"16,9";"15,2";"957,0";"957,3";"956,9";"4,8";"287,0";"10,6";"1718,40";"0,0"
"02/01/2022";"1900";"33,5";"35,2";"31,5";"38,0";"43,0";"30,0";"17,3";"17,8";"14,7";"956,0";"957,1";"955,9";"3,4";"287,0";"8,5";"1832,50";"0,0"
"02/01/2022";"2000";"32,4";"33,8";"32,4";"42,0";"42,0";"33,0";"17,9";"18,1";"15,4";"955,9";"956,0";"955,7";"1,5";"287,0";"5,5";"792,50";"0,0"
"02/01/2022";"2100";"23,5";"32,4";"22,7";"81,0";"86,0";"42,0";"20,2";"20,3";"17,5";"958,6";"958,6";"955,9";"5,6";"287,0";"13,0";"100,30";"4,4"
"02/01/2022";"2200";"23,9";"24,7";"23,3";"83,0";"84,0";"78,0";"20,7";"21,2";"20,0";"957,9";"958,7";"957,5";"4,9";"287,0";"8,5";"31,10";"1,2"
"02/01/2022";"2300";"21,7";"24,2";"21,7";"88,0";"88,0";"77,0";"19,7";"20,5";"19,5";"961,5";"961,5";"957,9";"2,1";"287,0";"9,7";"11,10";"1,0"
"03/01/2022";"0000";"21,0";"22,2";"20,9";"95,0";"96,0";"85,0";"20,1";"20,2";"19,5";"961,0";"962,5";"961,0";"7,0";"287,0";"10,0";"";"6,6"
"03/01/2022";"0100";"21,8";"21,8";"20,7";"84,0";"95,0";"84,0";"19,0";"20,1";"19,0";"959,8";"960,9";"959,8";"7,1";"287,0";"10,2";"1,30";"0,6"
"03/01/2022";"0200";"21,2";"21,9";"20,8";"89,0";"91,0";"83,0";"19,3";"19,4";"18,8";"960,8";"961,0";"959,8";"6,3";"287,0";"9,7";"";"0,0"
"03/01/2022";"0300";"21,0";"21,4";"20,9";"88,0";"89,0";"86,0";"19,0";"19,3";"18,7";"961,4";"961,7";"960,8";"3,9";"287,0";"8,6";"";"0,0"
"03/01/2022";"0400";"20,9";"21,0";"20,7";"90,0";"91,0";"88,0";"19,2";"19,3";"19,0";"960,7";"961,4";"960,7";"4,1";"287,0";"7,6";"";"0,0"
"03/01/2022";"0500";"20,7";"20,9";"20,5";"89,0";"91,0";"89,0";"18,8";"19,2";"18,8";"959,7";"960,7";"959,7";"7,0";"287,0";"9,4";"";"0,0"
"03/01/2022";"0600";"21,5";"21,5";"20,7";"83,0";"89,0";"83,0";"18,6";"18,8";"18,5";"959,4";"959,8";"959,3";"5,7";"287,0";"10,1";"";"0,0"
"03/01/2022";"0700";"21,1";"21,7";"21,1";"86,0";"86,0";"82,0";"18,7";"18,7";"18,4";"959,6";"959,6";"959,3";"3,1";"287,0";"8,8";"";"0,0"
"03/01/2022";"0800";"21,7";"21,8";"21,1";"82,0";"86,0";"82,0";"18,6";"18,8";"18,6";"960,2";"960,3";"959,6";"3,7";"287,0";"6,2";"";"0,0"
