"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"27,6";"30,1";"27,6";"53,0";"54,0";"45,0";"17,2";"17,6";"16,5";"986,5";"986,5";"985,4";"6,1";"80,0";"10,5";"";"0,0"
"01/01/2022";"0100";"25,8";"27,6";"25,7";"59,0";"59,0";"53,0";"17,2";"17,2";"16,9";"987,3";"987,3";"986,5";"6,2";"83,0";"11,0";"";"0,0"
"01/01/2022";"0200";"24,7";"25,7";"24,7";"63,0";"63,0";"59,0";"17,2";"17,3";"17,2";"987,6";"987,6";"987,3";"5,2";"83,0";"9,0";"";"0,0"
"01/01/2022";"0300";"24,6";"24,9";"24,3";"64,0";"65,0";"62,0";"17,3";"17,3";"17,2";"987,8";"987,9";"987,5";"2,3";"302,0";"7,7";"";"0,0"
"01/01/2022";"0400";"22,9";"24,4";"22,5";"72,0";"74,0";"65,0";"17,6";"17,7";"17,3";"987,6";"987,8";"987,6";"0,9";"184,0";"5,2";"";"0,0"
"01/01/2022";"0500";"20,8";"22,9";"20,8";"80,0";"80,0";"72,0";"17,3";"17,6";"17,3";"987,2";"987,6";"987,1";"2,2";"99,0";"3,1";"";"0,0"
"01/01/2022";"0600";"20,9";"20,9";"20,5";"79,0";"82,0";"79,0";"17,1";"17,4";"17,0";"987,5";"987,5";"987,2";"2,0";"83,0";"4,4";"";"0,0"
"01/01/2022";"0700";"20,3";"20,9";"20,0";"82,0";"83,0";"79,0";"17,2";"17,3";"16,9";"987,1";"987,5";"987,1";"0,4";"122,0";"3,2";"";"0,0"
"01/01/2022";"0800";"20,9";"21,1";"19,7";"77,0";"84,0";"77,0";"16,7";"17,2";"16,7";"987,1";"987,1";"986,9";"2,6";"78,0";"5,4";"";"0,0"
"01/01/2022";"0900";"19,8";"21,3";"19,2";"82,0";"85,0";"74,0";"16,7";"16,9";"16,3";"987,0";"987,1";"986,8";"0,4";"47,0";"5,0";"20,00";"0,0"
"01/01/2022";"1000";"24,3";"24,4";"19,8";"66,0";"82,0";"63,0";"17,6";"17,6";"16,4";"987,7";"987,7";"987,0";"1,7";"336,0";"4,7";"474,00";"0,0"
"01/01/2022";"1100";"25,5";"25,5";"24,1";"64,0";"71,0";"64,0";"18,3";"19,0";"17,6";"988,6";"988,6";"987,7";"1,8";"232,0";"3,2";"1259,00";"0,0"
"01/01/2022";"1200";"29,7";"29,7";"25,6";"47,0";"64,0";"46,0";"17,1";"19,0";"16,7";"988,6";"988,6";"988,4";"3,0";"347,0";"5,7";"2055,00";"0,0"
"01/01/2022";"1300";"31,7";"31,7";"29,8";"44,0";"47,0";"42,0";"18,1";"18,1";"16,7";"988,6";"988,8";"988,5";"2,9";"343,0";"6,1";"2777,00";"0,0"
"01/01/2022";"1400";"33,5";"33,5";"31,7";"39,0";"43,0";"37,0";"17,5";"18,1";"16,2";"988,2";"988,6";"988,0";"2,8";"342,0";"6,4";"3345,00";"0,0"
"01/01/2022";"1500";"34,8";"35,0";"33,5";"32,0";"39,0";"31,0";"15,5";"18,1";"15,0";"987,8";"988,3";"987,8";"2,9";"338,0";"5,4";"3685,00";"0,0"
"01/01/2022";"1600";"35,8";"35,9";"34,3";"26,0";"32,0";"24,0";"13,5";"15,9";"11,3";"987,0";"987,8";"987,0";"1,6";"313,0";"6,1";"3807,00";"0,0"
"01/01/2022";"1700";"36,8";"36,9";"35,5";"25,0";"28,0";"22,0";"13,4";"14,5";"11,4";"986,1";"987,0";"986,0";"1,7";"28,0";"6,1";"3688,00";"0,0"
"01/01/2022";"1800";"37,0";"37,9";"36,4";"22,0";"24,0";"20,0";"11,5";"13,2";"10,2";"984,7";"986,1";"984,7";"2,6";"23,0";"7,9";"3297,00";"0,0"
"01/01/2022";"1900";"37,4";"37,7";"36,7";"20,0";"23,0";"18,0";"10,7";"12,6";"9,5";"984,3";"984,7";"984,3";"2,4";"358,0";"7,2";"2828,00";"0,0"
"01/01/2022";"2000";"36,5";"37,5";"36,4";"22,0";"22,0";"16,0";"11,4";"11,5";"7,2";"984,4";"984,5";"984,2";"2,1";"326,0";"6,8";"1712,00";"0,0"
"01/01/2022";"2100";"34,2";"36,4";"34,2";"28,0";"28,0";"22,0";"13,1";"13,5";"10,6";"985,2";"985,2";"984,3";"2,9";"271,0";"5,5";"731,00";"0,0"
"01/01/2022";"2200";"23,1";"34,2";"23,1";"63,0";"63,0";"23,0";"15,7";"16,5";"10,3";"988,3";"988,3";"985,1";"14,2";"205,0";"21,6";"249,00";"0,0"
"01/01/2022";"2300";"22,6";"23,0";"22,4";"62,0";"65,0";"62,0";"14,9";"15,7";"14,9";"987,9";"989,9";"987,9";"8,6";"165,0";"21,0";"73,00";"0,0"
"02/01/2022";"0000";"22,3";"22,7";"22,3";"67,0";"67,0";"62,0";"15,9";"15,9";"14,9";"989,0";"989,9";"987,9";"5,8";"155,0";"14,6";"";"0,0"
"02/01/2022";"0100";"22,5";"22,5";"22,1";"66,0";"68,0";"66,0";"15,8";"15,9";"15,6";"988,3";"988,8";"988,2";"6,8";"112,0";"10,8";"";"0,0"
"02/01/2022";"0200";"23,1";"23,1";"22,5";"59,0";"66,0";"59,0";"14,7";"15,8";"14,7";"988,6";"988,6";"987,9";"5,7";"110,0";"11,2";"";"0,0"
"02/01/2022";"0300";"23,0";"23,1";"22,8";"59,0";"60,0";"58,0";"14,5";"14,7";"14,3";"988,6";"988,7";"988,5";"4,1";"117,0";"9,0";"";"0,0"
"02/01/2022";"0400";"21,3";"23,2";"21,0";"75,0";"79,0";"58,0";"16,7";"17,2";"14,4";"989,1";"990,0";"988,5";"4,5";"228,0";"12,5";"";"0,0"
"02/01/2022";"0500";"20,6";"21,4";"20,6";"84,0";"84,0";"75,0";"17,8";"17,8";"16,8";"988,9";"989,3";"988,7";"3,5";"237,0";"7,1";"";"0,0"
"02/01/2022";"0600";"20,3";"20,6";"20,3";"85,0";"85,0";"84,0";"17,7";"17,8";"17,7";"987,9";"988,9";"987,9";"0,7";"54,0";"4,6";"";"0,0"
"02/01/2022";"0700";"20,1";"20,2";"19,7";"83,0";"87,0";"83,0";"17,1";"17,8";"17,1";"986,5";"987,8";"985,9";"4,2";"85,0";"6,4";"";"0,0"
"02/01/2022";"0800";"20,1";"20,8";"20,1";"80,0";"83,0";"77,0";"16,5";"17,1";"16,5";"986,5";"986,8";"986,4";"1,9";"122,0";"6,4";"";"0,0"
"02/01/2022";"0900";"21,8";"22,8";"19,9";"75,0";"83,0";"70,0";"17,2";"17,5";"16,6";"987,7";"987,7";"986,5";"1,5";"323,0";"5,0";"5,00";"0,0"
"02/01/2022";"1000";"23,6";"23,6";"21,9";"67,0";"76,0";"67,0";"17,2";"17,8";"17,1";"987,7";"988,1";"987,7";"3,2";"27,0";"4,3";"133,00";"0,0"
