"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"25,2";"25,7";"23,3";"45,0";"61,0";"41,0";"12,4";"15,4";"11,5";"920,6";"920,6";"920,1";"0,1";"16,0";"1,8";"";"0,0"
"01/01/2022";"0100";"22,0";"25,2";"22,0";"61,0";"62,0";"45,0";"14,2";"14,5";"12,0";"921,3";"921,3";"920,6";"0,1";"138,0";"1,9";"";"0,0"
"01/01/2022";"0200";"22,3";"24,6";"22,0";"56,0";"61,0";"48,0";"13,1";"14,1";"12,7";"921,3";"921,5";"921,3";"0,0";"131,0";"2,5";"";"0,0"
"01/01/2022";"0300";"22,1";"23,5";"22,1";"55,0";"56,0";"50,0";"12,8";"12,9";"12,2";"921,3";"921,4";"921,3";"1,3";"101,0";"3,5";"";"0,0"
"01/01/2022";"0400";"21,3";"22,3";"21,2";"67,0";"67,0";"55,0";"14,9";"14,9";"12,7";"921,1";"921,4";"921,1";"1,6";"104,0";"4,0";"";"0,0"
"01/01/2022";"0500";"20,2";"21,4";"20,1";"72,0";"72,0";"67,0";"15,0";"15,1";"14,7";"920,8";"921,1";"920,7";"1,1";"102,0";"4,4";"";"0,0"
"01/01/2022";"0600";"19,9";"20,4";"19,8";"74,0";"74,0";"72,0";"15,3";"15,3";"15,0";"920,4";"920,8";"920,4";"1,5";"103,0";"5,0";"";"0,0"
"01/01/2022";"0700";"19,4";"20,0";"19,4";"76,0";"77,0";"74,0";"15,1";"15,4";"15,0";"920,6";"920,6";"920,4";"1,6";"108,0";"4,4";"";"0,0"
"01/01/2022";"0800";"19,6";"20,0";"19,4";"75,0";"76,0";"74,0";"15,1";"15,3";"15,0";"921,0";"921,0";"920,6";"2,4";"65,0";"4,4";"";"0,0"
"01/01/2022";"0900";"18,9";"19,7";"18,6";"79,0";"81,0";"75,0";"15,3";"15,6";"15,0";"921,7";"921,7";"921,0";"1,5";"70,0";"4,4";"10,00";"0,0"
"01/01/2022";"1000";"19,9";"19,9";"18,1";"80,0";"84,0";"79,0";"16,3";"16,3";"15,1";"922,2";"922,2";"921,7";"0,6";"103,0";"3,6";"167,10";"0,0"
"01/01/2022";"1100";"22,4";"22,5";"19,9";"68,0";"80,0";"68,0";"16,2";"16,8";"15,8";"922,7";"922,7";"922,2";"2,9";"21,0";"5,4";"1285,40";"0,0"
"01/01/2022";"1200";"25,2";"25,3";"22,3";"58,0";"69,0";"58,0";"16,5";"17,1";"16,0";"922,7";"922,8";"922,6";"1,2";"4,0";"5,3";"2150,40";"0,0"
"01/01/2022";"1300";"27,8";"28,1";"24,8";"50,0";"60,0";"49,0";"16,4";"17,2";"15,9";"922,8";"923,0";"922,7";"1,7";"350,0";"5,2";"2894,90";"0,0"
"01/01/2022";"1400";"29,4";"30,1";"27,5";"39,0";"51,0";"38,0";"14,0";"17,3";"13,9";"922,5";"922,8";"922,5";"1,9";"354,0";"5,2";"3408,80";"0,0"
"01/01/2022";"1500";"29,6";"31,7";"28,3";"38,0";"43,0";"34,0";"13,8";"15,5";"13,0";"922,1";"922,5";"922,1";"1,3";"216,0";"5,2";"2597,80";"0,0"
"01/01/2022";"1600";"31,7";"32,2";"29,6";"33,0";"38,0";"30,0";"13,3";"14,8";"12,1";"921,3";"922,1";"921,3";"1,3";"197,0";"6,4";"4076,70";"0,0"
"01/01/2022";"1700";"31,0";"33,6";"30,8";"32,0";"33,0";"28,0";"12,3";"14,1";"11,9";"920,9";"921,4";"920,9";"0,6";"207,0";"6,9";"3262,70";"0,0"
"01/01/2022";"1800";"31,3";"33,9";"30,6";"31,0";"33,0";"26,0";"12,0";"13,7";"10,9";"920,4";"920,9";"920,4";"1,5";"306,0";"4,4";"2322,50";"0,0"
"01/01/2022";"1900";"31,4";"32,0";"30,6";"31,0";"39,0";"30,0";"12,1";"14,9";"11,6";"919,8";"920,4";"919,8";"1,9";"5,0";"4,0";"994,90";"0,0"
"01/01/2022";"2000";"31,4";"33,1";"31,2";"30,0";"32,0";"27,0";"11,5";"13,4";"11,0";"919,1";"919,8";"919,1";"2,0";"323,0";"5,3";"1745,60";"0,0"
"01/01/2022";"2100";"32,2";"33,2";"31,4";"29,0";"30,0";"28,0";"11,7";"12,9";"11,0";"919,0";"919,1";"918,8";"0,8";"306,0";"5,1";"1299,70";"0,0"
"01/01/2022";"2200";"30,3";"32,2";"30,3";"39,0";"39,0";"28,0";"14,8";"14,8";"11,2";"919,3";"919,3";"919,0";"0,0";"349,0";"3,8";"538,70";"0,0"
"01/01/2022";"2300";"24,7";"30,3";"24,7";"56,0";"56,0";"39,0";"15,2";"15,5";"14,0";"920,0";"920,0";"919,3";"0,0";"72,0";"0,2";"30,40";"0,0"
"02/01/2022";"0000";"24,1";"24,7";"24,0";"56,0";"57,0";"53,0";"14,6";"15,2";"14,4";"920,9";"920,9";"920,0";"0,0";"55,0";"0,3";"";"0,0"
"02/01/2022";"0100";"23,9";"24,4";"23,4";"58,0";"60,0";"54,0";"15,1";"15,4";"14,3";"921,9";"921,9";"920,9";"0,0";"107,0";"0,0";"";"0,0"
"02/01/2022";"0200";"23,7";"24,3";"23,4";"55,0";"59,0";"54,0";"14,0";"15,3";"13,9";"921,9";"922,1";"921,9";"0,0";"107,0";"0,0";"";"0,0"
"02/01/2022";"0300";"24,0";"24,6";"23,5";"51,0";"57,0";"49,0";"13,4";"14,6";"13,2";"921,4";"921,9";"921,4";"0,1";"102,0";"1,3";"";"0,0"
"02/01/2022";"0400";"22,9";"24,4";"22,5";"55,0";"59,0";"50,0";"13,5";"14,1";"13,2";"921,5";"921,5";"921,2";"0,0";"238,0";"3,7";"";"0,0"
"02/01/2022";"0500";"22,6";"23,2";"21,3";"58,0";"66,0";"55,0";"14,0";"14,7";"13,4";"921,7";"921,7";"921,5";"0,4";"114,0";"3,8";"";"0,0"
"02/01/2022";"0600";"21,9";"23,0";"21,9";"60,0";"60,0";"56,0";"13,9";"14,0";"13,8";"922,1";"922,1";"921,7";"1,4";"123,0";"5,0";"";"0,0"
"02/01/2022";"0700";"22,6";"23,0";"21,7";"57,0";"62,0";"56,0";"13,5";"14,1";"13,5";"921,7";"922,1";"921,7";"2,9";"96,0";"5,0";"";"0,0"
"02/01/2022";"0800";"21,8";"22,7";"21,3";"60,0";"63,0";"56,0";"13,7";"14,0";"13,5";"921,7";"921,8";"921,6";"2,6";"98,0";"6,0";"";"0,0"
"02/01/2022";"0900";"21,6";"21,8";"21,0";"62,0";"64,0";"60,0";"14,1";"14,1";"13,6";"922,1";"922,2";"921,7";"2,7";"30,0";"5,0";"10,30";"0,0"
"02/01/2022";"1000";"22,5";"22,5";"21,6";"60,0";"63,0";"60,0";"14,3";"14,4";"14,0";"923,1";"923,1";"922,1";"3,8";"13,0";"5,4";"160,90";"0,0"
"02/01/2022";"1100";"25,4";"25,4";"22,5";"53,0";"60,0";"52,0";"15,0";"15,2";"14,3";"923,8";"923,8";"923,1";"3,6";"13,0";"6,5";"1258,00";"0,0"
"02/01/2022";"1200";"27,6";"28,2";"25,4";"52,0";"54,0";"51,0";"16,8";"17,4";"15,0";"924,1";"924,2";"923,8";"2,9";"349,0";"8,3";"2109,40";"0,0"
"02/01/2022";"1300";"29,4";"29,7";"27,6";"47,0";"52,0";"47,0";"16,9";"17,6";"16,7";"924,3";"924,3";"924,0";"3,1";"346,0";"9,2";"2846,80";"0,0"
"02/01/2022";"1400";"31,7";"32,5";"29,3";"38,0";"48,0";"37,0";"15,8";"17,7";"15,6";"924,5";"924,5";"924,2";"2,7";"329,0";"7,3";"3465,50";"0,0"
"02/01/2022";"1500";"33,2";"33,7";"31,2";"37,0";"40,0";"32,0";"16,4";"16,5";"14,0";"924,1";"924,5";"924,1";"2,6";"339,0";"8,5";"3622,20";"0,0"
"02/01/2022";"1600";"32,9";"33,6";"31,8";"32,0";"36,0";"30,0";"14,0";"15,4";"12,5";"923,1";"924,1";"923,1";"2,8";"267,0";"8,6";"2718,30";"0,0"
"02/01/2022";"1700";"33,5";"33,7";"32,1";"29,0";"35,0";"26,0";"13,2";"15,2";"11,3";"921,9";"923,1";"921,9";"1,9";"272,0";"8,9";"2490,70";"0,0"
