"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"23,9";"25,6";"23,6";"63,0";"67,0";"53,0";"16,5";"17,1";"15,3";"949,6";"949,6";"949,1";"0,0";"222,0";"1,7";"";"0,0"
"01/01/2022";"0100";"22,5";"24,1";"22,4";"68,0";"72,0";"61,0";"16,4";"17,7";"15,9";"950,2";"950,2";"949,6";"0,0";"230,0";"0,0";"";"0,0"
"01/01/2022";"0200";"21,5";"22,6";"21,5";"75,0";"77,0";"68,0";"16,9";"17,2";"16,3";"950,6";"950,6";"950,2";"0,0";"17,0";"0,0";"";"0,0"
"01/01/2022";"0300";"20,7";"21,9";"20,6";"78,0";"80,0";"72,0";"16,7";"17,3";"16,4";"950,5";"950,6";"950,4";"0,0";"174,0";"0,3";"";"0,0"
"01/01/2022";"0400";"19,7";"21,1";"19,7";"83,0";"83,0";"74,0";"16,8";"17,0";"16,3";"950,0";"950,5";"950,0";"0,0";"137,0";"0,8";"";"0,0"
"01/01/2022";"0500";"20,5";"21,4";"19,7";"78,0";"84,0";"73,0";"16,5";"17,2";"16,0";"949,6";"950,0";"949,6";"0,0";"194,0";"0,8";"";"0,0"
"01/01/2022";"0600";"21,8";"22,0";"19,5";"68,0";"83,0";"68,0";"15,6";"16,7";"15,6";"949,7";"949,7";"949,6";"0,0";"71,0";"2,4";"";"0,0"
"01/01/2022";"0700";"21,4";"22,6";"21,4";"72,0";"72,0";"68,0";"16,1";"16,5";"15,6";"949,9";"949,9";"949,7";"0,3";"38,0";"2,4";"";"0,0"
"01/01/2022";"0800";"20,9";"21,6";"20,8";"76,0";"77,0";"72,0";"16,6";"16,7";"16,0";"950,6";"950,6";"949,9";"0,0";"119,0";"2,3";"";"0,0"
"01/01/2022";"0900";"20,3";"21,0";"19,0";"80,0";"86,0";"76,0";"16,8";"17,2";"15,9";"951,2";"951,2";"950,6";"0,0";"151,0";"0,7";"8,10";"0,0"
"01/01/2022";"1000";"23,2";"23,2";"20,3";"67,0";"80,0";"66,0";"16,7";"17,3";"16,2";"951,7";"951,7";"951,2";"0,0";"151,0";"0,9";"408,10";"0,0"
"01/01/2022";"1100";"24,5";"24,6";"23,0";"61,0";"68,0";"61,0";"16,5";"17,3";"16,4";"952,2";"952,2";"951,7";"0,7";"14,0";"3,3";"1182,30";"0,0"
"01/01/2022";"1200";"26,1";"26,1";"24,4";"55,0";"63,0";"55,0";"16,3";"17,3";"15,8";"952,2";"952,3";"952,2";"2,9";"22,0";"5,8";"1944,80";"0,0"
"01/01/2022";"1300";"28,2";"28,7";"25,8";"51,0";"57,0";"49,0";"17,1";"17,9";"16,1";"952,2";"952,4";"952,2";"2,5";"348,0";"5,5";"2445,10";"0,0"
"01/01/2022";"1400";"30,0";"30,3";"28,2";"43,0";"53,0";"43,0";"15,9";"18,0";"15,9";"952,0";"952,2";"952,0";"2,4";"340,0";"5,5";"3446,00";"0,0"
"01/01/2022";"1500";"31,4";"32,0";"29,8";"34,0";"44,0";"33,0";"13,9";"16,8";"13,5";"951,3";"952,0";"951,3";"1,3";"40,0";"5,6";"3714,70";"0,0"
"01/01/2022";"1600";"32,9";"33,2";"31,3";"27,0";"38,0";"27,0";"11,6";"15,7";"11,4";"950,8";"951,4";"950,8";"1,6";"43,0";"6,9";"3806,30";"0,0"
"01/01/2022";"1700";"33,9";"34,7";"32,8";"25,0";"30,0";"23,0";"11,3";"13,0";"10,2";"950,2";"950,8";"950,2";"3,0";"18,0";"6,6";"3637,00";"0,0"
"01/01/2022";"1800";"34,1";"34,5";"33,4";"27,0";"29,0";"25,0";"12,5";"13,5";"11,1";"949,5";"950,2";"949,5";"2,0";"360,0";"6,6";"3590,40";"0,0"
"01/01/2022";"1900";"34,5";"35,2";"33,9";"23,0";"27,0";"23,0";"10,5";"12,7";"10,3";"948,8";"949,5";"948,8";"2,0";"291,0";"5,5";"2671,00";"0,0"
"01/01/2022";"2000";"34,5";"35,6";"34,2";"23,0";"25,0";"21,0";"10,2";"12,2";"10,1";"947,9";"948,8";"947,9";"1,2";"321,0";"4,3";"2083,10";"0,0"
"01/01/2022";"2100";"34,3";"35,0";"34,2";"24,0";"25,0";"22,0";"11,1";"11,8";"10,0";"947,6";"947,9";"947,6";"2,1";"14,0";"4,7";"1431,80";"0,0"
"01/01/2022";"2200";"31,4";"34,4";"31,4";"31,0";"31,0";"24,0";"12,4";"12,5";"10,9";"947,9";"947,9";"947,6";"0,4";"331,0";"4,0";"344,60";"0,0"
"01/01/2022";"2300";"28,5";"31,4";"28,4";"41,0";"42,0";"31,0";"14,1";"14,4";"11,9";"949,0";"949,0";"947,9";"0,0";"276,0";"1,9";"22,80";"0,0"
"02/01/2022";"0000";"25,4";"28,5";"25,4";"54,0";"54,0";"41,0";"15,3";"15,6";"13,9";"949,8";"949,8";"949,0";"0,0";"350,0";"0,0";"";"0,0"
"02/01/2022";"0100";"24,1";"25,4";"23,9";"58,0";"63,0";"53,0";"15,5";"16,7";"15,3";"950,6";"950,6";"949,8";"0,0";"163,0";"0,0";"";"0,0"
