"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"27,1";"28,7";"27,1";"45,0";"45,0";"41,0";"14,3";"14,4";"14,0";"953,8";"953,8";"953,3";"2,1";"120,0";"5,3";"";"0,0"
"01/01/2022";"0100";"25,9";"27,1";"25,8";"51,0";"51,0";"45,0";"14,8";"14,9";"14,2";"954,7";"954,7";"953,8";"2,4";"111,0";"4,5";"";"0,0"
"01/01/2022";"0200";"24,7";"25,9";"24,7";"59,0";"59,0";"51,0";"16,2";"16,2";"14,9";"954,9";"955,0";"954,7";"3,0";"102,0";"4,9";"";"0,0"
"01/01/2022";"0300";"24,1";"24,7";"23,8";"63,0";"64,0";"59,0";"16,7";"16,7";"16,2";"954,8";"955,0";"954,8";"2,7";"101,0";"5,8";"";"0,0"
"01/01/2022";"0400";"22,8";"24,1";"22,2";"70,0";"72,0";"63,0";"16,9";"17,0";"16,6";"954,1";"954,8";"954,1";"2,2";"84,0";"4,5";"";"0,0"
"01/01/2022";"0500";"21,9";"23,0";"21,7";"72,0";"73,0";"68,0";"16,7";"16,9";"16,7";"953,8";"954,2";"953,8";"2,0";"83,0";"3,0";"";"0,0"
"01/01/2022";"0600";"21,5";"22,0";"21,5";"73,0";"74,0";"72,0";"16,6";"16,8";"16,6";"953,8";"953,9";"953,7";"2,0";"96,0";"2,9";"";"0,0"
"01/01/2022";"0700";"20,9";"21,5";"20,7";"77,0";"78,0";"73,0";"16,7";"16,9";"16,6";"954,2";"954,3";"953,8";"1,2";"108,0";"2,9";"";"0,0"
"01/01/2022";"0800";"19,6";"20,9";"19,4";"84,0";"84,0";"77,0";"16,8";"16,8";"16,6";"954,3";"954,3";"954,2";"1,8";"74,0";"3,0";"";"0,0"
"01/01/2022";"0900";"19,1";"19,7";"18,9";"84,0";"86,0";"83,0";"16,5";"16,8";"16,4";"954,9";"954,9";"954,3";"2,1";"73,0";"3,5";"11,60";"0,0"
"01/01/2022";"1000";"22,4";"22,4";"19,2";"70,0";"84,0";"70,0";"16,6";"17,0";"16,5";"955,5";"955,5";"954,9";"1,6";"67,0";"3,3";"379,60";"0,0"
"01/01/2022";"1100";"24,8";"24,8";"22,4";"61,0";"71,0";"60,0";"16,9";"17,4";"16,3";"955,8";"955,8";"955,4";"2,3";"22,0";"5,3";"1257,60";"0,0"
"01/01/2022";"1200";"29,1";"29,1";"24,9";"48,0";"61,0";"48,0";"17,1";"17,7";"16,3";"955,8";"955,9";"955,8";"2,1";"353,0";"4,4";"2074,30";"0,0"
