"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"23,7";"24,6";"23,7";"87,0";"87,0";"84,0";"21,5";"21,7";"21,5";"1002,5";"1002,7";"1002,2";"0,0";"101,0";"3,9";"";"0,0"
"01/01/2022";"0100";"23,2";"23,7";"23,2";"89,0";"89,0";"86,0";"21,3";"21,5";"21,1";"1003,6";"1003,6";"1002,4";"0,0";"105,0";"0,0";"";"0,0"
"01/01/2022";"0200";"22,3";"23,2";"22,3";"93,0";"93,0";"89,0";"21,1";"21,3";"21,1";"1003,7";"1003,7";"1003,5";"0,0";"101,0";"2,3";"";"0,0"
"01/01/2022";"0300";"22,1";"22,3";"22,0";"95,0";"95,0";"93,0";"21,3";"21,3";"21,1";"1003,6";"1003,8";"1003,6";"0,0";"106,0";"0,0";"";"0,0"
"01/01/2022";"0400";"22,6";"22,6";"22,1";"96,0";"96,0";"95,0";"21,9";"21,9";"21,3";"1003,3";"1003,6";"1003,3";"0,0";"87,0";"2,5";"";"0,0"
"01/01/2022";"0500";"22,4";"22,7";"22,3";"96,0";"96,0";"96,0";"21,7";"22,0";"21,6";"1002,7";"1003,3";"1002,7";"0,0";"79,0";"0,0";"";"0,0"
"01/01/2022";"0600";"22,4";"22,7";"22,3";"96,0";"97,0";"96,0";"21,7";"22,0";"21,6";"1002,2";"1002,7";"1002,2";"0,0";"57,0";"3,3";"";"0,0"
"01/01/2022";"0700";"21,9";"22,4";"21,9";"95,0";"96,0";"95,0";"21,0";"21,7";"21,0";"1002,3";"1002,3";"1002,2";"0,0";"38,0";"4,4";"";"0,0"
"01/01/2022";"0800";"21,5";"21,9";"21,4";"96,0";"96,0";"95,0";"20,8";"21,0";"20,8";"1002,2";"1002,4";"1002,2";"0,0";"62,0";"0,0";"";"0,0"
"01/01/2022";"0900";"21,5";"21,6";"21,4";"96,0";"96,0";"96,0";"20,8";"21,0";"20,7";"1002,2";"1002,4";"1002,2";"0,0";"43,0";"2,7";"21,90";"0,0"
"01/01/2022";"1000";"22,7";"22,7";"21,5";"90,0";"96,0";"90,0";"20,9";"21,2";"20,8";"1002,6";"1002,6";"1002,2";"0,3";"52,0";"4,8";"370,40";"0,0"
"01/01/2022";"1100";"24,2";"24,2";"22,7";"83,0";"90,0";"82,0";"21,1";"21,2";"20,5";"1003,4";"1003,4";"1002,6";"0,7";"39,0";"4,7";"1142,70";"0,0"
"01/01/2022";"1200";"26,8";"26,8";"24,2";"72,0";"83,0";"71,0";"21,2";"21,6";"20,8";"1003,4";"1003,6";"1003,4";"0,2";"54,0";"4,7";"2030,10";"0,0"
"01/01/2022";"1300";"29,3";"29,3";"26,6";"60,0";"72,0";"60,0";"20,8";"21,7";"20,4";"1003,1";"1003,5";"1003,1";"0,0";"27,0";"3,9";"2740,00";"0,0"
"01/01/2022";"1400";"30,8";"31,6";"28,8";"53,0";"61,0";"52,0";"20,2";"21,7";"19,7";"1002,9";"1003,2";"1002,9";"0,0";"52,0";"3,5";"3301,10";"0,0"
"01/01/2022";"1500";"32,9";"33,4";"30,8";"43,0";"54,0";"42,0";"18,6";"21,0";"18,1";"1002,7";"1002,9";"1002,6";"0,0";"47,0";"3,1";"3452,50";"0,0"
"01/01/2022";"1600";"34,2";"34,6";"32,9";"42,0";"44,0";"38,0";"19,6";"19,6";"17,2";"1001,5";"1002,7";"1001,5";"0,0";"71,0";"0,0";"3300,00";"0,0"
"01/01/2022";"1700";"34,4";"35,8";"33,5";"43,0";"45,0";"37,0";"20,1";"21,0";"17,6";"1000,3";"1001,5";"1000,3";"0,7";"93,0";"5,8";"3505,20";"0,0"
"01/01/2022";"1800";"33,5";"35,6";"33,4";"47,0";"47,0";"41,0";"20,6";"21,2";"19,8";"999,7";"1000,3";"999,6";"0,9";"122,0";"6,0";"2540,10";"0,0"
"01/01/2022";"1900";"31,5";"33,5";"31,2";"61,0";"61,0";"46,0";"23,1";"23,1";"20,2";"999,5";"999,7";"999,4";"2,2";"109,0";"7,1";"1681,50";"0,0"
"01/01/2022";"2000";"29,4";"32,1";"29,4";"69,0";"69,0";"59,0";"23,2";"23,6";"22,9";"1000,0";"1000,1";"999,5";"2,1";"108,0";"7,0";"1538,50";"0,0"
"01/01/2022";"2100";"27,8";"29,7";"27,8";"75,0";"75,0";"69,0";"22,8";"23,7";"22,7";"1000,6";"1000,6";"1000,0";"2,1";"100,0";"6,8";"690,00";"0,0"
"01/01/2022";"2200";"26,6";"27,8";"26,6";"78,0";"78,0";"75,0";"22,4";"22,9";"22,4";"1001,2";"1001,2";"1000,6";"0,8";"89,0";"6,2";"254,60";"0,0"
"01/01/2022";"2300";"22,5";"26,6";"22,5";"69,0";"83,0";"67,0";"16,6";"22,6";"16,6";"1005,8";"1005,8";"1001,2";"4,9";"234,0";"16,4";"13,70";"0,0"
"02/01/2022";"0000";"19,5";"22,5";"18,5";"94,0";"96,0";"69,0";"18,5";"18,5";"16,6";"1005,7";"1005,9";"1005,0";"1,3";"188,0";"16,4";"4,90";"5,6"
"02/01/2022";"0100";"20,1";"20,7";"19,2";"90,0";"94,0";"88,0";"18,4";"18,6";"18,2";"1004,0";"1005,7";"1001,3";"0,2";"216,0";"10,9";"0,30";"1,4"
"02/01/2022";"0200";"19,8";"20,2";"19,6";"91,0";"92,0";"90,0";"18,4";"18,5";"18,2";"1003,6";"1004,0";"1003,5";"0,0";"112,0";"3,8";"";"0,0"
"02/01/2022";"0300";"20,3";"20,6";"19,8";"90,0";"91,0";"87,0";"18,6";"18,6";"18,3";"1003,5";"1003,9";"1003,5";"0,0";"35,0";"0,0";"";"0,0"
"02/01/2022";"0400";"19,5";"20,3";"19,5";"93,0";"93,0";"90,0";"18,3";"18,6";"18,2";"1003,2";"1003,6";"1003,2";"0,0";"55,0";"0,0";"";"0,0"
"02/01/2022";"0500";"19,8";"19,8";"19,4";"94,0";"94,0";"93,0";"18,7";"18,8";"18,3";"1002,3";"1003,2";"1002,3";"0,0";"232,0";"0,0";"";"0,0"
"02/01/2022";"0600";"20,0";"20,6";"19,5";"95,0";"96,0";"93,0";"19,1";"19,8";"18,4";"1002,0";"1002,4";"1001,9";"0,0";"96,0";"3,3";"";"0,0"
"02/01/2022";"0700";"20,1";"20,1";"19,7";"96,0";"96,0";"95,0";"19,5";"19,5";"18,9";"1001,6";"1002,2";"1001,6";"0,0";"186,0";"0,0";"";"0,0"
"02/01/2022";"0800";"21,1";"21,3";"20,1";"97,0";"97,0";"96,0";"20,6";"20,7";"19,5";"1002,3";"1002,3";"1001,5";"0,0";"104,0";"0,0";"";"0,0"
"02/01/2022";"0900";"21,6";"21,6";"21,1";"97,0";"97,0";"97,0";"21,1";"21,1";"20,5";"1002,3";"1002,5";"1002,2";"0,1";"89,0";"2,8";"24,90";"0,0"
"02/01/2022";"1000";"22,2";"22,3";"21,6";"95,0";"97,0";"95,0";"21,4";"21,5";"21,1";"1003,3";"1003,7";"1002,3";"0,0";"40,0";"3,1";"109,70";"0,0"
"02/01/2022";"1100";"22,6";"22,7";"22,2";"94,0";"95,0";"94,0";"21,6";"21,7";"21,4";"1002,6";"1004,0";"1002,6";"0,5";"59,0";"5,4";"168,90";"0,0"
"02/01/2022";"1200";"23,4";"23,4";"22,6";"92,0";"94,0";"92,0";"22,0";"22,1";"21,6";"1004,7";"1004,9";"1002,6";"0,0";"352,0";"5,4";"377,80";"0,2"
"02/01/2022";"1300";"24,2";"24,4";"23,4";"88,0";"92,0";"88,0";"22,2";"22,7";"21,9";"1004,9";"1004,9";"1004,2";"0,0";"357,0";"0,0";"647,90";"0,0"
"02/01/2022";"1400";"24,0";"24,5";"24,0";"81,0";"88,0";"81,0";"20,6";"22,2";"20,6";"1004,5";"1005,0";"1004,5";"0,0";"338,0";"0,0";"577,60";"0,0"
"02/01/2022";"1500";"26,2";"26,3";"24,0";"70,0";"82,0";"70,0";"20,4";"20,9";"20,1";"1004,1";"1004,5";"1003,9";"0,0";"8,0";"3,3";"931,00";"0,0"
"02/01/2022";"1600";"28,2";"28,2";"26,0";"57,0";"70,0";"57,0";"18,8";"20,1";"18,8";"1004,2";"1004,5";"1004,1";"0,1";"350,0";"2,5";"1214,30";"0,0"
"02/01/2022";"1700";"28,0";"28,7";"27,2";"61,0";"63,0";"55,0";"19,7";"20,0";"18,3";"1003,5";"1004,2";"1003,4";"0,5";"5,0";"5,8";"1652,80";"0,0"
"02/01/2022";"1800";"30,4";"30,6";"28,0";"51,0";"61,0";"51,0";"19,2";"20,2";"18,7";"1003,0";"1003,6";"1002,9";"1,7";"14,0";"7,0";"2401,70";"0,0"
"02/01/2022";"1900";"30,7";"31,2";"29,9";"51,0";"52,0";"48,0";"19,3";"19,7";"18,3";"1002,3";"1003,0";"1002,3";"1,3";"5,0";"6,4";"2328,80";"0,0"
"02/01/2022";"2000";"30,5";"31,3";"29,8";"49,0";"52,0";"48,0";"18,5";"19,8";"18,2";"1001,4";"1002,3";"1001,3";"0,3";"12,0";"5,8";"1859,40";"0,0"
"02/01/2022";"2100";"30,2";"31,0";"30,2";"51,0";"52,0";"48,0";"18,8";"19,3";"18,4";"1001,1";"1001,4";"1001,1";"0,1";"19,0";"3,8";"1483,80";"0,0"
"02/01/2022";"2200";"28,8";"30,2";"28,8";"54,0";"54,0";"50,0";"18,5";"19,2";"18,5";"1001,5";"1001,6";"1001,0";"0,0";"40,0";"3,8";"684,70";"0,0"
"02/01/2022";"2300";"25,5";"28,8";"25,5";"71,0";"72,0";"54,0";"19,8";"20,6";"18,5";"1002,5";"1002,5";"1001,5";"0,0";"55,0";"5,1";"97,00";"0,0"
"03/01/2022";"0000";"23,9";"25,4";"23,9";"77,0";"77,0";"70,0";"19,6";"19,7";"19,2";"1003,8";"1003,8";"1002,5";"0,0";"33,0";"3,3";"";"0,0"
"03/01/2022";"0100";"22,9";"23,9";"22,9";"83,0";"83,0";"77,0";"19,9";"20,0";"19,6";"1004,3";"1004,3";"1003,8";"0,0";"51,0";"2,0";"";"0,0"
