"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"24,7";"26,8";"24,7";"46,0";"46,0";"34,0";"12,5";"12,5";"9,6";"913,5";"913,5";"912,9";"4,8";"122,0";"9,3";"";"0,0"
"01/01/2022";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"0300";"20,2";"21,4";"20,2";"69,0";"69,0";"60,0";"14,4";"14,5";"13,2";"914,6";"914,9";"914,6";"1,8";"70,0";"5,2";"";"0,0"
"01/01/2022";"0400";"19,7";"20,3";"19,6";"73,0";"73,0";"69,0";"14,7";"14,8";"14,4";"914,3";"914,7";"914,3";"2,0";"64,0";"4,4";"";"0,0"
"01/01/2022";"0500";"19,1";"19,7";"18,8";"77,0";"78,0";"73,0";"14,9";"15,0";"14,7";"913,6";"914,3";"913,6";"2,5";"39,0";"4,5";"";"0,0"
"01/01/2022";"0600";"19,1";"19,3";"19,0";"78,0";"78,0";"76,0";"15,2";"15,2";"14,9";"913,3";"913,6";"913,3";"2,5";"27,0";"4,9";"";"0,0"
"01/01/2022";"0700";"18,6";"19,2";"18,6";"80,0";"80,0";"78,0";"15,1";"15,2";"15,1";"913,5";"913,5";"913,3";"1,9";"21,0";"5,0";"";"0,0"
"01/01/2022";"0800";"17,7";"18,6";"17,7";"84,0";"84,0";"80,0";"15,0";"15,2";"15,0";"914,0";"914,0";"913,5";"2,4";"21,0";"4,3";"";"0,0"
"01/01/2022";"0900";"17,5";"17,7";"17,3";"86,0";"87,0";"84,0";"15,1";"15,1";"14,9";"914,6";"914,6";"914,0";"2,1";"42,0";"3,7";"41,60";"0,0"
"01/01/2022";"1000";"19,4";"19,4";"17,5";"81,0";"86,0";"81,0";"16,0";"16,0";"15,1";"915,0";"915,0";"914,6";"2,2";"45,0";"3,8";"565,00";"0,0"
"01/01/2022";"1100";"21,5";"21,7";"19,1";"70,0";"81,0";"70,0";"15,8";"16,4";"15,6";"915,4";"915,4";"915,0";"2,8";"19,0";"5,7";"1452,00";"0,0"
"01/01/2022";"1200";"24,7";"25,0";"21,5";"56,0";"71,0";"55,0";"15,3";"16,5";"15,2";"915,3";"915,4";"915,3";"2,6";"356,0";"5,7";"2323,80";"0,0"
"01/01/2022";"1300";"27,8";"27,8";"24,6";"46,0";"57,0";"44,0";"15,2";"16,1";"13,9";"915,3";"915,4";"915,3";"2,4";"335,0";"5,9";"3050,50";"0,0"
"01/01/2022";"1400";"29,6";"29,7";"27,4";"35,0";"46,0";"35,0";"12,7";"14,9";"12,0";"915,2";"915,4";"915,1";"1,7";"302,0";"5,9";"3615,40";"0,0"
"01/01/2022";"1500";"30,3";"30,6";"28,6";"34,0";"39,0";"31,0";"12,8";"14,1";"10,6";"914,7";"915,2";"914,7";"1,5";"281,0";"5,3";"4002,70";"0,0"
"01/01/2022";"1600";"31,5";"31,5";"29,0";"31,0";"35,0";"29,0";"12,2";"13,3";"10,3";"913,9";"914,7";"913,9";"1,2";"252,0";"6,1";"3221,70";"0,0"
"01/01/2022";"1700";"33,0";"33,2";"30,7";"25,0";"31,0";"25,0";"10,6";"12,3";"9,8";"913,4";"914,0";"913,4";"1,9";"15,0";"6,0";"3950,40";"0,0"
"01/01/2022";"1800";"33,3";"33,4";"30,9";"24,0";"28,0";"24,0";"10,3";"11,2";"9,3";"913,0";"913,4";"912,9";"2,6";"343,0";"6,2";"3331,40";"0,0"
"01/01/2022";"1900";"31,7";"34,2";"31,1";"24,0";"26,0";"23,0";"8,5";"10,9";"8,3";"912,2";"913,0";"912,2";"1,7";"287,0";"7,6";"2349,00";"0,0"
"01/01/2022";"2000";"32,0";"32,4";"31,1";"25,0";"26,0";"23,0";"9,6";"9,6";"8,2";"911,6";"912,2";"911,6";"2,0";"122,0";"5,5";"1385,40";"0,0"
"01/01/2022";"2100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"2200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"2300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
