"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"26,5";"27,3";"26,3";"48,0";"48,0";"44,0";"14,6";"14,7";"14,0";"936,2";"936,3";"935,7";"0,0";"236,0";"1,6";"";"0,0"
"01/01/2022";"0100";"25,1";"26,5";"25,1";"53,0";"53,0";"48,0";"14,8";"15,0";"14,6";"936,9";"937,0";"936,2";"1,1";"236,0";"3,1";"";"0,0"
"01/01/2022";"0200";"26,3";"26,6";"24,9";"44,0";"53,0";"43,0";"13,0";"14,8";"13,0";"937,3";"937,3";"936,9";"1,8";"236,0";"3,7";"";"0,0"
"01/01/2022";"0300";"25,1";"26,3";"24,8";"48,0";"49,0";"44,0";"13,4";"13,5";"13,0";"937,2";"937,3";"937,2";"1,2";"236,0";"3,7";"";"0,0"
"01/01/2022";"0400";"23,1";"25,1";"23,1";"56,0";"56,0";"48,0";"13,8";"13,8";"13,4";"936,7";"937,2";"936,7";"0,2";"236,0";"4,0";"";"0,0"
"01/01/2022";"0500";"22,8";"23,8";"22,8";"57,0";"57,0";"54,0";"13,8";"14,0";"13,7";"936,2";"936,8";"936,2";"1,3";"236,0";"3,8";"";"0,0"
"01/01/2022";"0600";"22,3";"22,9";"22,2";"59,0";"59,0";"57,0";"14,0";"14,0";"13,8";"935,9";"936,2";"935,9";"1,7";"236,0";"3,0";"";"0,0"
"01/01/2022";"0700";"22,6";"22,8";"22,0";"58,0";"60,0";"57,0";"13,9";"14,0";"13,8";"936,3";"936,3";"935,9";"3,1";"236,0";"5,1";"";"0,0"
"01/01/2022";"0800";"22,1";"22,7";"21,9";"66,0";"67,0";"58,0";"15,5";"15,6";"13,9";"936,8";"936,8";"936,3";"1,5";"236,0";"5,4";"";"0,0"
"01/01/2022";"0900";"21,4";"22,1";"21,3";"70,0";"70,0";"66,0";"15,7";"15,8";"15,3";"937,3";"937,3";"936,8";"3,3";"236,0";"5,5";"5,70";"0,0"
"01/01/2022";"1000";"22,6";"22,6";"21,3";"65,0";"70,0";"65,0";"15,7";"15,7";"15,4";"937,8";"937,8";"937,3";"3,7";"236,0";"7,0";"315,20";"0,0"
"01/01/2022";"1100";"24,5";"24,7";"22,6";"58,0";"65,0";"57,0";"15,6";"16,0";"15,4";"938,2";"938,3";"937,8";"4,3";"236,0";"6,8";"1213,80";"0,0"
"01/01/2022";"1200";"26,8";"26,9";"24,5";"52,0";"58,0";"52,0";"16,0";"16,4";"15,6";"938,4";"938,4";"938,2";"3,5";"236,0";"6,9";"2065,90";"0,0"
"01/01/2022";"1300";"29,0";"29,0";"26,8";"45,0";"52,0";"45,0";"15,7";"16,5";"15,6";"938,6";"938,6";"938,4";"5,0";"236,0";"8,0";"2806,80";"0,0"
"01/01/2022";"1400";"30,6";"30,7";"29,0";"39,0";"44,0";"37,0";"14,9";"16,2";"13,8";"938,3";"938,7";"938,3";"2,9";"236,0";"8,0";"3362,90";"0,0"
"01/01/2022";"1500";"32,6";"32,6";"30,4";"30,0";"40,0";"30,0";"12,8";"15,5";"11,9";"937,7";"938,3";"937,7";"2,6";"236,0";"6,4";"3796,70";"0,0"
"01/01/2022";"1600";"32,5";"33,2";"31,1";"31,0";"32,0";"27,0";"13,2";"13,5";"10,5";"937,3";"937,8";"937,3";"3,0";"236,0";"6,9";"3709,60";"0,0"
"01/01/2022";"1700";"33,9";"34,8";"32,0";"28,0";"32,0";"27,0";"12,7";"13,6";"11,7";"936,8";"937,3";"936,8";"1,6";"236,0";"7,5";"3685,00";"0,0"
"01/01/2022";"1800";"33,9";"34,2";"32,2";"29,0";"31,0";"27,0";"13,4";"13,7";"11,7";"936,1";"936,8";"936,1";"2,0";"236,0";"7,7";"2470,60";"0,0"
"01/01/2022";"1900";"33,8";"34,9";"32,1";"27,0";"30,0";"26,0";"12,3";"13,5";"11,5";"935,5";"936,1";"935,5";"1,7";"236,0";"6,0";"2706,70";"0,0"
"01/01/2022";"2000";"33,5";"35,1";"32,8";"27,0";"29,0";"25,0";"12,0";"13,1";"11,2";"934,8";"935,5";"934,8";"1,6";"236,0";"4,9";"2084,70";"0,0"
"01/01/2022";"2100";"33,1";"33,9";"32,3";"27,0";"29,0";"27,0";"11,6";"13,2";"11,5";"934,5";"934,8";"934,5";"1,3";"236,0";"3,6";"903,40";"0,0"
"01/01/2022";"2200";"31,6";"33,2";"31,6";"31,0";"31,0";"27,0";"12,4";"12,4";"11,7";"934,9";"934,9";"934,5";"1,0";"236,0";"2,6";"505,40";"0,0"
"01/01/2022";"2300";"29,8";"31,6";"29,6";"35,0";"35,0";"31,0";"12,5";"13,0";"12,1";"935,8";"935,8";"934,9";"0,4";"236,0";"2,4";"29,40";"0,0"
"02/01/2022";"0000";"28,1";"29,9";"28,1";"40,0";"40,0";"34,0";"13,1";"13,2";"12,3";"936,8";"936,8";"935,8";"0,7";"236,0";"1,9";"";"0,0"
"02/01/2022";"0100";"29,0";"29,3";"28,1";"34,0";"40,0";"34,0";"11,8";"13,3";"11,8";"937,2";"937,2";"936,8";"0,0";"236,0";"1,7";"";"0,0"
"02/01/2022";"0200";"29,0";"29,9";"28,6";"34,0";"36,0";"32,0";"11,7";"12,2";"11,4";"937,2";"937,3";"937,0";"0,0";"236,0";"0,0";"";"0,0"
"02/01/2022";"0300";"29,1";"29,2";"28,8";"33,0";"35,0";"33,0";"11,3";"12,0";"11,3";"937,1";"937,2";"937,0";"0,0";"236,0";"0,0";"";"0,0"
"02/01/2022";"0400";"27,1";"29,6";"27,1";"38,0";"39,0";"32,0";"11,7";"11,8";"11,0";"937,3";"937,3";"937,1";"0,9";"236,0";"1,5";"";"0,0"
"02/01/2022";"0500";"25,9";"27,1";"23,2";"46,0";"54,0";"38,0";"13,2";"13,9";"11,7";"937,5";"937,6";"937,3";"1,7";"236,0";"4,7";"";"0,0"
"02/01/2022";"0600";"25,7";"26,4";"25,6";"47,0";"47,0";"45,0";"13,4";"13,5";"13,2";"937,0";"937,5";"937,0";"1,9";"236,0";"3,6";"";"0,0"
"02/01/2022";"0700";"24,6";"25,7";"24,6";"51,0";"51,0";"47,0";"13,7";"13,7";"13,4";"936,6";"937,0";"936,6";"1,2";"236,0";"3,6";"";"0,0"
"02/01/2022";"0800";"24,6";"25,2";"23,6";"50,0";"54,0";"48,0";"13,6";"13,8";"13,4";"936,3";"936,6";"936,1";"3,7";"236,0";"6,0";"";"0,0"
"02/01/2022";"0900";"23,8";"24,6";"23,6";"54,0";"54,0";"50,0";"14,0";"14,0";"13,6";"937,1";"937,1";"936,3";"4,9";"236,0";"7,2";"4,80";"0,0"
"02/01/2022";"1000";"24,9";"25,0";"23,6";"52,0";"55,0";"52,0";"14,2";"14,5";"14,0";"938,3";"938,3";"937,1";"5,0";"236,0";"8,8";"360,00";"0,0"
"02/01/2022";"1100";"27,2";"27,3";"24,7";"47,0";"52,0";"47,0";"15,0";"15,3";"14,2";"939,3";"939,3";"938,3";"4,7";"236,0";"7,6";"1155,60";"0,0"
"02/01/2022";"1200";"28,8";"29,2";"27,2";"46,0";"48,0";"45,0";"16,1";"16,4";"15,0";"939,6";"939,6";"939,0";"5,5";"236,0";"10,2";"2049,60";"0,0"
"02/01/2022";"1300";"30,9";"31,2";"28,7";"43,0";"47,0";"43,0";"16,8";"17,3";"16,2";"939,9";"939,9";"939,5";"5,1";"236,0";"10,0";"2803,80";"0,0"
"02/01/2022";"1400";"32,3";"32,6";"30,2";"42,0";"45,0";"40,0";"17,6";"18,1";"16,4";"940,4";"940,4";"939,9";"5,6";"236,0";"12,1";"2741,90";"0,0"
"02/01/2022";"1500";"32,7";"33,7";"31,3";"38,0";"43,0";"37,0";"16,5";"17,9";"16,4";"939,8";"940,5";"939,8";"5,0";"236,0";"11,9";"3443,50";"0,0"
"02/01/2022";"1600";"34,1";"35,2";"31,5";"34,0";"39,0";"32,0";"15,9";"17,8";"15,0";"938,9";"939,9";"938,9";"5,0";"236,0";"12,4";"3402,60";"0,0"
"02/01/2022";"1700";"34,1";"34,8";"32,6";"32,0";"37,0";"29,0";"14,9";"16,5";"13,9";"937,7";"938,9";"937,7";"5,4";"236,0";"9,8";"2940,10";"0,0"
"02/01/2022";"1800";"33,1";"34,7";"32,9";"32,0";"35,0";"30,0";"14,4";"15,9";"14,1";"937,2";"937,8";"937,2";"4,4";"236,0";"10,0";"2473,70";"0,0"
"02/01/2022";"1900";"33,7";"34,5";"32,9";"32,0";"35,0";"31,0";"14,8";"16,0";"14,5";"936,4";"937,2";"936,4";"2,5";"236,0";"7,6";"1997,40";"0,0"
"02/01/2022";"2000";"33,4";"34,5";"33,2";"32,0";"33,0";"30,0";"14,3";"15,4";"13,7";"936,1";"936,4";"935,7";"1,8";"236,0";"5,6";"1212,10";"0,0"
"02/01/2022";"2100";"32,1";"33,4";"32,1";"37,0";"37,0";"32,0";"15,5";"15,5";"14,3";"936,7";"936,7";"936,0";"0,8";"236,0";"4,3";"448,30";"0,0"
"02/01/2022";"2200";"28,4";"32,1";"28,4";"40,0";"45,0";"36,0";"13,6";"16,5";"13,6";"937,1";"937,1";"936,7";"3,2";"236,0";"6,8";"127,60";"0,0"
"02/01/2022";"2300";"22,0";"28,4";"22,0";"81,0";"81,0";"40,0";"18,6";"18,8";"13,7";"939,4";"939,4";"937,1";"2,9";"236,0";"13,1";"4,20";"0,0"
"03/01/2022";"0000";"22,5";"22,5";"21,7";"75,0";"84,0";"75,0";"17,8";"18,9";"17,8";"940,3";"940,4";"939,4";"2,4";"236,0";"6,4";"";"0,0"
"03/01/2022";"0100";"21,3";"22,8";"21,3";"86,0";"86,0";"72,0";"18,8";"18,9";"17,5";"940,4";"940,4";"939,6";"2,1";"236,0";"8,3";"";"0,0"
"03/01/2022";"0200";"21,7";"22,0";"21,2";"83,0";"86,0";"81,0";"18,6";"18,9";"18,5";"941,8";"942,0";"940,4";"1,1";"236,0";"5,0";"";"0,0"
"03/01/2022";"0300";"21,3";"21,7";"21,3";"82,0";"84,0";"81,0";"18,1";"18,7";"18,1";"941,4";"942,1";"941,4";"1,8";"236,0";"4,0";"";"0,0"
"03/01/2022";"0400";"21,4";"21,7";"21,2";"83,0";"83,0";"81,0";"18,4";"18,4";"18,1";"940,8";"941,4";"940,8";"3,8";"236,0";"6,8";"";"0,0"
"03/01/2022";"0500";"20,5";"21,4";"20,5";"90,0";"90,0";"83,0";"18,7";"18,7";"18,4";"940,0";"940,8";"940,0";"2,0";"236,0";"7,9";"";"0,0"
"03/01/2022";"0600";"20,5";"20,5";"20,4";"90,0";"91,0";"90,0";"18,9";"19,0";"18,7";"939,3";"940,0";"939,2";"2,2";"236,0";"6,9";"";"0,0"
"03/01/2022";"0700";"20,8";"20,9";"20,5";"86,0";"90,0";"86,0";"18,5";"18,9";"18,5";"939,5";"939,6";"939,2";"2,6";"236,0";"7,1";"";"0,0"
"03/01/2022";"0800";"21,1";"21,1";"20,8";"84,0";"86,0";"84,0";"18,3";"18,5";"18,3";"939,6";"939,7";"939,5";"3,6";"236,0";"6,8";"";"0,0"
"03/01/2022";"0900";"20,7";"21,1";"20,7";"86,0";"86,0";"84,0";"18,3";"18,3";"18,2";"939,8";"939,8";"939,6";"4,0";"236,0";"7,4";"";"0,0"
"03/01/2022";"1000";"20,8";"20,9";"20,6";"87,0";"87,0";"86,0";"18,4";"18,5";"18,3";"940,4";"940,5";"939,8";"2,1";"236,0";"7,2";"46,50";"0,0"
"03/01/2022";"1100";"21,9";"21,9";"20,7";"84,0";"88,0";"82,0";"19,0";"19,0";"18,5";"941,1";"941,1";"940,3";"2,6";"236,0";"4,6";"354,60";"0,0"
"03/01/2022";"1200";"24,2";"24,8";"21,7";"70,0";"84,0";"68,0";"18,5";"19,4";"17,9";"941,0";"941,3";"940,9";"4,2";"236,0";"7,4";"1239,00";"0,0"
"03/01/2022";"1300";"24,4";"24,5";"23,3";"69,0";"75,0";"69,0";"18,4";"19,0";"17,7";"940,7";"941,0";"940,5";"6,6";"236,0";"10,3";"1145,90";"0,0"
"03/01/2022";"1400";"27,3";"28,1";"24,2";"55,0";"69,0";"54,0";"17,5";"18,7";"17,5";"940,1";"940,8";"940,1";"6,9";"236,0";"10,9";"2499,10";"0,0"
