"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"25,5";"26,8";"25,4";"46,0";"46,0";"41,0";"13,1";"13,2";"12,5";"929,4";"929,4";"928,8";"3,0";"139,0";"5,9";"";"0,0"
"01/01/2022";"0100";"24,7";"25,6";"24,6";"51,0";"51,0";"46,0";"13,8";"13,8";"13,0";"929,9";"930,0";"929,4";"3,7";"138,0";"5,6";"";"0,0"
"01/01/2022";"0200";"23,4";"24,8";"23,4";"56,0";"56,0";"51,0";"14,2";"14,2";"13,8";"930,4";"930,4";"929,9";"2,9";"129,0";"6,8";"";"0,0"
"01/01/2022";"0300";"23,0";"23,5";"23,0";"55,0";"57,0";"55,0";"13,6";"14,2";"13,6";"930,2";"930,4";"930,2";"4,4";"95,0";"7,3";"";"0,0"
"01/01/2022";"0400";"21,7";"23,1";"21,6";"61,0";"61,0";"55,0";"13,8";"13,8";"13,4";"929,8";"930,2";"929,8";"4,1";"80,0";"7,7";"";"0,0"
"01/01/2022";"0500";"21,1";"21,7";"21,0";"69,0";"69,0";"61,0";"15,2";"15,2";"13,7";"929,2";"929,8";"929,2";"4,1";"74,0";"7,2";"";"0,0"
"01/01/2022";"0600";"20,5";"21,2";"20,3";"74,0";"75,0";"69,0";"15,7";"15,9";"15,2";"929,2";"929,2";"929,0";"3,8";"68,0";"7,2";"";"0,0"
"01/01/2022";"0700";"19,9";"20,5";"19,8";"78,0";"79,0";"74,0";"16,0";"16,1";"15,5";"929,4";"929,4";"929,2";"2,9";"61,0";"6,3";"";"0,0"
"01/01/2022";"0800";"19,4";"19,9";"19,3";"81,0";"82,0";"78,0";"16,0";"16,3";"15,9";"929,9";"929,9";"929,3";"3,0";"54,0";"5,9";"";"0,0"
"01/01/2022";"0900";"18,9";"19,4";"18,8";"84,0";"84,0";"81,0";"16,2";"16,3";"15,8";"930,5";"930,5";"929,9";"3,0";"45,0";"5,5";"21,00";"0,0"
"01/01/2022";"1000";"20,6";"20,6";"18,8";"79,0";"84,0";"79,0";"16,9";"16,9";"16,1";"930,9";"930,9";"930,4";"3,3";"45,0";"5,6";"434,60";"0,0"
"01/01/2022";"1100";"23,5";"23,6";"20,5";"67,0";"79,0";"67,0";"17,1";"17,4";"16,8";"931,3";"931,3";"930,9";"3,4";"33,0";"6,9";"1221,40";"0,0"
"01/01/2022";"1200";"26,5";"26,9";"23,3";"53,0";"68,0";"52,0";"16,0";"17,3";"15,6";"931,4";"931,4";"931,2";"3,6";"346,0";"6,4";"2078,20";"0,0"
"01/01/2022";"1300";"28,7";"28,8";"26,2";"45,0";"53,0";"45,0";"15,7";"16,4";"15,4";"931,3";"931,5";"931,3";"3,4";"317,0";"7,4";"2840,00";"0,0"
"01/01/2022";"1400";"30,2";"30,9";"28,0";"33,0";"47,0";"31,0";"12,4";"16,0";"11,7";"931,1";"931,5";"931,1";"2,2";"328,0";"6,9";"3363,10";"0,0"
"01/01/2022";"1500";"32,5";"32,5";"29,4";"31,0";"35,0";"26,0";"13,0";"13,5";"9,8";"930,6";"931,2";"930,5";"2,0";"349,0";"5,8";"3568,20";"0,0"
"01/01/2022";"1600";"32,3";"33,7";"31,1";"26,0";"31,0";"25,0";"10,2";"12,9";"10,2";"930,2";"930,6";"930,2";"2,8";"299,0";"6,8";"4134,10";"0,0"
"01/01/2022";"1700";"33,6";"34,1";"31,6";"28,0";"29,0";"26,0";"12,5";"12,5";"10,3";"929,6";"930,2";"929,5";"2,8";"284,0";"7,7";"4081,90";"0,0"
"01/01/2022";"1800";"33,5";"34,7";"33,0";"24,0";"28,0";"23,0";"10,3";"12,4";"9,4";"929,0";"929,6";"929,0";"2,3";"245,0";"7,7";"3424,40";"0,0"
"01/01/2022";"1900";"34,1";"35,1";"33,2";"23,0";"26,0";"23,0";"10,4";"11,9";"10,0";"928,2";"929,0";"928,1";"2,5";"275,0";"5,9";"3092,20";"0,0"
"01/01/2022";"2000";"32,9";"34,1";"32,1";"25,0";"28,0";"24,0";"10,4";"11,8";"10,1";"927,6";"928,2";"927,5";"1,5";"305,0";"5,2";"1226,20";"0,0"
"01/01/2022";"2100";"32,8";"33,3";"32,1";"24,0";"28,0";"23,0";"9,2";"11,4";"9,2";"927,4";"927,6";"927,4";"1,9";"139,0";"3,6";"1133,50";"0,0"
"01/01/2022";"2200";"31,6";"33,8";"31,6";"28,0";"28,0";"23,0";"10,7";"11,3";"9,4";"927,9";"927,9";"927,4";"0,6";"26,0";"5,1";"487,80";"0,0"
"01/01/2022";"2300";"29,5";"31,6";"29,2";"33,0";"33,0";"27,0";"11,4";"11,5";"9,8";"928,7";"928,7";"927,8";"0,6";"29,0";"2,0";"25,90";"0,0"
"02/01/2022";"0000";"28,2";"30,4";"28,2";"39,0";"39,0";"31,0";"12,7";"12,7";"11,1";"929,7";"929,7";"928,7";"1,2";"322,0";"2,0";"";"0,0"
"02/01/2022";"0100";"25,9";"28,8";"25,9";"46,0";"46,0";"35,0";"13,3";"13,7";"11,7";"930,5";"930,5";"929,7";"1,0";"203,0";"4,7";"";"0,0"
"02/01/2022";"0200";"25,8";"27,1";"25,5";"46,0";"49,0";"41,0";"13,2";"14,0";"12,3";"930,5";"930,6";"930,4";"3,5";"121,0";"6,1";"";"0,0"
"02/01/2022";"0300";"24,8";"26,0";"24,7";"55,0";"55,0";"46,0";"15,0";"15,0";"13,3";"930,3";"930,6";"930,3";"4,3";"97,0";"8,0";"";"0,0"
"02/01/2022";"0400";"23,2";"24,8";"23,2";"62,0";"62,0";"55,0";"15,6";"15,9";"15,1";"930,4";"930,4";"930,1";"1,4";"67,0";"7,1";"";"0,0"
"02/01/2022";"0500";"22,7";"23,2";"22,7";"67,0";"67,0";"62,0";"16,4";"16,4";"15,6";"930,4";"930,5";"930,3";"2,4";"98,0";"3,8";"";"0,0"
"02/01/2022";"0600";"22,1";"23,0";"22,1";"69,0";"70,0";"67,0";"16,2";"16,5";"16,2";"930,3";"930,5";"930,3";"3,3";"73,0";"6,1";"";"0,0"
"02/01/2022";"0700";"22,0";"22,1";"21,5";"67,0";"70,0";"67,0";"15,6";"16,2";"15,5";"929,8";"930,4";"929,8";"3,7";"61,0";"7,7";"";"0,0"
"02/01/2022";"0800";"21,4";"22,1";"21,2";"69,0";"69,0";"66,0";"15,4";"15,6";"15,2";"930,0";"930,3";"929,7";"4,1";"57,0";"7,7";"";"0,0"
"02/01/2022";"0900";"21,5";"21,6";"21,1";"68,0";"70,0";"68,0";"15,3";"15,4";"15,2";"930,5";"930,5";"930,0";"5,2";"63,0";"9,6";"18,50";"0,0"
"02/01/2022";"1000";"22,1";"22,1";"21,5";"68,0";"69,0";"68,0";"15,9";"16,0";"15,4";"931,7";"931,7";"930,5";"3,8";"51,0";"9,6";"421,40";"0,0"
"02/01/2022";"1100";"24,9";"24,9";"22,1";"59,0";"69,0";"59,0";"16,4";"16,5";"15,9";"932,5";"932,5";"931,7";"3,7";"45,0";"8,0";"1198,60";"0,0"
"02/01/2022";"1200";"29,1";"29,6";"24,8";"44,0";"59,0";"44,0";"15,8";"17,0";"15,6";"932,5";"932,7";"932,4";"5,7";"6,0";"8,3";"2036,40";"0,0"
"02/01/2022";"1300";"31,1";"31,5";"29,0";"42,0";"45,0";"40,0";"16,6";"16,8";"15,7";"932,7";"932,8";"932,5";"5,1";"330,0";"9,4";"2744,00";"0,0"
"02/01/2022";"1400";"32,4";"33,1";"31,1";"35,0";"42,0";"34,0";"14,9";"16,7";"14,6";"933,0";"933,1";"932,6";"5,8";"306,0";"10,6";"3302,60";"0,0"
"02/01/2022";"1500";"32,2";"34,5";"31,8";"34,0";"36,0";"30,0";"14,2";"15,7";"13,7";"932,5";"933,0";"932,5";"4,7";"309,0";"11,4";"3412,20";"0,0"
"02/01/2022";"1600";"29,2";"34,4";"29,2";"47,0";"47,0";"30,0";"16,8";"16,8";"13,3";"931,9";"932,5";"931,8";"6,6";"356,0";"13,0";"1653,80";"0,0"
"02/01/2022";"1700";"34,1";"34,3";"29,0";"33,0";"49,0";"32,0";"15,3";"17,5";"14,0";"930,4";"931,9";"930,4";"5,4";"333,0";"12,5";"3047,00";"0,0"
"02/01/2022";"1800";"34,1";"35,2";"33,6";"25,0";"33,0";"22,0";"11,4";"15,5";"9,2";"930,2";"930,5";"930,1";"4,9";"299,0";"9,8";"2772,90";"0,0"
"02/01/2022";"1900";"34,6";"35,7";"34,1";"24,0";"26,0";"22,0";"11,3";"12,2";"9,3";"929,1";"930,1";"929,1";"3,1";"261,0";"9,2";"2583,10";"0,0"
