"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"25,0";"26,4";"25,0";"72,0";"72,0";"65,0";"19,7";"19,7";"19,3";"1000,3";"1000,3";"999,4";"2,1";"126,0";"5,4";"";"0,0"
"01/01/2022";"0100";"24,1";"25,0";"24,1";"77,0";"77,0";"72,0";"19,8";"19,8";"19,6";"1000,6";"1000,6";"1000,2";"1,3";"95,0";"4,3";"";"0,0"
"01/01/2022";"0200";"23,6";"24,1";"23,6";"80,0";"80,0";"77,0";"19,9";"19,9";"19,8";"1000,5";"1000,8";"1000,5";"1,0";"76,0";"3,4";"";"0,0"
"01/01/2022";"0300";"23,3";"23,8";"23,3";"79,0";"80,0";"78,0";"19,6";"19,9";"19,5";"1000,0";"1000,5";"1000,0";"1,0";"104,0";"2,6";"";"0,0"
"01/01/2022";"0400";"23,0";"23,6";"22,5";"84,0";"85,0";"78,0";"20,1";"20,2";"19,4";"999,7";"1000,0";"999,6";"1,4";"132,0";"3,4";"";"0,0"
"01/01/2022";"0500";"22,3";"23,1";"22,3";"86,0";"86,0";"83,0";"19,9";"20,1";"19,8";"999,4";"999,7";"999,4";"1,0";"90,0";"3,4";"";"0,0"
"01/01/2022";"0600";"21,9";"22,4";"21,9";"88,0";"88,0";"86,0";"19,8";"20,0";"19,8";"999,3";"999,5";"999,3";"1,2";"91,0";"3,1";"";"0,0"
"01/01/2022";"0700";"21,4";"21,9";"21,4";"89,0";"89,0";"88,0";"19,5";"19,9";"19,5";"999,6";"999,6";"999,3";"0,8";"104,0";"2,5";"";"0,0"
"01/01/2022";"0800";"21,5";"21,6";"21,4";"90,0";"90,0";"89,0";"19,8";"19,8";"19,5";"999,9";"999,9";"999,6";"1,0";"85,0";"1,8";"";"0,0"
"01/01/2022";"0900";"21,3";"21,5";"21,2";"91,0";"91,0";"90,0";"19,8";"19,8";"19,6";"1000,6";"1000,6";"999,9";"0,4";"357,0";"1,8";"26,80";"0,0"
"01/01/2022";"1000";"24,8";"24,8";"21,3";"76,0";"91,0";"74,0";"20,2";"20,7";"19,2";"1000,9";"1000,9";"1000,6";"0,7";"111,0";"1,3";"485,70";"0,0"
"01/01/2022";"1100";"25,9";"26,1";"24,2";"72,0";"76,0";"71,0";"20,3";"20,8";"19,3";"1001,2";"1001,2";"1000,9";"0,8";"340,0";"2,1";"1314,40";"0,0"
"01/01/2022";"1200";"28,0";"28,8";"25,7";"63,0";"72,0";"59,0";"20,3";"21,2";"19,2";"1001,1";"1001,4";"1001,1";"0,8";"193,0";"2,3";"2115,70";"0,0"
"01/01/2022";"1300";"29,3";"29,6";"27,9";"56,0";"63,0";"55,0";"19,6";"20,5";"18,8";"1001,2";"1001,4";"1001,1";"1,2";"304,0";"3,8";"2800,00";"0,0"
