"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"26,7";"29,5";"26,7";"51,0";"51,0";"40,0";"15,7";"16,1";"14,5";"989,1";"989,1";"988,7";"0,0";"60,0";"0,0";"";"0,0"
"01/01/2022";"0100";"26,8";"26,8";"25,6";"50,0";"54,0";"50,0";"15,3";"15,7";"15,3";"989,9";"989,9";"989,1";"1,4";"46,0";"4,4";"";"0,0"
"01/01/2022";"0200";"26,1";"27,3";"26,0";"54,0";"55,0";"48,0";"16,2";"16,2";"15,3";"990,1";"990,2";"989,9";"0,0";"55,0";"5,1";"";"0,0"
"01/01/2022";"0300";"25,1";"26,2";"25,1";"57,0";"57,0";"54,0";"16,0";"16,3";"16,0";"990,1";"990,2";"990,0";"0,0";"50,0";"5,8";"";"0,0"
"01/01/2022";"0400";"24,6";"25,6";"24,6";"59,0";"59,0";"55,0";"16,0";"16,1";"15,8";"989,8";"990,1";"989,8";"0,0";"71,0";"0,0";"";"0,0"
"01/01/2022";"0500";"25,4";"25,9";"24,3";"58,0";"61,0";"55,0";"16,5";"16,8";"15,9";"990,0";"990,2";"989,8";"1,4";"120,0";"7,4";"";"0,0"
"01/01/2022";"0600";"23,3";"25,4";"23,3";"65,0";"65,0";"58,0";"16,5";"16,8";"16,3";"989,7";"990,0";"989,6";"0,0";"96,0";"3,5";"";"0,0"
"01/01/2022";"0700";"22,1";"23,5";"22,1";"72,0";"72,0";"65,0";"16,9";"17,1";"16,5";"989,7";"989,7";"989,6";"0,0";"127,0";"0,0";"";"0,0"
"01/01/2022";"0800";"21,4";"22,1";"21,4";"78,0";"78,0";"72,0";"17,3";"17,5";"16,9";"989,9";"989,9";"989,6";"0,0";"134,0";"0,0";"";"0,0"
"01/01/2022";"0900";"23,0";"24,0";"21,1";"69,0";"79,0";"64,0";"17,1";"17,5";"16,8";"990,6";"990,6";"989,9";"0,1";"93,0";"5,5";"65,80";"0,0"
"01/01/2022";"1000";"26,0";"26,1";"23,0";"60,0";"69,0";"60,0";"17,7";"17,7";"17,1";"991,3";"991,3";"990,6";"0,0";"125,0";"5,4";"702,30";"0,0"
"01/01/2022";"1100";"31,3";"31,5";"26,1";"41,0";"60,0";"39,0";"16,3";"18,2";"15,8";"991,5";"991,7";"991,2";"1,2";"36,0";"5,0";"1508,50";"0,0"
"01/01/2022";"1200";"34,7";"34,7";"31,1";"33,0";"41,0";"32,0";"15,9";"16,6";"15,1";"991,2";"991,5";"991,1";"5,2";"36,0";"8,3";"2292,90";"0,0"
"01/01/2022";"1300";"37,1";"37,4";"34,3";"28,0";"32,0";"26,0";"15,3";"16,0";"14,1";"990,7";"991,2";"990,7";"2,8";"26,0";"8,6";"2995,00";"0,0"
"01/01/2022";"1400";"37,9";"39,0";"36,8";"21,0";"27,0";"21,0";"12,1";"15,1";"11,8";"990,2";"990,8";"990,2";"3,9";"6,0";"9,4";"3476,30";"0,0"
"01/01/2022";"1500";"39,1";"39,2";"37,4";"20,0";"23,0";"19,0";"11,6";"13,5";"11,1";"989,4";"990,2";"989,4";"4,2";"18,0";"11,4";"3809,70";"0,0"
"01/01/2022";"1600";"38,8";"40,0";"38,1";"18,0";"20,0";"17,0";"10,6";"12,7";"9,5";"988,9";"989,4";"988,9";"5,1";"352,0";"11,4";"3848,00";"0,0"
"01/01/2022";"1700";"39,6";"40,6";"38,3";"19,0";"20,0";"14,0";"11,6";"12,2";"8,2";"988,1";"988,9";"988,0";"4,6";"359,0";"10,8";"3639,00";"0,0"
"01/01/2022";"1800";"39,7";"40,8";"38,9";"17,0";"19,0";"15,0";"10,0";"12,2";"7,4";"987,4";"988,1";"987,4";"3,3";"353,0";"11,0";"3213,60";"0,0"
"01/01/2022";"1900";"38,6";"40,1";"38,5";"19,0";"20,0";"16,0";"10,6";"12,0";"8,9";"987,5";"987,5";"987,2";"1,5";"348,0";"10,8";"2440,60";"0,0"
"01/01/2022";"2000";"24,9";"38,8";"24,9";"55,0";"55,0";"18,0";"15,3";"15,7";"10,3";"990,9";"990,9";"987,2";"12,9";"195,0";"25,8";"933,50";"0,0"
"01/01/2022";"2100";"23,6";"25,0";"23,6";"62,0";"62,0";"55,0";"15,9";"15,9";"15,4";"990,4";"991,5";"987,6";"8,2";"155,0";"23,0";"486,30";"0,0"
"01/01/2022";"2200";"23,1";"23,6";"23,0";"65,0";"66,0";"62,0";"16,3";"16,3";"15,8";"989,9";"990,6";"989,9";"7,1";"139,0";"14,4";"208,90";"0,0"
"01/01/2022";"2300";"22,9";"23,4";"22,9";"67,0";"67,0";"65,0";"16,3";"16,4";"16,2";"990,4";"990,4";"989,7";"4,9";"141,0";"12,7";"4,30";"0,0"
"02/01/2022";"0000";"22,8";"22,9";"22,5";"68,0";"69,0";"67,0";"16,5";"16,6";"16,3";"991,4";"991,4";"990,2";"0,3";"130,0";"8,9";"";"0,0"
"02/01/2022";"0100";"24,2";"24,2";"22,7";"63,0";"68,0";"63,0";"16,7";"16,9";"16,5";"994,6";"994,6";"991,4";"4,4";"231,0";"12,7";"";"0,0"
"02/01/2022";"0200";"23,9";"24,6";"23,7";"63,0";"64,0";"60,0";"16,4";"16,7";"16,2";"995,2";"995,2";"994,1";"0,0";"229,0";"9,3";"";"0,0"
"02/01/2022";"0300";"22,6";"23,9";"22,6";"72,0";"72,0";"63,0";"17,2";"17,2";"16,5";"994,8";"995,4";"994,8";"5,1";"234,0";"8,6";"";"0,0"
"02/01/2022";"0400";"22,3";"22,6";"22,3";"73,0";"73,0";"72,0";"17,3";"17,3";"17,2";"992,6";"994,8";"992,6";"0,0";"213,0";"8,6";"";"0,0"
"02/01/2022";"0500";"22,0";"22,3";"21,8";"74,0";"75,0";"73,0";"17,2";"17,4";"17,1";"989,0";"992,6";"988,6";"3,3";"90,0";"8,7";"";"0,0"
"02/01/2022";"0600";"21,4";"22,1";"21,4";"75,0";"75,0";"73,0";"16,8";"17,2";"16,8";"989,9";"990,1";"988,9";"0,0";"94,0";"6,4";"";"0,0"
"02/01/2022";"0700";"20,7";"21,5";"20,6";"77,0";"78,0";"75,0";"16,5";"16,8";"16,5";"989,6";"989,9";"989,3";"0,0";"76,0";"4,2";"";"0,0"
"02/01/2022";"0800";"20,2";"20,7";"20,0";"81,0";"81,0";"77,0";"16,8";"16,9";"16,4";"990,7";"990,7";"989,6";"0,0";"142,0";"0,0";"";"0,0"
"02/01/2022";"0900";"20,6";"20,6";"19,9";"82,0";"83,0";"81,0";"17,4";"17,4";"16,7";"991,3";"991,3";"990,7";"0,0";"114,0";"0,0";"37,80";"0,0"
"02/01/2022";"1000";"24,6";"24,6";"20,2";"64,0";"83,0";"64,0";"17,3";"17,9";"16,9";"991,5";"991,5";"991,3";"0,0";"113,0";"0,8";"561,10";"0,0"
"02/01/2022";"1100";"26,4";"26,5";"24,6";"57,0";"64,0";"56,0";"17,1";"17,6";"16,6";"992,4";"992,5";"991,5";"0,5";"160,0";"4,9";"1402,20";"0,0"
"02/01/2022";"1200";"28,1";"28,5";"26,1";"51,0";"57,0";"51,0";"17,1";"17,7";"16,7";"992,8";"992,8";"992,4";"0,0";"129,0";"5,0";"1544,40";"0,0"
"02/01/2022";"1300";"30,8";"30,8";"27,9";"45,0";"52,0";"45,0";"17,5";"18,0";"16,7";"993,2";"993,4";"992,8";"0,1";"238,0";"3,7";"1638,10";"0,0"
"02/01/2022";"1400";"32,9";"33,3";"30,2";"39,0";"45,0";"36,0";"17,0";"17,5";"15,9";"993,2";"993,3";"993,1";"0,0";"265,0";"5,8";"2072,40";"0,0"
"02/01/2022";"1500";"33,4";"33,8";"31,9";"34,0";"39,0";"33,0";"15,2";"17,0";"14,8";"992,6";"993,3";"992,5";"0,0";"263,0";"5,1";"2445,90";"0,0"
"02/01/2022";"1600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"1700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"1800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"1900";"35,7";"36,9";"35,1";"29,0";"30,0";"27,0";"15,1";"15,6";"14,4";"989,7";"990,4";"989,6";"0,0";"309,0";"0,0";"1639,50";"0,0"
"02/01/2022";"2000";"35,5";"36,7";"35,0";"30,0";"31,0";"28,0";"15,1";"15,9";"14,9";"989,0";"989,7";"989,0";"0,0";"100,0";"10,5";"1273,60";"0,0"
"02/01/2022";"2100";"33,8";"36,4";"33,8";"36,0";"36,0";"29,0";"16,5";"16,6";"14,9";"989,7";"989,7";"988,9";"0,0";"349,0";"7,5";"821,90";"0,0"
"02/01/2022";"2200";"32,3";"33,9";"32,2";"41,0";"41,0";"36,0";"17,3";"17,4";"16,6";"990,9";"990,9";"989,7";"1,9";"349,0";"7,4";"240,90";"0,0"
"02/01/2022";"2300";"31,2";"32,3";"31,2";"43,0";"43,0";"41,0";"17,2";"17,6";"17,2";"991,7";"991,7";"990,9";"0,7";"349,0";"7,5";"7,00";"0,0"
"03/01/2022";"0000";"29,6";"31,2";"29,6";"56,0";"56,0";"43,0";"20,0";"20,0";"17,2";"992,5";"992,5";"991,7";"4,2";"349,0";"11,0";"";"0,0"
"03/01/2022";"0100";"27,8";"29,6";"27,8";"63,0";"63,0";"56,0";"20,2";"20,4";"20,0";"992,9";"992,9";"992,5";"3,3";"349,0";"11,0";"";"0,0"
"03/01/2022";"0200";"26,2";"27,8";"26,2";"69,0";"69,0";"63,0";"20,0";"20,2";"20,0";"993,4";"993,5";"992,8";"0,0";"349,0";"6,2";"";"0,0"
"03/01/2022";"0300";"25,2";"26,2";"25,1";"71,0";"71,0";"69,0";"19,7";"20,1";"19,4";"993,9";"993,9";"993,3";"0,0";"349,0";"0,0";"";"0,0"
"03/01/2022";"0400";"23,5";"25,2";"23,5";"76,0";"77,0";"71,0";"19,0";"19,7";"19,0";"993,3";"993,9";"993,2";"0,0";"346,0";"0,0";"";"0,0"
"03/01/2022";"0500";"22,9";"23,6";"22,6";"78,0";"81,0";"76,0";"18,9";"19,5";"18,8";"993,5";"993,9";"993,3";"1,2";"48,0";"4,5";"";"0,0"
"03/01/2022";"0600";"22,5";"23,3";"22,5";"78,0";"78,0";"76,0";"18,5";"19,0";"18,5";"993,7";"993,7";"993,3";"0,0";"62,0";"4,5";"";"0,0"
"03/01/2022";"0700";"22,4";"22,7";"21,9";"78,0";"82,0";"77,0";"18,4";"18,8";"18,3";"994,1";"994,1";"993,5";"0,0";"117,0";"5,3";"";"0,0"
"03/01/2022";"0800";"21,9";"22,5";"21,4";"80,0";"81,0";"78,0";"18,2";"18,5";"17,9";"994,2";"994,2";"994,0";"0,0";"3,0";"0,0";"";"0,0"
"03/01/2022";"0900";"21,5";"22,1";"21,0";"82,0";"82,0";"78,0";"18,3";"18,4";"17,6";"994,5";"994,5";"994,2";"0,1";"136,0";"3,1";"35,50";"0,0"
"03/01/2022";"1000";"24,4";"24,4";"21,4";"70,0";"83,0";"70,0";"18,7";"18,8";"18,3";"995,7";"995,7";"994,5";"0,0";"138,0";"3,1";"577,30";"0,0"
"03/01/2022";"1100";"28,6";"28,6";"24,4";"53,0";"70,0";"53,0";"18,2";"18,9";"17,9";"995,8";"995,9";"995,7";"0,0";"358,0";"0,0";"1470,50";"0,0"
"03/01/2022";"1200";"31,0";"31,3";"28,6";"44,0";"53,0";"44,0";"17,4";"18,7";"17,3";"995,6";"995,9";"995,6";"0,0";"295,0";"2,2";"2235,40";"0,0"
