"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"26,5";"27,4";"26,5";"53,0";"56,0";"53,0";"16,1";"17,2";"16,1";"992,8";"992,9";"992,4";"3,3";"100,0";"9,9";"";"0,0"
"01/01/2022";"0100";"25,3";"26,5";"25,1";"59,0";"60,0";"53,0";"16,6";"16,8";"16,0";"993,5";"993,5";"992,8";"2,2";"125,0";"6,3";"";"0,0"
"01/01/2022";"0200";"24,3";"25,4";"24,3";"63,0";"63,0";"58,0";"16,9";"16,9";"16,4";"993,4";"993,6";"993,4";"2,4";"59,0";"5,3";"";"0,0"
"01/01/2022";"0300";"23,3";"24,3";"23,0";"70,0";"71,0";"64,0";"17,5";"17,6";"16,9";"993,1";"993,4";"993,1";"2,3";"84,0";"3,9";"";"0,0"
"01/01/2022";"0400";"21,9";"23,5";"21,9";"75,0";"75,0";"70,0";"17,3";"18,0";"17,2";"993,0";"993,1";"993,0";"1,9";"153,0";"3,5";"";"0,0"
"01/01/2022";"0500";"21,9";"22,4";"21,8";"75,0";"76,0";"73,0";"17,3";"17,4";"17,3";"993,1";"993,2";"993,0";"0,5";"90,0";"3,5";"";"0,0"
"01/01/2022";"0600";"21,4";"22,1";"21,4";"78,0";"78,0";"75,0";"17,5";"17,5";"17,4";"992,9";"993,1";"992,9";"1,1";"72,0";"2,4";"";"0,0"
"01/01/2022";"0700";"20,7";"21,4";"20,5";"81,0";"83,0";"78,0";"17,4";"17,7";"17,4";"992,9";"993,1";"992,8";"1,2";"111,0";"2,9";"";"0,0"
"01/01/2022";"0800";"20,0";"20,8";"19,8";"85,0";"85,0";"81,0";"17,3";"17,5";"17,1";"993,2";"993,2";"992,9";"0,9";"81,0";"2,4";"";"0,0"
"01/01/2022";"0900";"19,8";"20,1";"19,7";"88,0";"88,0";"84,0";"17,6";"17,6";"17,2";"993,6";"993,6";"993,2";"1,1";"110,0";"2,2";"11,90";"0,0"
"01/01/2022";"1000";"22,1";"22,5";"19,8";"81,0";"88,0";"79,0";"18,7";"19,0";"17,7";"993,8";"993,8";"993,5";"1,4";"113,0";"3,5";"394,10";"0,0"
"01/01/2022";"1100";"24,9";"24,9";"22,1";"72,0";"81,0";"72,0";"19,6";"19,6";"18,5";"994,2";"994,2";"993,8";"1,6";"81,0";"3,0";"1142,50";"0,0"
"01/01/2022";"1200";"27,2";"27,7";"24,9";"64,0";"73,0";"62,0";"19,7";"20,3";"19,4";"994,2";"994,2";"994,1";"1,7";"110,0";"3,8";"1923,50";"0,0"
"01/01/2022";"1300";"30,2";"30,3";"27,1";"55,0";"65,0";"54,0";"20,0";"20,8";"19,5";"994,3";"994,4";"994,2";"1,2";"204,0";"3,6";"2610,40";"0,0"
"01/01/2022";"1400";"32,3";"32,7";"30,1";"51,0";"56,0";"47,0";"20,7";"20,9";"19,5";"994,2";"994,3";"994,2";"1,8";"171,0";"4,2";"3140,80";"0,0"
"01/01/2022";"1500";"34,0";"34,2";"32,0";"44,0";"51,0";"43,0";"20,1";"21,0";"19,2";"993,7";"994,2";"993,7";"2,4";"182,0";"5,5";"3584,90";"0,0"
"01/01/2022";"1600";"35,2";"35,7";"33,9";"36,0";"44,0";"33,0";"17,8";"20,9";"16,2";"993,2";"993,7";"993,2";"3,2";"191,0";"5,8";"3753,00";"0,0"
"01/01/2022";"1700";"36,1";"36,4";"34,9";"31,0";"37,0";"31,0";"16,3";"18,5";"16,3";"992,3";"993,2";"992,2";"2,6";"149,0";"5,8";"3631,20";"0,0"
"01/01/2022";"1800";"36,3";"37,2";"35,6";"33,0";"34,0";"30,0";"17,4";"18,1";"15,6";"991,3";"992,3";"991,3";"3,0";"156,0";"7,1";"3336,50";"0,0"
"01/01/2022";"1900";"36,4";"36,9";"35,7";"31,0";"33,0";"30,0";"16,7";"17,7";"16,3";"990,2";"991,3";"990,2";"2,1";"99,0";"6,4";"2865,10";"0,0"
"01/01/2022";"2000";"36,7";"37,0";"36,1";"30,0";"33,0";"29,0";"16,5";"17,6";"15,5";"989,6";"990,2";"989,6";"2,4";"125,0";"7,0";"2199,50";"0,0"
"01/01/2022";"2100";"35,8";"36,8";"35,8";"30,0";"32,0";"29,0";"15,6";"16,8";"15,3";"989,8";"989,8";"989,4";"2,6";"140,0";"5,2";"1415,80";"0,0"
"01/01/2022";"2200";"32,6";"35,8";"32,6";"34,0";"34,0";"29,0";"14,5";"15,9";"14,0";"991,0";"991,0";"989,8";"2,2";"151,0";"6,5";"537,30";"0,0"
