"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"1000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"1100";"25,8";"25,8";"22,8";"56,0";"66,0";"55,0";"16,3";"16,8";"15,5";"975,8";"975,8";"975,4";"1,5";"47,0";"";"822,40";""
"01/01/2022";"1200";"28,7";"28,8";"25,8";"45,0";"56,0";"45,0";"15,5";"16,7";"15,3";"975,9";"976,0";"975,8";"2,1";"13,0";"4,4";"1955,70";""
"01/01/2022";"1300";"31,7";"31,8";"28,7";"38,0";"45,0";"36,0";"15,6";"16,2";"14,5";"976,0";"976,0";"975,8";"3,4";"340,0";"6,4";"2722,80";""
"01/01/2022";"1400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"1500";"35,2";"35,2";"32,9";"28,0";"33,0";"27,0";"13,9";"15,2";"12,8";"974,9";"975,4";"974,9";"2,6";"309,0";"7,2";"3545,50";""
"01/01/2022";"1600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"1700";"36,5";"36,9";"34,9";"21,0";"24,0";"20,0";"10,9";"12,2";"9,5";"973,5";"974,4";"973,5";"3,3";"307,0";"7,6";"3862,90";""
"01/01/2022";"1800";"37,0";"37,8";"36,2";"20,0";"22,0";"19,0";"10,2";"11,9";"10,2";"972,7";"973,5";"972,7";"1,6";"37,0";"7,6";"3576,60";""
"01/01/2022";"1900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"2000";"37,4";"38,3";"35,9";"20,0";"23,0";"19,0";"10,3";"12,1";"9,9";"971,0";"971,7";"971,0";"2,1";"45,0";"";"962,50";""
"01/01/2022";"2100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"2200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2022";"2300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"0100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"0200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"0300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"0400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"0500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"0600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"1000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"1100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"1200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"1300";"32,8";"33,0";"31,3";"39,0";"41,0";"37,0";"16,8";"17,0";"16,0";"977,4";"977,4";"976,7";"4,0";"317,0";"8,6";"2710,00";""
"02/01/2022";"1400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/01/2022";"1500";"35,1";"35,9";"34,7";"30,0";"32,0";"30,0";"15,1";"16,2";"15,1";"976,7";"977,1";"976,6";"3,8";"318,0";"";"1818,60";""
"02/01/2022";"1600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
