"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"27,6";"28,6";"27,6";"42,0";"45,0";"41,0";"13,7";"15,3";"13,3";"960,1";"960,1";"959,5";"1,3";"146,0";"3,1";"";"0,0"
"01/01/2022";"0100";"27,2";"27,6";"27,0";"44,0";"45,0";"42,0";"14,0";"14,0";"13,7";"960,6";"960,6";"960,1";"1,1";"142,0";"2,8";"";"0,0"
"01/01/2022";"0200";"25,8";"27,2";"25,7";"49,0";"49,0";"44,0";"14,2";"14,2";"13,8";"960,9";"961,0";"960,6";"1,2";"130,0";"2,6";"";"0,0"
"01/01/2022";"0300";"24,7";"25,8";"24,5";"53,0";"54,0";"49,0";"14,5";"14,5";"13,8";"960,8";"961,0";"960,7";"0,8";"97,0";"2,3";"";"0,0"
"01/01/2022";"0400";"24,5";"24,8";"24,4";"59,0";"59,0";"53,0";"16,0";"16,0";"14,6";"960,7";"960,8";"960,6";"1,5";"99,0";"4,7";"";"0,0"
"01/01/2022";"0500";"23,3";"24,6";"23,3";"64,0";"64,0";"59,0";"16,0";"16,1";"16,0";"960,5";"960,7";"960,5";"1,4";"97,0";"5,3";"";"0,0"
"01/01/2022";"0600";"22,6";"23,3";"22,6";"66,0";"66,0";"64,0";"16,0";"16,1";"16,0";"960,4";"960,6";"960,3";"1,0";"96,0";"3,5";"";"0,0"
"01/01/2022";"0700";"22,8";"23,2";"22,4";"65,0";"67,0";"64,0";"15,9";"16,1";"15,9";"960,3";"960,4";"960,3";"1,5";"71,0";"3,5";"";"0,0"
"01/01/2022";"0800";"23,2";"23,3";"22,7";"62,0";"66,0";"62,0";"15,6";"15,9";"15,6";"960,4";"960,4";"960,3";"2,1";"69,0";"4,2";"";"0,0"
"01/01/2022";"0900";"22,8";"23,3";"22,4";"64,0";"65,0";"62,0";"15,6";"15,8";"15,5";"960,9";"960,9";"960,4";"2,0";"71,0";"4,0";"4,50";"0,0"
"01/01/2022";"1000";"24,6";"24,6";"22,8";"57,0";"64,0";"57,0";"15,6";"15,8";"15,6";"961,2";"961,2";"960,9";"2,6";"66,0";"4,9";"118,00";"0,0"
"01/01/2022";"1100";"27,3";"27,3";"24,6";"49,0";"58,0";"49,0";"15,8";"16,1";"15,5";"961,6";"961,8";"961,2";"3,1";"50,0";"5,3";"790,60";"0,0"
"01/01/2022";"1200";"31,8";"31,8";"27,4";"35,0";"49,0";"35,0";"14,5";"16,4";"14,5";"961,9";"961,9";"961,6";"2,6";"30,0";"5,8";"1993,20";"0,0"
"01/01/2022";"1300";"32,7";"33,4";"31,6";"30,0";"36,0";"30,0";"12,7";"14,7";"12,7";"962,0";"962,2";"961,9";"3,3";"347,0";"6,1";"2754,60";"0,0"
"01/01/2022";"1400";"34,1";"34,5";"32,5";"30,0";"31,0";"27,0";"13,9";"13,9";"12,4";"962,0";"962,1";"961,9";"3,4";"334,0";"6,7";"3267,70";"0,0"
"01/01/2022";"1500";"35,2";"36,0";"33,6";"25,0";"30,0";"24,0";"12,1";"14,0";"10,9";"961,5";"962,0";"961,5";"1,9";"178,0";"6,7";"3807,40";"0,0"
"01/01/2022";"1600";"35,2";"36,4";"34,7";"22,0";"26,0";"22,0";"10,2";"12,7";"10,2";"960,8";"961,5";"960,8";"2,7";"298,0";"7,6";"3837,60";"0,0"
"01/01/2022";"1700";"36,6";"37,3";"34,7";"21,0";"24,0";"19,0";"11,0";"12,2";"9,0";"960,2";"960,8";"960,2";"2,9";"327,0";"6,1";"3791,40";"0,0"
"01/01/2022";"1800";"37,1";"38,1";"35,3";"18,0";"22,0";"17,0";"9,1";"11,1";"8,6";"959,4";"960,2";"959,4";"2,9";"11,0";"6,7";"3550,40";"0,0"
"01/01/2022";"1900";"36,9";"38,2";"36,4";"18,0";"19,0";"16,0";"8,6";"9,5";"6,8";"958,4";"959,4";"958,4";"2,9";"318,0";"5,8";"2928,90";"0,0"
