"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"26,5";"27,1";"25,9";"58,0";"61,0";"55,0";"17,5";"18,1";"17,3";"949,6";"949,6";"949,0";"0,0";"146,0";"0,0";"";"0,0"
"01/01/2022";"0100";"25,8";"27,0";"25,7";"61,0";"61,0";"56,0";"17,6";"18,0";"17,0";"950,1";"950,1";"949,6";"0,0";"146,0";"0,0";"";"0,0"
"01/01/2022";"0200";"24,7";"26,2";"24,7";"64,0";"64,0";"58,0";"17,3";"17,8";"17,2";"950,5";"950,6";"950,1";"0,0";"148,0";"0,0";"";"0,0"
"01/01/2022";"0300";"24,1";"24,8";"23,8";"70,0";"70,0";"64,0";"18,3";"18,4";"17,2";"950,3";"950,5";"950,3";"0,0";"113,0";"0,0";"";"0,0"
"01/01/2022";"0400";"24,0";"25,8";"24,0";"68,0";"70,0";"58,0";"17,8";"18,1";"16,9";"949,8";"950,3";"949,8";"0,0";"113,0";"0,0";"";"0,0"
"01/01/2022";"0500";"23,0";"24,3";"23,0";"70,0";"70,0";"65,0";"17,2";"17,9";"17,1";"949,5";"949,8";"949,5";"0,0";"105,0";"0,0";"";"0,0"
"01/01/2022";"0600";"22,8";"23,0";"22,5";"69,0";"71,0";"68,0";"16,7";"17,3";"16,6";"949,3";"949,5";"949,2";"0,0";"354,0";"0,0";"";"0,0"
"01/01/2022";"0700";"21,5";"22,8";"20,3";"74,0";"80,0";"68,0";"16,8";"17,1";"16,6";"949,6";"949,7";"949,3";"0,0";"283,0";"0,0";"";"0,0"
"01/01/2022";"0800";"21,2";"21,5";"20,3";"76,0";"81,0";"75,0";"16,9";"17,0";"16,7";"950,1";"950,1";"949,6";"0,0";"43,0";"0,0";"";"0,0"
"01/01/2022";"0900";"21,4";"22,1";"21,2";"76,0";"77,0";"72,0";"17,1";"17,1";"16,6";"950,5";"950,5";"950,1";"0,0";"44,0";"0,0";"6,60";"0,0"
"01/01/2022";"1000";"22,4";"22,4";"21,1";"76,0";"79,0";"76,0";"18,0";"18,0";"17,1";"951,1";"951,1";"950,5";"0,0";"53,0";"0,0";"272,70";"0,0"
"01/01/2022";"1100";"24,9";"25,1";"22,4";"68,0";"76,0";"67,0";"18,6";"18,9";"18,0";"951,7";"951,7";"951,1";"0,1";"20,0";"3,6";"1164,50";"0,0"
"01/01/2022";"1200";"27,1";"27,1";"24,9";"62,0";"69,0";"62,0";"19,2";"19,6";"18,6";"952,0";"952,0";"951,7";"0,0";"6,0";"2,9";"1990,90";"0,0"
"01/01/2022";"1300";"29,6";"29,7";"27,1";"52,0";"64,0";"52,0";"18,8";"19,9";"18,8";"952,1";"952,1";"951,9";"0,0";"324,0";"0,0";"2707,70";"0,0"
"01/01/2022";"1400";"31,9";"32,0";"29,5";"44,0";"54,0";"44,0";"18,1";"19,8";"18,1";"951,6";"952,2";"951,6";"0,0";"339,0";"0,0";"3250,90";"0,0"
"01/01/2022";"1500";"33,2";"33,5";"31,5";"39,0";"47,0";"38,0";"17,3";"19,1";"17,3";"951,0";"951,6";"951,0";"0,0";"6,0";"4,8";"3494,50";"0,0"
"01/01/2022";"1600";"34,5";"34,6";"32,7";"34,0";"40,0";"31,0";"16,5";"17,4";"14,8";"950,7";"951,0";"950,7";"0,0";"23,0";"4,8";"3585,00";"0,0"
"01/01/2022";"1700";"34,5";"35,0";"33,5";"33,0";"38,0";"32,0";"15,7";"17,6";"15,7";"950,1";"950,7";"950,1";"0,0";"341,0";"0,0";"3628,60";"0,0"
"01/01/2022";"1800";"35,0";"35,6";"34,5";"31,0";"34,0";"31,0";"15,5";"16,3";"15,4";"949,5";"950,1";"949,4";"0,0";"35,0";"0,0";"3494,50";"0,0"
"01/01/2022";"1900";"35,7";"36,0";"34,9";"34,0";"34,0";"29,0";"17,2";"17,3";"15,0";"948,7";"949,5";"948,7";"0,0";"35,0";"0,0";"3016,70";"0,0"
"01/01/2022";"2000";"35,3";"35,8";"34,7";"32,0";"35,0";"31,0";"16,1";"17,6";"15,4";"948,0";"948,7";"948,0";"0,0";"53,0";"0,0";"2218,90";"0,0"
"01/01/2022";"2100";"34,9";"36,3";"34,7";"33,0";"34,0";"31,0";"16,3";"17,2";"15,8";"947,6";"948,0";"947,6";"0,0";"21,0";"0,0";"1395,40";"0,0"
"01/01/2022";"2200";"33,3";"35,1";"33,3";"35,0";"35,0";"31,0";"15,6";"17,1";"14,9";"948,1";"948,1";"947,6";"0,0";"127,0";"0,0";"585,50";"0,0"
"01/01/2022";"2300";"31,0";"33,3";"30,9";"40,0";"40,0";"35,0";"15,7";"15,9";"15,4";"949,0";"949,0";"948,1";"0,0";"100,0";"0,0";"44,80";"0,0"
