"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"28,2";"30,4";"28,1";"50,0";"50,0";"44,0";"16,6";"17,4";"16,6";"993,5";"993,5";"993,0";"0,5";"165,0";"1,4";"";"0,0"
"01/01/2022";"0100";"27,9";"28,5";"27,7";"50,0";"51,0";"47,0";"16,5";"16,8";"16,0";"994,1";"994,1";"993,5";"1,1";"155,0";"1,3";"";"0,0"
"01/01/2022";"0200";"29,3";"30,2";"27,9";"44,0";"50,0";"41,0";"15,7";"16,4";"15,3";"994,3";"994,4";"994,0";"1,5";"125,0";"3,3";"";"0,0"
"01/01/2022";"0300";"29,0";"29,6";"28,7";"44,0";"46,0";"42,0";"15,7";"16,0";"15,4";"994,2";"994,3";"994,2";"1,4";"97,0";"2,9";"";"0,0"
"01/01/2022";"0400";"25,6";"29,1";"25,3";"62,0";"62,0";"44,0";"17,7";"17,7";"15,4";"994,2";"994,2";"994,1";"0,2";"89,0";"2,7";"";"0,0"
"01/01/2022";"0500";"27,1";"27,6";"25,0";"52,0";"64,0";"51,0";"16,3";"17,8";"16,3";"994,1";"994,2";"994,1";"1,3";"94,0";"3,3";"";"0,0"
"01/01/2022";"0600";"26,3";"27,4";"26,3";"54,0";"54,0";"50,0";"16,1";"16,3";"15,8";"993,8";"994,1";"993,7";"2,4";"59,0";"4,5";"";"0,0"
"01/01/2022";"0700";"24,8";"26,3";"24,2";"60,0";"64,0";"54,0";"16,4";"16,9";"16,2";"993,6";"993,8";"993,6";"2,6";"68,0";"4,5";"";"0,0"
"01/01/2022";"0800";"24,7";"25,1";"24,5";"59,0";"60,0";"58,0";"16,3";"16,4";"16,2";"993,8";"993,8";"993,5";"3,4";"79,0";"4,9";"";"0,0"
"01/01/2022";"0900";"23,9";"24,8";"23,9";"62,0";"62,0";"59,0";"16,2";"16,3";"16,1";"994,5";"994,5";"993,8";"2,8";"72,0";"5,6";"0,20";"0,0"
