"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"27,6";"31,0";"27,6";"56,0";"56,0";"44,0";"17,9";"18,2";"17,2";"991,4";"991,5";"990,2";"4,7";"65,0";"9,7";"";"0,0"
"01/01/2022";"0100";"26,0";"27,6";"25,7";"63,0";"63,0";"56,0";"18,3";"18,3";"17,9";"992,1";"992,1";"991,4";"1,8";"70,0";"8,0";"";"0,0"
"01/01/2022";"0200";"25,0";"26,0";"24,9";"68,0";"68,0";"62,0";"18,5";"18,7";"18,1";"992,4";"992,4";"992,1";"1,8";"92,0";"4,8";"";"0,0"
"01/01/2022";"0300";"24,7";"25,0";"24,5";"69,0";"70,0";"67,0";"18,5";"18,7";"18,5";"992,2";"992,5";"992,2";"1,9";"72,0";"4,1";"";"0,0"
"01/01/2022";"0400";"24,1";"24,7";"23,8";"71,0";"72,0";"69,0";"18,5";"18,6";"18,4";"992,3";"992,4";"992,2";"0,9";"82,0";"3,9";"";"0,0"
"01/01/2022";"0500";"24,1";"24,2";"23,3";"67,0";"74,0";"67,0";"17,7";"18,6";"17,7";"991,8";"992,3";"991,8";"2,4";"75,0";"4,0";"";"0,0"
"01/01/2022";"0600";"23,8";"24,2";"23,8";"66,0";"67,0";"66,0";"17,2";"17,7";"17,1";"991,6";"991,9";"991,6";"1,7";"68,0";"5,4";"";"0,0"
"01/01/2022";"0700";"22,4";"23,8";"22,4";"72,0";"73,0";"66,0";"17,2";"17,3";"17,1";"991,7";"991,8";"991,5";"0,0";"345,0";"3,5";"";"0,0"
"01/01/2022";"0800";"21,8";"22,5";"21,8";"77,0";"77,0";"73,0";"17,5";"17,6";"17,2";"991,9";"991,9";"991,7";"1,5";"35,0";"2,3";"";"0,0"
"01/01/2022";"0900";"21,1";"21,9";"21,1";"80,0";"80,0";"77,0";"17,6";"17,7";"17,4";"992,1";"992,1";"991,8";"1,7";"26,0";"2,7";"12,30";"0,0"
"01/01/2022";"1000";"22,7";"22,7";"21,1";"78,0";"80,0";"78,0";"18,7";"18,9";"17,7";"992,6";"992,6";"992,1";"1,3";"33,0";"2,6";"408,50";"0,0"
"01/01/2022";"1100";"25,9";"26,0";"22,7";"65,0";"79,0";"65,0";"18,8";"19,5";"18,5";"993,1";"993,1";"992,5";"2,8";"54,0";"5,1";"1143,60";"0,0"
"01/01/2022";"1200";"28,3";"28,4";"25,9";"57,0";"65,0";"57,0";"19,1";"19,4";"18,3";"993,2";"993,6";"993,1";"2,8";"61,0";"4,9";"1940,10";"0,0"
"01/01/2022";"1300";"30,1";"30,3";"28,4";"50,0";"58,0";"50,0";"18,6";"19,5";"18,5";"993,3";"993,3";"993,2";"2,2";"32,0";"5,9";"2692,50";"0,0"
"01/01/2022";"1400";"33,3";"33,5";"30,1";"42,0";"50,0";"42,0";"18,7";"19,6";"18,2";"993,0";"993,3";"993,0";"1,9";"39,0";"4,8";"3259,80";"0,0"
"01/01/2022";"1500";"35,3";"35,3";"32,5";"36,0";"45,0";"35,0";"17,9";"19,8";"17,1";"992,7";"993,0";"992,7";"1,9";"5,0";"7,2";"3626,90";"0,0"
"01/01/2022";"1600";"35,7";"36,6";"34,0";"27,0";"37,0";"25,0";"13,7";"17,6";"12,6";"991,6";"992,8";"991,6";"1,3";"96,0";"7,2";"3779,50";"0,0"
"01/01/2022";"1700";"37,4";"37,7";"35,7";"18,0";"27,0";"17,0";"9,0";"14,0";"7,8";"990,7";"991,6";"990,7";"2,2";"47,0";"6,0";"3707,40";"0,0"
"01/01/2022";"1800";"38,9";"38,9";"36,8";"16,0";"20,0";"15,0";"8,5";"10,6";"6,6";"990,1";"990,7";"990,1";"2,2";"38,0";"5,7";"3454,10";"0,0"
"01/01/2022";"1900";"37,1";"39,0";"37,0";"22,0";"22,0";"15,0";"11,8";"12,0";"6,8";"989,1";"990,1";"989,1";"2,8";"18,0";"6,5";"2962,20";"0,0"
"01/01/2022";"2000";"37,3";"38,0";"36,7";"20,0";"23,0";"19,0";"10,5";"12,7";"9,9";"988,8";"989,2";"988,7";"2,4";"61,0";"6,0";"2271,80";"0,0"
"01/01/2022";"2100";"35,5";"37,3";"35,5";"23,0";"24,0";"20,0";"11,3";"11,6";"10,3";"989,2";"989,2";"988,7";"0,2";"137,0";"4,9";"1116,50";"0,0"
"01/01/2022";"2200";"33,4";"35,8";"33,4";"29,0";"30,0";"22,0";"12,7";"13,6";"11,1";"990,1";"990,1";"989,2";"0,3";"185,0";"1,8";"313,30";"0,0"
"01/01/2022";"2300";"25,4";"33,4";"25,4";"55,0";"55,0";"27,0";"15,7";"15,7";"11,4";"992,0";"992,0";"990,1";"8,0";"198,0";"17,6";"57,40";"0,0"
"02/01/2022";"0000";"24,3";"25,4";"24,2";"55,0";"58,0";"55,0";"14,6";"16,0";"14,6";"992,9";"993,0";"991,6";"6,8";"188,0";"17,6";"";"0,0"
"02/01/2022";"0100";"23,8";"24,3";"23,7";"59,0";"59,0";"55,0";"15,3";"15,3";"14,6";"992,8";"993,2";"992,8";"4,2";"168,0";"11,9";"";"0,0"
"02/01/2022";"0200";"24,0";"24,2";"23,8";"56,0";"59,0";"56,0";"14,6";"15,3";"14,6";"993,0";"993,0";"992,7";"2,4";"164,0";"9,5";"";"0,0"
"02/01/2022";"0300";"23,9";"24,0";"23,6";"59,0";"59,0";"55,0";"15,5";"15,5";"14,5";"993,4";"993,5";"993,0";"2,0";"152,0";"6,4";"";"0,0"
"02/01/2022";"0400";"24,1";"24,2";"23,6";"62,0";"63,0";"59,0";"16,4";"16,4";"15,4";"992,4";"993,4";"992,4";"1,8";"97,0";"5,7";"";"0,0"
"02/01/2022";"0500";"22,8";"24,2";"22,8";"67,0";"67,0";"62,0";"16,3";"16,8";"16,2";"992,8";"993,0";"992,1";"3,2";"235,0";"8,1";"";"0,0"
"02/01/2022";"0600";"21,6";"22,9";"21,5";"75,0";"75,0";"67,0";"16,8";"16,9";"16,1";"992,4";"992,9";"992,4";"2,4";"212,0";"7,1";"";"0,0"
"02/01/2022";"0700";"20,5";"21,6";"20,5";"79,0";"79,0";"75,0";"16,7";"16,8";"16,4";"991,5";"992,4";"991,3";"1,8";"197,0";"4,1";"";"0,0"
