"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"31,8";"32,2";"30,8";"36,0";"40,0";"36,0";"14,9";"16,5";"14,9";"975,5";"975,5";"975,0";"0,7";"148,0";"1,1";"";"0,0"
"01/01/2022";"0100";"30,7";"32,0";"30,2";"38,0";"41,0";"36,0";"14,9";"15,9";"14,8";"976,1";"976,1";"975,5";"1,3";"136,0";"2,0";"";"0,0"
"01/01/2022";"0200";"29,5";"30,7";"29,3";"42,0";"43,0";"38,0";"15,3";"15,5";"14,9";"976,6";"976,6";"976,1";"1,5";"85,0";"2,9";"";"0,0"
"01/01/2022";"0300";"29,9";"30,0";"29,5";"38,0";"42,0";"38,0";"14,2";"15,2";"13,9";"976,3";"976,7";"976,3";"2,3";"71,0";"5,0";"";"0,0"
"01/01/2022";"0400";"28,4";"29,9";"28,4";"44,0";"44,0";"38,0";"14,9";"14,9";"14,2";"975,9";"976,3";"975,9";"2,6";"55,0";"4,9";"";"0,0"
"01/01/2022";"0500";"27,6";"28,4";"27,4";"45,0";"46,0";"44,0";"14,7";"14,9";"14,6";"975,9";"976,0";"975,9";"3,2";"60,0";"5,3";"";"0,0"
"01/01/2022";"0600";"27,0";"27,6";"27,0";"46,0";"46,0";"45,0";"14,5";"14,7";"14,4";"976,0";"976,1";"975,9";"3,0";"64,0";"5,3";"";"0,0"
"01/01/2022";"0700";"25,8";"27,0";"25,8";"52,0";"52,0";"46,0";"15,1";"15,1";"14,5";"975,9";"976,2";"975,9";"3,9";"52,0";"6,5";"";"0,0"
"01/01/2022";"0800";"25,5";"25,8";"25,5";"53,0";"53,0";"52,0";"15,1";"15,1";"15,1";"976,1";"976,1";"975,8";"3,8";"52,0";"6,5";"";"0,0"
"01/01/2022";"0900";"24,6";"25,5";"24,5";"56,0";"57,0";"53,0";"15,4";"15,4";"15,1";"976,5";"976,5";"976,1";"3,3";"49,0";"5,7";"2,50";"0,0"
"01/01/2022";"1000";"25,3";"25,3";"24,5";"56,0";"57,0";"56,0";"16,0";"16,0";"15,4";"977,1";"977,1";"976,5";"3,0";"53,0";"5,1";"304,60";"0,0"
"01/01/2022";"1100";"28,0";"28,2";"25,3";"49,0";"56,0";"49,0";"16,3";"16,8";"15,8";"977,8";"977,8";"977,1";"2,3";"28,0";"4,7";"1084,60";"0,0"
"01/01/2022";"1200";"30,6";"30,7";"27,9";"43,0";"51,0";"43,0";"16,5";"17,7";"16,2";"978,0";"978,0";"977,8";"2,8";"14,0";"5,9";"1941,30";"0,0"
"01/01/2022";"1300";"32,9";"32,9";"30,5";"40,0";"44,0";"38,0";"17,3";"17,6";"16,3";"978,2";"978,2";"978,0";"2,8";"354,0";"5,9";"2718,80";"0,0"
"01/01/2022";"1400";"34,1";"34,9";"32,3";"33,0";"41,0";"32,0";"15,6";"17,6";"15,6";"977,7";"978,2";"977,7";"2,1";"4,0";"5,8";"3337,60";"0,0"
"01/01/2022";"1500";"36,1";"36,5";"34,1";"";"34,0";"28,0";"";"16,7";"14,2";"977,2";"977,7";"977,2";"1,6";"277,0";"5,9";"3778,40";"0,0"
"01/01/2022";"1600";"36,4";"37,1";"35,6";"";"";"";"";"";"";"976,8";"977,3";"976,7";"1,3";"300,0";"5,4";"4005,50";"0,0"
"01/01/2022";"1700";"37,9";"37,9";"36,4";"";"";"";"";"";"";"975,8";"976,8";"975,8";"2,2";"9,0";"7,1";"3857,20";"0,0"
"01/01/2022";"1800";"37,3";"38,3";"36,9";"";"";"";"";"";"";"975,0";"975,9";"975,0";"2,1";"331,0";"7,1";"3601,60";"0,0"
"01/01/2022";"1900";"38,3";"38,5";"36,9";"22,0";"26,0";"21,0";"12,9";"14,6";"11,7";"974,2";"975,1";"974,2";"2,4";"324,0";"5,8";"3090,90";"0,0"
"01/01/2022";"2000";"38,2";"38,6";"37,4";"23,0";"23,0";"21,0";"13,3";"13,3";"11,9";"973,2";"974,2";"973,2";"2,4";"358,0";"6,2";"2322,00";"0,0"
"01/01/2022";"2100";"37,2";"38,6";"37,2";"";"";"";"";"";"";"973,3";"973,3";"973,0";"2,7";"334,0";"7,0";"1429,40";"0,0"
"01/01/2022";"2200";"36,9";"37,9";"36,9";"";"";"";"";"";"";"974,0";"974,0";"973,3";"1,1";"321,0";"5,3";"612,00";"0,0"
"01/01/2022";"2300";"34,4";"36,9";"34,4";"31,0";"31,0";"25,0";"14,8";"14,8";"13,4";"974,9";"974,9";"974,0";"0,6";"227,0";"3,1";"57,80";"0,0"
"02/01/2022";"0000";"33,9";"34,4";"33,5";"29,0";"33,0";"29,0";"13,7";"15,2";"13,7";"975,2";"975,2";"974,9";"1,3";"129,0";"1,7";"";"0,0"
"02/01/2022";"0100";"33,0";"34,0";"33,0";"31,0";"33,0";"29,0";"13,4";"14,9";"13,3";"975,7";"975,7";"975,2";"2,0";"40,0";"2,9";"";"0,0"
