"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"27,8";"30,7";"27,8";"54,0";"61,0";"37,0";"17,6";"19,8";"14,3";"988,1";"988,1";"987,7";"0,5";"98,0";"1,2";"";"0,0"
"01/01/2022";"0100";"26,2";"27,8";"24,6";"60,0";"69,0";"47,0";"17,8";"19,1";"15,4";"989,3";"989,3";"988,1";"5,1";"104,0";"8,1";"";"0,0"
"01/01/2022";"0200";"24,4";"26,2";"24,4";"63,0";"63,0";"59,0";"16,9";"17,8";"16,7";"989,2";"989,4";"989,2";"4,1";"112,0";"8,1";"";"0,0"
"01/01/2022";"0300";"22,9";"24,4";"22,9";"69,0";"69,0";"63,0";"16,8";"17,2";"16,7";"989,3";"989,3";"989,1";"3,1";"107,0";"5,9";"";"0,0"
"01/01/2022";"0400";"22,5";"23,1";"22,1";"71,0";"72,0";"68,0";"16,9";"17,2";"16,7";"989,2";"989,3";"989,2";"1,7";"102,0";"5,0";"";"0,0"
"01/01/2022";"0500";"21,3";"22,6";"20,8";"78,0";"79,0";"70,0";"17,4";"17,4";"16,7";"989,0";"989,2";"989,0";"2,5";"101,0";"4,0";"";"0,0"
"01/01/2022";"0600";"20,4";"21,6";"20,2";"82,0";"83,0";"77,0";"17,3";"17,6";"16,9";"988,9";"989,0";"988,9";"3,3";"107,0";"5,3";"";"0,0"
"01/01/2022";"0700";"20,3";"21,0";"19,8";"84,0";"86,0";"80,0";"17,6";"17,7";"17,1";"989,0";"989,0";"988,8";"3,0";"106,0";"4,5";"";"0,0"
"01/01/2022";"0800";"19,9";"20,4";"19,7";"86,0";"86,0";"84,0";"17,5";"17,8";"17,2";"989,1";"989,1";"988,9";"1,6";"105,0";"3,9";"";"0,0"
"01/01/2022";"0900";"19,6";"19,9";"19,3";"86,0";"88,0";"86,0";"17,3";"17,5";"17,2";"989,6";"989,6";"989,1";"3,1";"110,0";"3,9";"10,70";"0,0"
"01/01/2022";"1000";"21,8";"21,8";"19,6";"79,0";"87,0";"79,0";"18,1";"18,2";"17,3";"989,9";"989,9";"989,6";"3,6";"109,0";"4,8";"388,40";"0,0"
"01/01/2022";"1100";"25,5";"25,5";"21,8";"65,0";"79,0";"64,0";"18,4";"18,7";"17,9";"990,0";"990,1";"989,9";"2,3";"87,0";"5,4";"1158,80";"0,0"
"01/01/2022";"1200";"29,6";"29,7";"25,5";"52,0";"65,0";"49,0";"18,7";"18,9";"17,3";"990,5";"990,5";"990,0";"1,6";"95,0";"4,1";"1977,00";"0,0"
"01/01/2022";"1300";"32,5";"33,2";"29,6";"39,0";"52,0";"38,0";"16,8";"18,7";"16,4";"990,3";"990,5";"990,3";"1,1";"174,0";"3,2";"2680,40";"0,0"
"01/01/2022";"1400";"34,8";"34,8";"32,5";"31,0";"40,0";"30,0";"15,3";"17,6";"14,6";"990,2";"990,4";"990,2";"1,7";"336,0";"4,7";"3248,20";"0,0"
"01/01/2022";"1500";"35,9";"36,2";"34,7";"27,0";"32,0";"23,0";"13,9";"15,5";"11,3";"989,6";"990,2";"989,6";"1,7";"187,0";"4,9";"3599,70";"0,0"
"01/01/2022";"1600";"37,0";"37,2";"35,4";"24,0";"27,0";"23,0";"13,4";"14,4";"12,3";"988,7";"989,6";"988,7";"2,0";"218,0";"6,8";"3722,60";"0,0"
"01/01/2022";"1700";"37,4";"38,0";"36,2";"22,0";"26,0";"21,0";"12,0";"14,1";"11,0";"988,0";"988,7";"988,0";"2,4";"306,0";"5,5";"3642,30";"0,0"
"01/01/2022";"1800";"38,4";"38,9";"37,2";"21,0";"23,0";"20,0";"12,4";"12,9";"11,0";"987,1";"988,0";"987,1";"2,3";"179,0";"6,5";"3398,30";"0,0"
"01/01/2022";"1900";"37,6";"38,8";"37,3";"21,0";"23,0";"20,0";"11,8";"13,1";"10,8";"986,1";"987,1";"986,1";"1,7";"26,0";"7,9";"2932,70";"0,0"
"01/01/2022";"2000";"38,1";"38,7";"37,6";"20,0";"22,0";"19,0";"11,4";"12,4";"10,0";"985,5";"986,1";"985,4";"2,1";"135,0";"5,6";"2282,70";"0,0"
"01/01/2022";"2100";"37,1";"39,5";"36,8";"23,0";"24,0";"17,0";"12,8";"13,2";"10,1";"985,8";"985,8";"985,5";"3,6";"135,0";"5,4";"1590,20";"0,0"
"01/01/2022";"2200";"33,1";"37,1";"33,1";"33,0";"33,0";"23,0";"14,6";"15,0";"12,4";"986,9";"986,9";"985,8";"2,4";"126,0";"6,1";"435,50";"0,0"
"01/01/2022";"2300";"30,1";"33,4";"29,9";"45,0";"47,0";"32,0";"17,0";"17,4";"14,3";"987,4";"987,4";"986,9";"2,7";"108,0";"3,7";"55,10";"0,0"
"02/01/2022";"0000";"24,4";"31,1";"24,4";"56,0";"56,0";"39,0";"15,2";"16,6";"14,2";"989,5";"989,5";"987,4";"10,1";"160,0";"15,4";"";"0,0"
"02/01/2022";"0100";"23,6";"24,4";"23,6";"59,0";"59,0";"56,0";"15,2";"15,4";"15,1";"990,1";"990,2";"989,4";"6,5";"150,0";"15,4";"";"0,0"
"02/01/2022";"0200";"23,2";"23,9";"23,1";"59,0";"60,0";"58,0";"14,8";"15,1";"14,8";"990,9";"990,9";"990,0";"4,2";"132,0";"12,4";"";"0,0"
"02/01/2022";"0300";"22,5";"23,3";"22,3";"63,0";"63,0";"59,0";"15,0";"15,1";"14,7";"991,8";"991,9";"990,9";"1,0";"279,0";"7,5";"";"0,0"
"02/01/2022";"0400";"22,2";"22,6";"21,8";"65,0";"69,0";"62,0";"15,2";"16,1";"14,9";"990,3";"991,8";"990,3";"1,0";"21,0";"2,3";"";"0,0"
"02/01/2022";"0500";"21,5";"22,5";"21,4";"71,0";"71,0";"64,0";"15,9";"16,0";"15,1";"990,9";"991,3";"990,2";"2,8";"227,0";"8,2";"";"0,0"
"02/01/2022";"0600";"20,6";"21,5";"20,6";"77,0";"77,0";"71,0";"16,4";"16,5";"16,0";"989,0";"990,9";"989,0";"2,4";"177,0";"6,5";"";"0,0"
"02/01/2022";"0700";"20,0";"20,6";"20,0";"81,0";"81,0";"77,0";"16,6";"16,7";"16,3";"988,9";"989,3";"988,4";"1,4";"123,0";"5,0";"";"0,0"
"02/01/2022";"0800";"19,9";"20,3";"19,7";"82,0";"82,0";"80,0";"16,7";"16,8";"16,4";"989,0";"989,2";"988,7";"1,0";"133,0";"2,4";"";"0,0"
"02/01/2022";"0900";"19,7";"19,9";"19,4";"83,0";"84,0";"82,0";"16,7";"16,9";"16,4";"989,8";"989,8";"988,9";"1,2";"108,0";"2,1";"13,80";"0,0"
"02/01/2022";"1000";"21,3";"21,6";"19,5";"78,0";"85,0";"77,0";"17,2";"17,7";"16,7";"990,6";"990,6";"989,8";"1,3";"127,0";"2,2";"302,70";"0,0"
"02/01/2022";"1100";"24,7";"24,7";"21,2";"63,0";"78,0";"63,0";"17,2";"17,9";"16,8";"990,8";"991,1";"990,6";"1,8";"68,0";"4,1";"1067,10";"0,0"
"02/01/2022";"1200";"26,4";"26,4";"24,6";"60,0";"64,0";"60,0";"18,1";"18,1";"17,0";"990,5";"990,8";"990,5";"1,8";"43,0";"4,5";"1246,20";"0,0"
"02/01/2022";"1300";"30,6";"31,0";"26,5";"46,0";"60,0";"46,0";"17,7";"18,7";"17,2";"990,6";"990,7";"990,2";"2,2";"354,0";"4,8";"2524,10";"0,0"
"02/01/2022";"1400";"28,0";"31,3";"27,7";"60,0";"60,0";"44,0";"19,5";"19,5";"17,3";"991,2";"991,7";"990,6";"1,6";"129,0";"6,9";"884,10";"0,0"
"02/01/2022";"1500";"28,1";"28,1";"27,9";"67,0";"71,0";"59,0";"21,4";"22,3";"19,3";"991,3";"991,3";"991,0";"2,3";"116,0";"5,4";"433,50";"0,0"
"02/01/2022";"1600";"28,8";"28,9";"26,9";"59,0";"66,0";"57,0";"20,0";"20,7";"19,0";"990,7";"991,5";"990,7";"6,0";"128,0";"10,4";"1431,60";"0,0"
