"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"19,9";"20,6";"19,6";"92,0";"93,0";"91,0";"18,6";"19,2";"18,1";"950,3";"950,3";"949,5";"0,3";"15,0";"1,4";"";"0,0"
"01/01/2022";"0100";"19,5";"20,5";"19,5";"92,0";"93,0";"90,0";"18,1";"19,2";"17,8";"951,2";"951,2";"950,3";"0,2";"172,0";"1,3";"";"0,0"
"01/01/2022";"0200";"19,1";"19,6";"18,8";"92,0";"93,0";"91,0";"17,8";"18,3";"17,3";"951,5";"951,5";"951,2";"0,4";"186,0";"1,3";"";"0,0"
"01/01/2022";"0300";"18,8";"19,4";"18,5";"92,0";"92,0";"89,0";"17,5";"17,8";"17,1";"951,1";"951,5";"951,1";"0,4";"240,0";"1,1";"";"0,0"
"01/01/2022";"0400";"18,3";"19,1";"18,2";"88,0";"92,0";"87,0";"16,3";"17,5";"16,3";"950,5";"951,1";"950,5";"0,7";"235,0";"1,6";"";"0,0"
"01/01/2022";"0500";"18,4";"18,7";"18,0";"89,0";"92,0";"88,0";"16,6";"16,8";"16,2";"949,9";"950,5";"949,9";"0,5";"145,0";"1,5";"";"0,0"
"01/01/2022";"0600";"18,0";"19,6";"18,0";"91,0";"91,0";"84,0";"16,5";"16,9";"16,4";"949,9";"950,0";"949,9";"0,5";"268,0";"1,1";"";"0,0"
"01/01/2022";"0700";"17,3";"18,3";"17,2";"94,0";"94,0";"91,0";"16,2";"16,9";"16,2";"950,0";"950,1";"949,9";"0,3";"265,0";"0,9";"";"0,0"
"01/01/2022";"0800";"16,9";"17,3";"16,9";"95,0";"95,0";"94,0";"16,0";"16,4";"16,0";"950,6";"950,6";"950,0";"0,3";"228,0";"0,6";"";"0,0"
"01/01/2022";"0900";"16,7";"17,0";"16,6";"95,0";"95,0";"95,0";"15,9";"16,2";"15,8";"951,1";"951,1";"950,6";"0,2";"22,0";"0,6";"18,40";"0,0"
"01/01/2022";"1000";"19,2";"19,2";"16,7";"87,0";"95,0";"87,0";"17,0";"17,5";"15,9";"951,6";"951,6";"951,1";"0,2";"263,0";"0,5";"422,30";"0,0"
"01/01/2022";"1100";"24,4";"24,5";"19,2";"65,0";"87,0";"65,0";"17,5";"18,6";"16,6";"951,8";"951,8";"951,5";"1,0";"59,0";"1,9";"1282,40";"0,0"
"01/01/2022";"1200";"27,0";"27,1";"24,3";"57,0";"69,0";"56,0";"17,6";"18,4";"17,1";"951,8";"951,8";"951,8";"1,2";"43,0";"3,0";"2086,10";"0,0"
"01/01/2022";"1300";"29,6";"29,8";"27,0";"46,0";"58,0";"45,0";"16,8";"18,5";"16,4";"951,6";"951,8";"951,5";"1,9";"23,0";"4,2";"2800,10";"0,0"
"01/01/2022";"1400";"31,0";"31,2";"29,3";"38,0";"48,0";"38,0";"15,1";"17,4";"14,5";"951,1";"951,7";"951,1";"1,9";"320,0";"4,4";"3369,50";"0,2"
"01/01/2022";"1500";"33,6";"33,7";"30,9";"30,0";"39,0";"28,0";"13,4";"15,8";"11,5";"950,6";"951,2";"950,6";"1,4";"27,0";"4,9";"3759,50";"0,0"
"01/01/2022";"1600";"34,1";"34,1";"31,7";"25,0";"32,0";"25,0";"11,6";"14,5";"11,6";"950,1";"950,6";"950,1";"1,7";"298,0";"4,9";"3287,00";"0,0"
"01/01/2022";"1700";"34,7";"35,3";"33,4";"19,0";"26,0";"19,0";"7,3";"11,9";"7,2";"949,6";"950,1";"949,6";"1,9";"247,0";"6,0";"3702,20";"0,0"
"01/01/2022";"1800";"35,4";"35,9";"34,0";"22,0";"25,0";"17,0";"10,5";"11,5";"6,8";"949,0";"949,6";"949,0";"1,1";"139,0";"5,4";"3245,00";"0,0"
"01/01/2022";"1900";"35,3";"35,6";"33,7";"21,0";"24,0";"21,0";"9,7";"11,2";"9,0";"948,1";"949,0";"948,1";"1,0";"218,0";"7,1";"2286,10";"0,0"
"01/01/2022";"2000";"35,3";"36,1";"34,7";"22,0";"23,0";"20,0";"10,4";"10,8";"9,0";"947,5";"948,1";"947,5";"1,4";"187,0";"5,5";"2188,80";"0,0"
"01/01/2022";"2100";"34,9";"35,8";"34,3";"23,0";"24,0";"21,0";"10,7";"11,5";"9,3";"947,4";"947,7";"947,3";"1,4";"217,0";"4,0";"1245,40";"0,0"
"01/01/2022";"2200";"32,0";"35,1";"32,0";"33,0";"33,0";"22,0";"13,6";"13,6";"10,2";"948,0";"948,0";"947,3";"0,5";"203,0";"2,6";"543,90";"0,0"
"01/01/2022";"2300";"28,4";"32,0";"28,1";"43,0";"45,0";"33,0";"14,4";"15,2";"12,4";"949,0";"949,0";"948,0";"0,7";"250,0";"2,4";"28,20";"0,0"
"02/01/2022";"0000";"24,8";"28,4";"24,8";"59,0";"59,0";"41,0";"16,4";"16,4";"13,3";"950,1";"950,1";"949,0";"0,5";"203,0";"1,7";"";"0,0"
