"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"21,3";"21,8";"21,3";"";"";"";"";"";"";"1006,6";"1006,6";"1006,0";"";"";"";"";""
"01/01/2022";"0100";"21,1";"21,3";"21,0";"";"";"";"";"";"";"1007,1";"1007,1";"1006,6";"";"";"";"";""
"01/01/2022";"0200";"21,0";"21,1";"20,9";"";"21,0";"";"";"-2,3";"";"1006,8";"1007,1";"1006,8";"";"";"";"";""
"01/01/2022";"0300";"20,9";"21,0";"20,9";"";"";"";"";"";"";"1005,8";"1006,8";"1005,8";"";"";"";"";""
"01/01/2022";"0400";"20,7";"20,9";"20,7";"";"";"";"";"";"";"1005,5";"1005,8";"1005,4";"";"";"";"";""
"01/01/2022";"0500";"20,7";"20,8";"20,7";"";"";"";"";"";"";"1004,9";"1005,5";"1004,9";"";"";"";"";""
"01/01/2022";"0600";"20,5";"20,8";"20,5";"";"";"";"";"";"";"1004,9";"1004,9";"1004,8";"";"";"";"";""
"01/01/2022";"0700";"20,5";"20,6";"20,5";"";"";"";"";"";"";"1004,9";"1005,0";"1004,9";"";"";"";"";""
"01/01/2022";"0800";"20,7";"20,8";"20,2";"";"";"";"";"";"";"1005,4";"1005,4";"1004,8";"";"";"";"";""
"01/01/2022";"0900";"20,6";"20,8";"20,5";"";"";"";"";"";"";"1006,1";"1006,1";"1005,4";"";"";"";"44,80";""
"01/01/2022";"1000";"20,3";"20,6";"20,1";"";"";"";"";"";"";"1006,6";"1006,6";"1006,0";"";"";"";"377,70";""
"01/01/2022";"1100";"20,7";"20,8";"20,1";"7,0";"8,0";"";"";"";"";"1007,1";"1007,1";"1006,6";"";"";"";"1066,10";""
"01/01/2022";"1200";"20,6";"20,9";"20,1";"9,0";"9,0";"";"";"";"";"1007,2";"1007,2";"1007,0";"";"";"";"1612,90";""
"01/01/2022";"1300";"21,2";"21,4";"20,4";"";"9,0";"";"";"";"";"1007,5";"1007,5";"1007,2";"";"";"";"2362,30";""
"01/01/2022";"1400";"23,8";"23,8";"21,2";"";"";"";"";"";"";"1007,0";"1007,5";"1007,0";"";"";"";"2811,80";""
"01/01/2022";"1500";"24,2";"24,3";"23,0";"";"";"";"";"";"";"1006,9";"1007,0";"1006,7";"";"";"";"3630,10";""
"01/01/2022";"1600";"24,1";"24,9";"23,7";"";"11,0";"";"";"-7,9";"";"1006,7";"1007,0";"1006,7";"";"";"";"3844,80";""
"01/01/2022";"1700";"25,4";"25,9";"23,9";"";"69,0";"";"";"19,1";"";"1006,6";"1006,8";"1006,6";"";"";"";"3732,80";""
"01/01/2022";"1800";"24,9";"26,0";"24,4";"92,0";"";"";"23,5";"";"";"1006,0";"1006,6";"1006,0";"";"";"";"3327,80";""
