"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"28,4";"28,5";"27,8";"50,0";"51,0";"49,0";"16,8";"16,9";"16,5";"953,5";"953,5";"952,7";"2,1";"103,0";"4,5";"";"0,0"
"01/01/2022";"0100";"26,9";"28,4";"26,9";"51,0";"52,0";"50,0";"16,0";"17,0";"15,9";"954,3";"954,3";"953,5";"2,3";"80,0";"5,9";"";"0,0"
"01/01/2022";"0200";"24,9";"26,9";"24,9";"61,0";"61,0";"51,0";"16,8";"16,8";"15,9";"954,5";"954,6";"954,3";"2,6";"69,0";"7,0";"";"0,0"
"01/01/2022";"0300";"24,0";"24,9";"24,0";"65,0";"65,0";"61,0";"17,0";"17,0";"16,8";"954,2";"954,6";"954,2";"2,2";"66,0";"6,7";"";"0,0"
"01/01/2022";"0400";"23,4";"24,0";"23,4";"68,0";"68,0";"65,0";"17,1";"17,2";"17,0";"953,9";"954,2";"953,9";"2,0";"55,0";"5,0";"";"0,0"
"01/01/2022";"0500";"23,2";"23,4";"23,1";"69,0";"70,0";"68,0";"17,3";"17,3";"17,1";"953,6";"953,9";"953,6";"1,3";"46,0";"3,9";"";"0,0"
"01/01/2022";"0600";"23,6";"23,6";"23,1";"67,0";"70,0";"67,0";"17,1";"17,4";"17,1";"953,5";"953,6";"953,5";"1,6";"19,0";"3,0";"";"0,0"
"01/01/2022";"0700";"23,2";"23,6";"23,2";"68,0";"69,0";"67,0";"17,1";"17,2";"17,1";"953,6";"953,6";"953,5";"1,2";"35,0";"2,7";"";"0,0"
"01/01/2022";"0800";"22,6";"23,2";"22,5";"71,0";"72,0";"68,0";"17,2";"17,2";"17,0";"953,8";"953,9";"953,5";"1,1";"38,0";"3,0";"";"0,0"
"01/01/2022";"0900";"22,4";"22,7";"22,3";"72,0";"73,0";"71,0";"17,3";"17,3";"17,1";"954,2";"954,2";"953,8";"1,2";"30,0";"2,5";"8,20";"0,0"
"01/01/2022";"1000";"24,0";"24,0";"22,4";"68,0";"73,0";"67,0";"17,6";"17,8";"17,2";"954,6";"954,6";"954,2";"2,1";"24,0";"3,5";"320,70";"0,0"
"01/01/2022";"1100";"25,6";"25,6";"23,9";"62,0";"68,0";"61,0";"17,8";"17,9";"17,0";"955,2";"955,2";"954,6";"2,5";"15,0";"5,0";"1227,50";"0,0"
"01/01/2022";"1200";"27,9";"28,0";"25,5";"53,0";"62,0";"53,0";"17,6";"17,9";"17,2";"955,2";"955,3";"955,1";"2,7";"7,0";"5,2";"2071,40";"0,0"
"01/01/2022";"1300";"30,9";"31,1";"27,9";"45,0";"54,0";"44,0";"17,8";"18,1";"16,7";"955,1";"955,2";"955,0";"2,3";"7,0";"4,9";"2826,90";"0,0"
"01/01/2022";"1400";"32,0";"32,9";"30,9";"36,0";"46,0";"33,0";"14,9";"18,0";"14,1";"955,0";"955,2";"954,9";"2,1";"313,0";"5,6";"3436,20";"0,0"
"01/01/2022";"1500";"32,3";"34,4";"31,9";"33,0";"37,0";"29,0";"13,9";"16,0";"13,2";"954,7";"955,1";"954,7";"1,2";"131,0";"5,6";"3196,80";"0,0"
"01/01/2022";"1600";"35,0";"35,6";"32,3";"28,0";"33,0";"26,0";"13,9";"14,9";"12,7";"954,1";"954,7";"954,1";"2,4";"222,0";"7,8";"4097,50";"0,0"
"01/01/2022";"1700";"34,9";"36,5";"33,5";"29,0";"31,0";"25,0";"14,1";"15,1";"12,6";"953,3";"954,2";"953,3";"1,7";"184,0";"5,1";"3648,90";"0,0"
"01/01/2022";"1800";"35,9";"36,1";"34,3";"25,0";"30,0";"24,0";"12,7";"14,1";"12,0";"952,5";"953,3";"952,5";"1,3";"284,0";"7,5";"3283,50";"0,0"
"01/01/2022";"1900";"34,2";"36,9";"34,2";"27,0";"28,0";"24,0";"12,5";"14,2";"12,2";"951,7";"952,5";"951,7";"1,6";"113,0";"";"2206,40";"0,0"
"01/01/2022";"2000";"35,5";"36,5";"33,8";"26,0";"31,0";"25,0";"13,3";"14,8";"12,3";"951,0";"951,7";"951,0";"2,6";"3,0";"5,7";"1645,20";"0,0"
