"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"20,2";"21,8";"20,2";"61,0";"61,0";"56,0";"12,4";"13,4";"12,0";"900,0";"900,0";"899,6";"1,7";"99,0";"4,8";"";"0,0"
"01/01/2022";"0100";"18,7";"20,2";"18,7";"74,0";"74,0";"61,0";"14,0";"14,3";"12,4";"900,7";"900,7";"900,0";"2,5";"70,0";"5,3";"";"0,0"
"01/01/2022";"0200";"18,0";"18,7";"18,0";"79,0";"79,0";"74,0";"14,3";"14,5";"13,9";"901,1";"901,2";"900,7";"2,1";"71,0";"4,4";"";"0,0"
"01/01/2022";"0300";"17,0";"18,3";"16,9";"82,0";"82,0";"77,0";"13,8";"14,4";"13,7";"900,6";"901,2";"900,6";"2,6";"28,0";"4,1";"";"0,0"
"01/01/2022";"0400";"16,4";"17,1";"16,4";"87,0";"87,0";"81,0";"14,2";"14,3";"13,6";"900,0";"900,6";"900,0";"2,9";"11,0";"4,0";"";"0,0"
"01/01/2022";"0500";"15,5";"16,8";"15,5";"93,0";"93,0";"87,0";"14,3";"15,0";"14,3";"899,5";"900,0";"899,5";"2,9";"5,0";"4,9";"";"0,0"
"01/01/2022";"0600";"15,2";"15,5";"15,0";"98,0";"98,0";"93,0";"14,9";"14,9";"14,3";"899,2";"899,5";"899,1";"2,8";"5,0";"4,3";"";"0,0"
"01/01/2022";"0700";"15,1";"15,6";"15,1";"100,0";"100,0";"98,0";"15,1";"15,5";"15,0";"899,3";"899,4";"899,2";"2,8";"6,0";"4,1";"";"0,0"
"01/01/2022";"0800";"15,5";"15,5";"15,0";"100,0";"100,0";"100,0";"15,5";"15,5";"15,0";"899,8";"899,8";"899,3";"3,3";"15,0";"4,5";"";"0,0"
"01/01/2022";"0900";"14,9";"15,6";"14,9";"100,0";"100,0";"100,0";"14,9";"15,6";"14,8";"900,4";"900,4";"899,8";"2,8";"28,0";"4,6";"27,20";"0,0"
"01/01/2022";"1000";"16,8";"16,8";"14,9";"97,0";"100,0";"97,0";"16,3";"16,5";"15,0";"900,9";"900,9";"900,4";"3,4";"24,0";"5,3";"360,70";"0,0"
"01/01/2022";"1100";"19,7";"19,7";"16,8";"81,0";"97,0";"81,0";"16,4";"16,9";"16,1";"901,2";"901,2";"900,9";"3,4";"6,0";"5,5";"1317,40";"0,0"
