"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"26,5";"28,2";"26,5";"56,0";"56,0";"48,0";"17,0";"17,0";"16,1";"1009,3";"1009,3";"1008,9";"1,3";"78,0";"4,1";"";"0,0"
"01/01/2023";"0100";"25,7";"26,5";"25,5";"57,0";"58,0";"54,0";"16,4";"17,1";"16,3";"1009,8";"1009,8";"1009,3";"1,3";"67,0";"3,8";"";"0,0"
"01/01/2023";"0200";"23,4";"25,6";"23,4";"66,0";"66,0";"57,0";"16,7";"16,9";"16,4";"1009,9";"1010,1";"1009,8";"0,6";"70,0";"3,7";"";"0,0"
"01/01/2023";"0300";"22,2";"23,4";"22,2";"71,0";"71,0";"66,0";"16,7";"16,8";"16,5";"1009,7";"1010,1";"1009,7";"0,4";"83,0";"2,0";"";"0,0"
"01/01/2023";"0400";"21,4";"22,2";"21,4";"76,0";"76,0";"71,0";"17,0";"17,0";"16,5";"1009,4";"1009,7";"1009,4";"0,3";"295,0";"1,7";"";"0,0"
"01/01/2023";"0500";"20,3";"21,4";"20,3";"81,0";"81,0";"76,0";"16,9";"17,3";"16,9";"1009,1";"1009,4";"1009,1";"0,3";"58,0";"1,1";"";"0,0"
"01/01/2023";"0600";"20,0";"20,5";"19,9";"83,0";"83,0";"81,0";"17,1";"17,2";"16,8";"1009,3";"1009,4";"1009,1";"0,3";"65,0";"1,1";"";"0,0"
"01/01/2023";"0700";"19,4";"20,0";"19,3";"86,0";"86,0";"83,0";"16,9";"17,1";"16,9";"1009,4";"1009,4";"1009,3";"0,4";"83,0";"1,1";"";"0,0"
"01/01/2023";"0800";"19,4";"19,5";"19,1";"87,0";"87,0";"86,0";"17,1";"17,3";"16,7";"1010,0";"1010,0";"1009,4";"0,9";"60,0";"1,6";"";"0,0"
"01/01/2023";"0900";"20,2";"20,2";"19,3";"85,0";"87,0";"85,0";"17,5";"17,6";"17,0";"1010,4";"1010,4";"1009,9";"1,1";"81,0";"2,1";"24,40";"0,0"
"01/01/2023";"1000";"22,8";"22,8";"20,2";"66,0";"85,0";"66,0";"16,1";"17,6";"16,1";"1010,6";"1010,6";"1010,4";"2,4";"75,0";"3,9";"138,60";"0,0"
"01/01/2023";"1100";"26,4";"26,4";"22,7";"53,0";"68,0";"53,0";"16,2";"17,0";"15,9";"1010,9";"1010,9";"1010,6";"0,5";"152,0";"3,9";"1367,80";"0,0"
"01/01/2023";"1200";"28,8";"28,9";"26,4";"48,0";"55,0";"47,0";"16,8";"17,6";"15,0";"1010,8";"1011,1";"1010,8";"1,0";"71,0";"2,4";"2290,10";"0,0"
"01/01/2023";"1300";"31,5";"31,6";"28,7";"40,0";"50,0";"38,0";"16,4";"18,5";"15,6";"1009,9";"1010,8";"1009,9";"1,8";"72,0";"3,7";"3001,50";"0,0"
"01/01/2023";"1400";"33,7";"33,8";"31,5";"37,0";"43,0";"35,0";"17,1";"18,3";"15,9";"1009,3";"1010,0";"1009,2";"1,3";"107,0";"4,3";"3186,20";"0,0"
"01/01/2023";"1500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/01/2023";"1600";"37,3";"37,5";"35,5";"31,0";"34,0";"28,0";"17,2";"18,0";"14,7";"1007,6";"1008,4";"1007,6";"0,9";"112,0";"4,5";"4053,80";"0,0"
"01/01/2023";"1700";"38,8";"38,8";"36,8";"26,0";"32,0";"24,0";"15,6";"17,4";"13,5";"1006,7";"1007,6";"1006,7";"1,4";"178,0";"4,3";"3448,20";"0,0"
"01/01/2023";"1800";"36,5";"39,4";"36,0";"31,0";"34,0";"22,0";"16,6";"18,0";"13,2";"1006,3";"1006,7";"1006,3";"1,5";"127,0";"5,9";"2671,70";"0,0"
"01/01/2023";"1900";"37,1";"37,3";"35,5";"31,0";"34,0";"30,0";"17,1";"18,2";"16,4";"1005,7";"1006,3";"1005,7";"1,4";"129,0";"6,3";"2057,30";"0,0"
"01/01/2023";"2000";"35,0";"37,1";"34,5";"32,0";"33,0";"30,0";"15,8";"17,9";"15,1";"1005,1";"1005,7";"1005,0";"2,4";"89,0";"6,1";"1599,20";"0,0"
"01/01/2023";"2100";"34,6";"35,3";"34,5";"31,0";"34,0";"30,0";"15,2";"16,7";"14,6";"1004,6";"1005,1";"1004,6";"1,4";"98,0";"6,1";"1351,50";"0,0"
"01/01/2023";"2200";"32,0";"34,6";"32,0";"42,0";"42,0";"31,0";"17,6";"17,6";"14,4";"1004,5";"1004,6";"1004,3";"2,5";"83,0";"6,8";"338,60";"0,0"
"01/01/2023";"2300";"30,0";"32,0";"30,0";"52,0";"52,0";"42,0";"19,2";"19,2";"17,7";"1005,1";"1005,2";"999,4";"2,2";"79,0";"7,3";"19,30";"0,0"
"02/01/2023";"0000";"29,5";"30,1";"29,3";"48,0";"54,0";"48,0";"17,5";"19,3";"17,5";"1003,9";"1005,3";"1003,9";"2,1";"67,0";"4,5";"";"0,0"
"02/01/2023";"0100";"28,0";"29,6";"27,9";"55,0";"56,0";"48,0";"18,3";"18,3";"17,3";"1004,2";"1004,7";"1003,8";"1,5";"64,0";"5,2";"";"0,0"
"02/01/2023";"0200";"27,1";"28,1";"26,4";"60,0";"63,0";"55,0";"18,7";"19,0";"18,2";"1006,8";"1006,8";"1003,1";"1,1";"73,0";"3,4";"";"0,0"
"02/01/2023";"0300";"26,7";"27,2";"26,7";"62,0";"62,0";"60,0";"18,8";"19,1";"18,7";"1005,8";"1006,8";"1005,8";"1,0";"82,0";"2,9";"";"0,0"
"02/01/2023";"0400";"26,2";"26,8";"25,9";"61,0";"66,0";"60,0";"18,2";"19,2";"18,2";"1005,1";"1006,0";"1005,1";"0,3";"314,0";"2,1";"";"0,0"
"02/01/2023";"0500";"28,1";"28,2";"26,1";"50,0";"61,0";"50,0";"16,7";"18,1";"16,6";"1004,4";"1005,1";"1004,3";"1,7";"70,0";"6,3";"0,70";"0,0"
"02/01/2023";"0600";"26,5";"28,2";"26,2";"57,0";"58,0";"49,0";"17,3";"17,5";"16,4";"1005,2";"1005,2";"1004,4";"1,2";"251,0";"6,3";"";"0,0"
"02/01/2023";"0700";"27,2";"28,7";"26,4";"57,0";"59,0";"50,0";"17,9";"18,0";"17,2";"1005,2";"1005,5";"1005,2";"0,9";"259,0";"7,0";"0,50";"0,0"
"02/01/2023";"0800";"25,8";"27,2";"25,8";"66,0";"66,0";"57,0";"18,9";"18,9";"17,8";"1005,4";"1005,4";"1005,2";"0,4";"290,0";"2,0";"";"0,0"
"02/01/2023";"0900";"27,0";"27,4";"25,7";"58,0";"66,0";"57,0";"18,2";"19,0";"18,0";"1005,6";"1005,6";"1005,2";"1,1";"358,0";"3,4";"9,30";"0,0"
"02/01/2023";"1000";"28,1";"28,1";"26,6";"52,0";"62,0";"52,0";"17,2";"18,7";"17,1";"1005,9";"1005,9";"1005,6";"1,1";"304,0";"3,4";"206,30";"0,0"
"02/01/2023";"1100";"28,0";"28,4";"27,8";"52,0";"55,0";"51,0";"17,4";"17,9";"17,1";"1006,2";"1006,2";"1005,8";"1,8";"258,0";"4,6";"438,20";"0,0"
"02/01/2023";"1200";"28,4";"28,6";"28,0";"53,0";"55,0";"51,0";"18,0";"18,3";"17,3";"1006,4";"1006,5";"1006,2";"1,1";"98,0";"6,0";"660,60";"0,0"
"02/01/2023";"1300";"29,6";"30,1";"28,4";"51,0";"56,0";"48,0";"18,3";"19,5";"17,6";"1006,2";"1006,5";"1006,0";"1,7";"295,0";"4,6";"1154,30";"0,0"
"02/01/2023";"1400";"30,2";"30,8";"29,6";"48,0";"52,0";"46,0";"18,1";"19,0";"17,5";"1005,3";"1006,2";"1005,3";"2,3";"295,0";"4,7";"1659,60";"0,0"
"02/01/2023";"1500";"33,5";"33,6";"30,2";"42,0";"51,0";"42,0";"18,7";"19,6";"18,1";"1004,8";"1005,3";"1004,7";"1,8";"298,0";"7,2";"2792,20";"0,0"
"02/01/2023";"1600";"33,0";"33,7";"31,9";"41,0";"48,0";"39,0";"17,8";"20,2";"17,6";"1003,8";"1004,8";"1003,8";"2,2";"277,0";"7,5";"2083,00";"0,0"
"02/01/2023";"1700";"33,0";"34,7";"32,6";"41,0";"43,0";"37,0";"18,1";"19,1";"17,3";"1002,9";"1003,8";"1002,9";"2,3";"272,0";"6,5";"1909,70";"0,0"
"02/01/2023";"1800";"34,2";"35,2";"32,9";"37,0";"44,0";"35,0";"17,3";"19,9";"16,8";"1002,0";"1002,9";"1001,9";"1,7";"301,0";"6,3";"1923,40";"0,0"
"02/01/2023";"1900";"33,2";"34,2";"32,8";"42,0";"44,0";"37,0";"18,4";"19,6";"17,4";"1001,3";"1002,0";"1001,2";"1,8";"32,0";"6,3";"1935,20";"0,0"
"02/01/2023";"2000";"34,3";"34,7";"31,7";"41,0";"49,0";"40,0";"19,1";"20,5";"18,3";"1000,3";"1001,3";"1000,3";"1,4";"24,0";"5,5";"1328,70";"0,0"
"02/01/2023";"2100";"32,0";"34,3";"31,9";"49,0";"50,0";"40,0";"20,0";"20,1";"18,7";"1000,0";"1000,3";"999,7";"0,7";"348,0";"4,3";"669,50";"0,0"
"02/01/2023";"2200";"29,3";"32,2";"29,3";"63,0";"63,0";"46,0";"21,5";"21,5";"19,2";"1001,0";"1001,0";"999,9";"1,2";"232,0";"7,8";"255,70";"0,0"
"02/01/2023";"2300";"27,8";"29,3";"27,8";"74,0";"74,0";"62,0";"22,8";"22,8";"21,1";"1001,9";"1001,9";"1000,9";"0,7";"154,0";"3,1";"13,70";"0,0"
"03/01/2023";"0000";"27,4";"27,8";"27,3";"76,0";"77,0";"74,0";"22,9";"23,1";"22,8";"1002,5";"1002,5";"1001,9";"1,1";"25,0";"3,1";"2,90";"0,0"
"03/01/2023";"0100";"25,8";"27,5";"25,8";"85,0";"85,0";"75,0";"23,0";"23,0";"22,5";"1003,8";"1003,8";"1002,5";"0,8";"108,0";"3,9";"1,30";"0,0"
"03/01/2023";"0200";"25,5";"26,0";"25,5";"85,0";"85,0";"83,0";"22,7";"23,0";"22,7";"1004,0";"1004,1";"1003,7";"1,6";"76,0";"4,0";"0,20";"0,0"
"03/01/2023";"0300";"24,5";"25,5";"24,5";"84,0";"85,0";"84,0";"21,7";"22,7";"21,7";"1003,6";"1004,1";"1003,6";"1,6";"69,0";"3,5";"";"0,0"
"03/01/2023";"0400";"23,4";"24,7";"23,4";"88,0";"88,0";"82,0";"21,3";"21,7";"21,2";"1003,5";"1003,8";"1003,5";"0,5";"260,0";"3,2";"";"0,2"
"03/01/2023";"0500";"23,3";"23,4";"23,2";"91,0";"91,0";"88,0";"21,9";"21,9";"21,3";"1003,4";"1003,5";"1003,3";"0,2";"179,0";"1,7";"1,70";"0,0"
"03/01/2023";"0600";"23,6";"23,8";"23,3";"91,0";"92,0";"91,0";"22,1";"22,4";"21,9";"1003,3";"1003,4";"1003,2";"1,1";"258,0";"2,6";"0,10";"0,0"
"03/01/2023";"0700";"23,1";"23,6";"23,0";"89,0";"91,0";"89,0";"21,1";"22,1";"21,1";"1003,9";"1003,9";"1003,3";"0,6";"169,0";"2,1";"";"0,0"
"03/01/2023";"0800";"22,6";"23,1";"22,4";"84,0";"89,0";"83,0";"19,8";"21,1";"19,8";"1004,6";"1004,6";"1003,9";"0,4";"107,0";"2,0";"0,90";"0,0"
"03/01/2023";"0900";"22,7";"23,0";"22,6";"80,0";"84,0";"78,0";"19,1";"19,8";"18,9";"1005,8";"1005,8";"1004,6";"0,5";"201,0";"2,1";"21,30";"0,0"
"03/01/2023";"1000";"23,1";"23,4";"22,6";"78,0";"82,0";"78,0";"19,1";"19,7";"19,1";"1006,8";"1006,8";"1005,8";"1,4";"202,0";"3,6";"158,10";"0,0"
"03/01/2023";"1100";"24,0";"24,1";"23,0";"76,0";"80,0";"75,0";"19,5";"19,7";"19,0";"1007,7";"1007,7";"1006,8";"1,1";"211,0";"3,8";"765,40";"0,0"
"03/01/2023";"1200";"25,2";"27,0";"23,7";"64,0";"76,0";"58,0";"18,0";"19,8";"17,5";"1007,7";"1007,8";"1007,5";"1,4";"209,0";"3,5";"1486,90";"0,0"
"03/01/2023";"1300";"26,1";"26,1";"24,7";"65,0";"70,0";"64,0";"19,1";"19,2";"18,0";"1007,8";"1007,9";"1007,7";"1,1";"184,0";"3,5";"1176,70";"0,0"
"03/01/2023";"1400";"27,9";"28,1";"25,5";"59,0";"68,0";"54,0";"19,0";"19,9";"17,4";"1007,6";"1007,8";"1007,6";"1,2";"248,0";"4,0";"2685,40";"0,0"
"03/01/2023";"1500";"29,3";"30,1";"26,7";"46,0";"59,0";"46,0";"16,5";"18,9";"16,5";"1007,0";"1007,6";"1007,0";"1,3";"178,0";"4,5";"3260,30";"0,0"
"03/01/2023";"1600";"29,3";"29,9";"28,3";"44,0";"53,0";"42,0";"15,7";"18,1";"15,2";"1005,8";"1007,1";"1005,8";"2,1";"216,0";"5,7";"3712,50";"0,0"
"03/01/2023";"1700";"31,6";"32,4";"29,1";"34,0";"46,0";"33,0";"13,8";"17,2";"13,5";"1005,2";"1005,8";"1005,1";"1,5";"171,0";"5,7";"2917,60";"0,0"
"03/01/2023";"1800";"31,6";"32,6";"31,2";"36,0";"37,0";"30,0";"14,6";"15,6";"12,6";"1004,1";"1005,3";"1004,1";"1,3";"168,0";"5,5";"3032,00";"0,0"
"03/01/2023";"1900";"30,3";"32,6";"30,2";"45,0";"45,0";"27,0";"16,8";"16,8";"11,1";"1004,5";"1004,5";"1004,1";"1,6";"150,0";"5,8";"2221,90";"0,0"
"03/01/2023";"2000";"27,9";"30,3";"27,9";"51,0";"52,0";"44,0";"16,9";"17,6";"16,6";"1005,4";"1005,4";"1004,5";"1,8";"141,0";"6,1";"1049,40";"0,0"
"03/01/2023";"2100";"25,7";"27,9";"25,7";"54,0";"56,0";"51,0";"15,9";"17,3";"15,9";"1005,9";"1005,9";"1005,4";"1,4";"106,0";"6,1";"430,30";"0,0"
"03/01/2023";"2200";"24,7";"25,7";"24,7";"47,0";"56,0";"46,0";"12,5";"16,2";"12,5";"1007,2";"1007,2";"1005,9";"0,8";"157,0";"5,0";"105,70";"0,0"
"03/01/2023";"2300";"24,0";"24,7";"23,9";"58,0";"58,0";"47,0";"15,2";"15,2";"12,5";"1008,3";"1008,3";"1007,2";"1,2";"92,0";"4,3";"10,30";"0,0"
"04/01/2023";"0000";"22,8";"24,0";"22,8";"69,0";"69,0";"58,0";"16,8";"17,1";"15,2";"1008,9";"1009,0";"1008,3";"1,4";"93,0";"6,8";"0,30";"0,0"
"04/01/2023";"0100";"22,2";"22,8";"22,2";"68,0";"70,0";"68,0";"16,0";"16,9";"16,0";"1009,1";"1009,1";"1008,7";"1,8";"79,0";"7,1";"";"0,0"
"04/01/2023";"0200";"21,7";"22,2";"21,7";"73,0";"74,0";"68,0";"16,6";"16,8";"16,0";"1008,5";"1009,1";"1007,9";"1,8";"77,0";"5,5";"";"0,0"
"04/01/2023";"0300";"21,4";"21,7";"21,1";"75,0";"77,0";"73,0";"16,8";"16,9";"16,6";"1009,4";"1009,7";"1008,5";"1,0";"225,0";"3,8";"";"0,0"
"04/01/2023";"0400";"20,7";"21,4";"20,7";"78,0";"78,0";"74,0";"16,7";"16,8";"16,6";"1008,2";"1009,4";"1008,2";"1,0";"72,0";"2,2";"";"0,0"
"04/01/2023";"0500";"20,0";"20,8";"20,0";"82,0";"82,0";"77,0";"16,8";"16,8";"16,6";"1007,3";"1008,2";"1007,3";"0,2";"267,0";"2,1";"";"0,0"
"04/01/2023";"0600";"20,3";"20,4";"19,9";"82,0";"83,0";"82,0";"17,2";"17,4";"16,8";"1006,9";"1007,3";"1006,8";"0,6";"89,0";"2,0";"";"0,0"
"04/01/2023";"0700";"19,9";"20,3";"19,9";"85,0";"85,0";"82,0";"17,3";"17,3";"17,1";"1007,0";"1007,0";"1006,8";"0,8";"65,0";"2,3";"";"0,0"
"04/01/2023";"0800";"19,6";"20,0";"19,5";"87,0";"87,0";"85,0";"17,4";"17,5";"17,1";"1007,6";"1007,8";"1007,0";"0,9";"92,0";"2,2";"";"0,0"
"04/01/2023";"0900";"19,2";"19,6";"19,1";"89,0";"89,0";"87,0";"17,3";"17,5";"17,2";"1008,4";"1008,4";"1007,4";"0,4";"29,0";"2,2";"13,60";"0,0"
"04/01/2023";"1000";"20,1";"20,1";"19,1";"86,0";"90,0";"86,0";"17,7";"17,9";"17,3";"1009,3";"1009,3";"1008,4";"0,5";"290,0";"1,9";"127,70";"0,0"
"04/01/2023";"1100";"22,6";"22,6";"20,1";"73,0";"86,0";"72,0";"17,5";"18,3";"17,0";"1009,4";"1009,5";"1009,1";"0,6";"247,0";"1,8";"760,60";"0,0"
"04/01/2023";"1200";"24,8";"24,8";"22,6";"66,0";"74,0";"65,0";"17,9";"18,2";"16,9";"1009,5";"1009,6";"1009,4";"0,7";"89,0";"2,2";"1488,80";"0,0"
"04/01/2023";"1300";"28,6";"28,6";"24,7";"49,0";"67,0";"49,0";"16,7";"18,9";"16,3";"1009,4";"1009,5";"1009,3";"1,0";"178,0";"3,3";"3054,50";"0,0"
"04/01/2023";"1400";"29,2";"29,7";"26,7";"40,0";"56,0";"38,0";"14,3";"18,4";"13,9";"1009,1";"1009,4";"1009,1";"0,9";"181,0";"3,5";"3400,20";"0,0"
"04/01/2023";"1500";"31,1";"31,5";"29,1";"29,0";"45,0";"25,0";"10,9";"16,3";"9,0";"1008,9";"1009,2";"1008,9";"1,2";"137,0";"3,7";"3814,00";"0,0"
"04/01/2023";"1600";"32,1";"32,1";"30,4";"29,0";"34,0";"28,0";"11,9";"13,9";"10,5";"1008,1";"1008,9";"1008,1";"1,3";"195,0";"6,9";"4208,60";"0,0"
"04/01/2023";"1700";"32,5";"32,9";"31,0";"24,0";"34,0";"24,0";"9,3";"13,7";"9,3";"1007,4";"1008,1";"1007,4";"2,1";"92,0";"5,7";"3448,30";"0,0"
"04/01/2023";"1800";"32,1";"33,6";"31,8";"25,0";"26,0";"20,0";"9,6";"10,3";"6,7";"1007,4";"1007,5";"1007,3";"3,7";"73,0";"7,6";"3214,60";"0,0"
"04/01/2023";"1900";"32,5";"32,7";"30,4";"24,0";"30,0";"23,0";"9,2";"11,8";"8,6";"1007,2";"1007,5";"1007,1";"2,5";"96,0";"7,9";"2128,70";"0,0"
"04/01/2023";"2000";"30,9";"32,5";"30,6";"29,0";"30,0";"23,0";"10,7";"11,4";"8,3";"1007,0";"1007,2";"1006,9";"3,4";"85,0";"7,9";"2055,30";"0,0"
"04/01/2023";"2100";"30,0";"31,3";"30,0";"28,0";"31,0";"26,0";"9,6";"11,9";"8,7";"1007,2";"1007,2";"1006,9";"2,7";"81,0";"7,9";"1389,00";"0,0"
"04/01/2023";"2200";"27,5";"30,0";"27,5";"32,0";"33,0";"28,0";"9,3";"10,8";"9,1";"1007,7";"1007,7";"1007,1";"1,7";"76,0";"6,4";"388,30";"0,0"
"04/01/2023";"2300";"24,6";"27,4";"24,6";"40,0";"40,0";"31,0";"10,1";"10,1";"8,6";"1008,5";"1008,5";"1007,7";"0,8";"65,0";"3,6";"17,50";"0,0"
"05/01/2023";"0000";"22,5";"24,6";"22,5";"54,0";"54,0";"40,0";"12,6";"12,6";"10,2";"1009,2";"1009,2";"1008,5";"1,0";"80,0";"2,2";"";"0,0"
"05/01/2023";"0100";"21,0";"22,6";"21,0";"68,0";"68,0";"53,0";"14,8";"14,8";"12,5";"1010,0";"1010,0";"1009,2";"0,2";"47,0";"2,2";"";"0,0"
"05/01/2023";"0200";"21,9";"22,1";"20,8";"63,0";"69,0";"63,0";"14,5";"15,2";"14,5";"1010,5";"1010,5";"1010,0";"1,0";"70,0";"2,1";"2,60";"0,0"
"05/01/2023";"0300";"20,1";"21,9";"20,1";"71,0";"71,0";"63,0";"14,6";"14,7";"14,3";"1010,4";"1010,5";"1010,3";"0,6";"74,0";"2,6";"";"0,0"
"05/01/2023";"0400";"18,7";"20,1";"18,7";"79,0";"79,0";"71,0";"15,0";"15,1";"14,5";"1010,3";"1010,5";"1010,3";"0,4";"64,0";"1,9";"";"0,0"
"05/01/2023";"0500";"17,7";"18,7";"17,7";"85,0";"85,0";"79,0";"15,1";"15,6";"14,9";"1010,0";"1010,4";"1010,0";"0,6";"47,0";"1,5";"";"0,0"
"05/01/2023";"0600";"16,8";"17,7";"16,7";"87,0";"87,0";"84,0";"14,5";"15,2";"14,4";"1009,9";"1010,0";"1009,9";"0,7";"251,0";"1,3";"";"0,0"
"05/01/2023";"0700";"15,5";"16,8";"15,5";"89,0";"89,0";"86,0";"13,6";"14,7";"13,6";"1010,2";"1010,2";"1009,8";"0,2";"240,0";"1,8";"";"0,0"
"05/01/2023";"0800";"15,0";"15,7";"15,0";"90,0";"90,0";"89,0";"13,4";"13,9";"13,3";"1010,8";"1010,8";"1010,2";"0,4";"73,0";"0,8";"";"0,0"
