"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"22,4";"22,8";"22,4";"88,0";"88,0";"84,0";"20,3";"20,3";"20,0";"1012,0";"1012,0";"1011,8";"6,1";"30,0";"13,9";"";"0,0"
"01/01/2023";"0100";"22,1";"22,5";"22,1";"90,0";"90,0";"88,0";"20,4";"20,5";"20,3";"1012,5";"1012,5";"1012,0";"5,2";"30,0";"13,9";"";"0,0"
"01/01/2023";"0200";"22,1";"22,1";"22,0";"91,0";"91,0";"90,0";"20,6";"20,6";"20,4";"1012,2";"1012,6";"1012,2";"7,1";"37,0";"13,7";"";"0,0"
"01/01/2023";"0300";"22,2";"22,2";"22,1";"92,0";"92,0";"91,0";"20,7";"20,8";"20,5";"1012,1";"1012,3";"1012,1";"5,3";"28,0";"13,7";"";"0,0"
"01/01/2023";"0400";"22,3";"22,3";"22,2";"92,0";"92,0";"92,0";"20,9";"21,0";"20,7";"1011,9";"1012,1";"1011,8";"5,6";"29,0";"11,9";"";"0,0"
"01/01/2023";"0500";"22,2";"22,3";"22,2";"93,0";"93,0";"92,0";"21,0";"21,0";"20,9";"1011,8";"1011,9";"1011,8";"4,7";"30,0";"9,4";"";"0,0"
"01/01/2023";"0600";"21,7";"22,2";"21,7";"93,0";"93,0";"93,0";"20,5";"21,0";"20,5";"1012,0";"1012,0";"1011,7";"4,7";"31,0";"9,4";"";"0,0"
"01/01/2023";"0700";"21,7";"21,8";"21,7";"93,0";"93,0";"93,0";"20,5";"20,6";"20,5";"1012,1";"1012,1";"1011,9";"4,7";"30,0";"9,3";"";"0,0"
"01/01/2023";"0800";"22,2";"22,3";"21,7";"92,0";"93,0";"92,0";"20,9";"20,9";"20,5";"1012,4";"1012,4";"1012,1";"4,5";"30,0";"10,8";"";"0,0"
"01/01/2023";"0900";"22,1";"22,3";"22,0";"92,0";"92,0";"92,0";"20,8";"21,0";"20,6";"1012,8";"1012,8";"1012,4";"5,4";"37,0";"9,3";"27,70";"0,0"
"01/01/2023";"1000";"22,1";"22,2";"22,0";"91,0";"92,0";"91,0";"20,6";"20,8";"20,5";"1012,9";"1013,0";"1012,7";"8,1";"53,0";"10,9";"216,10";"0,0"
"01/01/2023";"1100";"24,0";"24,1";"22,1";"84,0";"91,0";"84,0";"21,1";"21,7";"20,6";"1013,0";"1013,1";"1012,8";"6,4";"49,0";"11,3";"1121,80";"0,0"
"01/01/2023";"1200";"24,7";"24,7";"23,9";"81,0";"84,0";"81,0";"21,3";"21,3";"20,9";"1012,9";"1013,1";"1012,9";"6,4";"51,0";"12,6";"2213,10";"0,0"
"01/01/2023";"1300";"25,0";"25,1";"24,6";"79,0";"81,0";"79,0";"21,1";"21,4";"21,0";"1012,5";"1012,9";"1012,5";"8,8";"58,0";"13,1";"2897,60";"0,0"
"01/01/2023";"1400";"25,4";"25,4";"24,8";"78,0";"80,0";"78,0";"21,2";"21,5";"21,0";"1012,3";"1012,5";"1012,3";"8,4";"55,0";"13,1";"3438,10";"0,0"
"01/01/2023";"1500";"25,8";"25,9";"25,2";"76,0";"79,0";"76,0";"21,3";"21,7";"21,1";"1012,2";"1012,4";"1012,1";"7,7";"57,0";"12,9";"3767,70";"0,0"
"01/01/2023";"1600";"25,5";"26,0";"25,4";"78,0";"79,0";"76,0";"21,4";"21,6";"21,1";"1011,6";"1012,2";"1011,6";"8,2";"53,0";"13,5";"3885,80";"0,0"
"01/01/2023";"1700";"25,7";"26,3";"25,4";"79,0";"79,0";"76,0";"21,7";"21,8";"21,3";"1011,3";"1011,6";"1011,3";"8,1";"51,0";"15,8";"3751,10";"0,0"
"01/01/2023";"1800";"25,6";"25,8";"25,2";"79,0";"81,0";"78,0";"21,8";"22,1";"21,5";"1010,7";"1011,3";"1010,7";"7,0";"47,0";"15,6";"3260,00";"0,0"
"01/01/2023";"1900";"25,1";"26,0";"24,7";"83,0";"83,0";"78,0";"21,9";"22,1";"21,5";"1010,0";"1010,8";"1010,0";"8,6";"56,0";"16,8";"2386,80";"0,0"
"01/01/2023";"2000";"24,3";"25,2";"24,3";"83,0";"84,0";"81,0";"21,3";"21,9";"21,3";"1009,3";"1010,0";"1009,3";"7,6";"50,0";"13,7";"1811,60";"0,0"
"01/01/2023";"2100";"23,4";"24,3";"23,4";"87,0";"87,0";"83,0";"21,2";"21,4";"21,1";"1008,6";"1009,3";"1008,6";"8,0";"49,0";"17,2";"628,80";"0,0"
"01/01/2023";"2200";"23,1";"23,4";"23,1";"89,0";"89,0";"87,0";"21,1";"21,2";"21,1";"1008,3";"1008,6";"1008,3";"8,2";"47,0";"13,8";"331,50";"0,0"
"01/01/2023";"2300";"22,9";"23,1";"22,8";"90,0";"90,0";"89,0";"21,1";"21,1";"21,0";"1008,7";"1008,7";"1008,3";"7,4";"37,0";"13,5";"37,60";"0,0"
"02/01/2023";"0000";"22,9";"22,9";"22,8";"90,0";"90,0";"90,0";"21,2";"21,2";"21,1";"1008,3";"1008,7";"1008,3";"8,7";"42,0";"16,6";"";"0,0"
"02/01/2023";"0100";"23,2";"23,3";"22,9";"89,0";"90,0";"89,0";"21,2";"21,4";"21,1";"1009,6";"1009,6";"1008,3";"8,8";"39,0";"";"";"0,0"
"02/01/2023";"0200";"23,4";"23,5";"23,2";"88,0";"89,0";"87,0";"21,2";"21,3";"21,2";"1009,4";"1010,0";"1009,4";"9,7";"41,0";"16,2";"";"0,0"
"02/01/2023";"0300";"23,0";"23,4";"23,0";"88,0";"88,0";"88,0";"20,9";"21,2";"20,9";"1008,5";"1009,4";"1008,5";"9,9";"38,0";"17,9";"";"0,0"
"02/01/2023";"0400";"22,9";"23,0";"22,9";"89,0";"89,0";"88,0";"21,0";"21,0";"20,9";"1007,8";"1008,6";"1007,8";"9,2";"39,0";"18,0";"";"0,0"
"02/01/2023";"0500";"22,8";"23,0";"22,7";"89,0";"89,0";"89,0";"21,0";"21,0";"20,9";"1006,8";"1007,8";"1006,7";"9,2";"36,0";"18,6";"";"0,0"
"02/01/2023";"0600";"23,3";"23,3";"22,8";"89,0";"89,0";"89,0";"21,3";"21,4";"21,0";"1007,3";"1008,0";"1006,9";"1,0";"29,0";"17,0";"";"0,0"
"02/01/2023";"0700";"23,1";"23,3";"23,1";"89,0";"89,0";"89,0";"21,2";"21,3";"21,1";"1006,8";"1007,4";"1006,8";"2,1";"6,0";"4,0";"";"0,0"
"02/01/2023";"0800";"23,2";"23,2";"23,1";"88,0";"89,0";"88,0";"21,0";"21,2";"21,0";"1006,4";"1006,8";"1006,4";"4,4";"26,0";"8,6";"";"0,0"
"02/01/2023";"0900";"23,2";"23,3";"23,2";"87,0";"88,0";"87,0";"20,9";"21,0";"20,9";"1006,3";"1006,4";"1006,1";"3,6";"17,0";"6,9";"9,60";"0,2"
"02/01/2023";"1000";"23,3";"23,3";"23,1";"89,0";"89,0";"87,0";"21,4";"21,4";"20,9";"1006,8";"1006,8";"1006,2";"5,2";"333,0";"8,2";"97,70";"0,6"
"02/01/2023";"1100";"24,2";"24,2";"23,3";"90,0";"90,0";"89,0";"22,6";"22,6";"21,5";"1007,0";"1007,1";"1006,8";"";"";"9,2";"296,10";"0,0"
