"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"26,4";"28,1";"26,4";"58,0";"58,0";"43,0";"17,5";"17,5";"14,5";"999,4";"999,4";"998,7";"3,1";"111,0";"7,1";"";"0,0"
"01/01/2023";"0100";"24,7";"26,4";"24,6";"69,0";"69,0";"58,0";"18,6";"18,8";"17,6";"999,8";"999,9";"999,4";"2,1";"88,0";"5,8";"";"0,0"
"01/01/2023";"0200";"23,9";"24,8";"23,9";"67,0";"70,0";"65,0";"17,5";"18,6";"17,5";"999,7";"999,9";"999,7";"2,4";"86,0";"5,5";"";"0,0"
"01/01/2023";"0300";"24,0";"24,4";"23,9";"62,0";"67,0";"61,0";"16,3";"17,6";"16,3";"999,3";"999,8";"999,3";"3,3";"103,0";"7,1";"";"0,0"
"01/01/2023";"0400";"22,9";"24,0";"22,8";"66,0";"67,0";"62,0";"16,2";"16,4";"16,2";"999,2";"999,3";"999,2";"2,9";"114,0";"6,0";"";"0,0"
"01/01/2023";"0500";"22,0";"22,9";"22,0";"69,0";"70,0";"66,0";"16,2";"16,5";"16,2";"999,2";"999,2";"999,1";"2,2";"109,0";"5,2";"";"0,0"
"01/01/2023";"0600";"21,4";"22,2";"21,4";"72,0";"72,0";"69,0";"16,2";"16,3";"16,1";"998,9";"999,2";"998,9";"2,1";"90,0";"4,5";"";"0,0"
"01/01/2023";"0700";"21,4";"21,7";"21,3";"72,0";"73,0";"71,0";"16,2";"16,3";"16,1";"999,1";"999,1";"998,9";"2,2";"89,0";"4,4";"";"0,0"
"01/01/2023";"0800";"21,0";"21,5";"21,0";"75,0";"75,0";"72,0";"16,4";"16,4";"16,2";"999,5";"999,5";"999,1";"2,3";"89,0";"4,9";"12,70";"0,0"
"01/01/2023";"0900";"22,7";"22,7";"21,0";"71,0";"76,0";"71,0";"17,2";"17,2";"16,4";"999,8";"999,8";"999,5";"2,5";"81,0";"4,2";"402,00";"0,0"
"01/01/2023";"1000";"25,5";"25,5";"22,7";"62,0";"71,0";"62,0";"17,8";"18,0";"17,2";"1000,2";"1000,2";"999,8";"3,0";"99,0";"5,4";"1146,40";"0,0"
"01/01/2023";"1100";"27,4";"27,6";"25,5";"59,0";"63,0";"58,0";"18,6";"19,2";"17,6";"1000,0";"1000,2";"1000,0";"3,7";"67,0";"6,5";"1939,10";"0,0"
"01/01/2023";"1200";"30,1";"30,2";"27,3";"52,0";"60,0";"50,0";"19,2";"19,8";"18,5";"999,7";"1000,0";"999,7";"2,5";"62,0";"6,5";"2632,20";"0,0"
"01/01/2023";"1300";"32,0";"32,2";"30,1";"47,0";"53,0";"46,0";"19,2";"19,9";"18,5";"999,2";"999,7";"999,2";"2,4";"49,0";"5,3";"3176,40";"0,0"
"01/01/2023";"1400";"33,9";"33,9";"31,8";"43,0";"48,0";"40,0";"19,6";"19,6";"17,8";"998,6";"999,2";"998,6";"2,0";"154,0";"4,6";"3552,60";"0,0"
"01/01/2023";"1500";"34,2";"34,7";"32,9";"39,0";"44,0";"38,0";"18,2";"19,8";"17,7";"997,9";"998,6";"997,9";"2,0";"112,0";"4,8";"3773,50";"0,0"
"01/01/2023";"1600";"34,8";"35,5";"34,1";"38,0";"40,0";"33,0";"18,2";"19,4";"16,5";"997,2";"997,9";"997,1";"3,1";"132,0";"7,0";"3476,00";"0,0"
"01/01/2023";"1700";"35,4";"36,3";"34,5";"32,0";"37,0";"32,0";"16,3";"18,1";"16,3";"996,3";"997,2";"996,3";"2,1";"52,0";"7,0";"2818,90";"0,0"
"01/01/2023";"1800";"36,3";"36,9";"35,1";"29,0";"34,0";"27,0";"15,4";"17,5";"14,9";"995,4";"996,3";"995,4";"2,0";"73,0";"4,5";"2655,00";"0,0"
"01/01/2023";"1900";"35,0";"36,6";"34,9";"35,0";"35,0";"27,0";"17,1";"17,1";"14,7";"994,5";"995,4";"994,5";"1,6";"86,0";"5,0";"1544,70";"0,0"
"01/01/2023";"2000";"33,9";"35,0";"33,5";"38,0";"45,0";"33,0";"17,8";"19,8";"16,0";"993,8";"994,5";"993,8";"1,6";"60,0";"3,8";"813,30";"0,0"
"01/01/2023";"2100";"32,6";"34,5";"32,6";"44,0";"44,0";"37,0";"18,7";"19,5";"17,7";"993,8";"993,8";"993,6";"2,5";"72,0";"5,8";"810,30";"0,0"
"01/01/2023";"2200";"30,3";"32,6";"30,3";"48,0";"49,0";"43,0";"18,1";"18,8";"18,0";"994,5";"994,5";"993,7";"2,8";"96,0";"7,8";"62,50";"0,0"
"01/01/2023";"2300";"28,9";"30,3";"28,8";"48,0";"49,0";"46,0";"16,8";"18,1";"16,7";"994,5";"994,9";"994,5";"3,3";"97,0";"6,2";"";"0,0"
"02/01/2023";"0000";"27,9";"28,9";"27,8";"55,0";"55,0";"48,0";"18,0";"18,0";"16,8";"995,8";"995,8";"994,3";"2,7";"91,0";"6,2";"";"0,0"
"02/01/2023";"0100";"28,4";"28,4";"27,6";"54,0";"58,0";"54,0";"18,1";"18,7";"18,1";"996,9";"997,0";"995,7";"2,7";"236,0";"8,8";"";"0,0"
"02/01/2023";"0200";"24,9";"28,6";"24,4";"75,0";"76,0";"53,0";"20,1";"20,4";"18,0";"995,9";"997,3";"995,9";"4,1";"153,0";"7,3";"";"2,8"
"02/01/2023";"0300";"24,3";"25,5";"24,2";"82,0";"82,0";"72,0";"21,0";"21,0";"19,9";"996,5";"997,3";"995,2";"3,6";"280,0";"9,7";"0,60";"0,4"
"02/01/2023";"0400";"23,5";"24,5";"23,5";"84,0";"84,0";"77,0";"20,6";"21,0";"20,2";"996,5";"996,6";"995,9";"4,0";"309,0";"5,9";"0,90";"0,0"
"02/01/2023";"0500";"23,0";"23,5";"23,0";"86,0";"86,0";"84,0";"20,6";"20,8";"20,6";"995,4";"996,6";"995,4";"1,9";"16,0";"7,4";"";"0,2"
"02/01/2023";"0600";"23,0";"23,2";"22,9";"87,0";"87,0";"85,0";"20,7";"20,8";"20,5";"995,0";"995,7";"994,6";"0,9";"5,0";"4,1";"";"0,0"
"02/01/2023";"0700";"23,2";"23,3";"23,0";"87,0";"87,0";"85,0";"20,8";"20,8";"20,7";"995,1";"995,2";"995,0";"1,5";"326,0";"4,1";"";"0,0"
"02/01/2023";"0800";"22,8";"23,2";"22,8";"89,0";"89,0";"87,0";"20,9";"21,0";"20,7";"995,5";"995,5";"995,1";"2,3";"161,0";"4,1";"3,10";"0,0"
"02/01/2023";"0900";"22,8";"22,9";"22,7";"90,0";"90,0";"89,0";"21,1";"21,1";"20,8";"995,7";"995,8";"995,3";"1,6";"68,0";"4,8";"21,70";"0,2"
"02/01/2023";"1000";"23,4";"23,4";"22,8";"90,0";"91,0";"89,0";"21,6";"21,6";"21,1";"996,4";"996,4";"995,7";"1,8";"19,0";"3,4";"209,40";"0,2"
"02/01/2023";"1100";"24,1";"24,1";"23,3";"87,0";"90,0";"86,0";"21,7";"21,8";"21,0";"996,5";"996,6";"996,4";"0,5";"295,0";"3,7";"354,30";"1,2"
"02/01/2023";"1200";"26,0";"26,2";"24,1";"79,0";"87,0";"79,0";"22,0";"23,1";"21,7";"996,4";"996,8";"996,4";"2,0";"357,0";"3,4";"1299,10";"0,0"
"02/01/2023";"1300";"27,8";"27,9";"25,9";"73,0";"80,0";"67,0";"22,5";"23,0";"20,9";"995,9";"996,5";"995,9";"1,9";"339,0";"4,5";"2050,70";"0,0"
"02/01/2023";"1400";"28,9";"29,9";"27,1";"64,0";"73,0";"59,0";"21,5";"22,5";"20,4";"995,1";"995,9";"995,1";"3,7";"298,0";"7,0";"3115,90";"0,0"
"02/01/2023";"1500";"30,9";"31,3";"28,7";"57,0";"67,0";"56,0";"21,5";"22,8";"21,1";"994,0";"995,1";"994,0";"3,0";"297,0";"7,0";"2651,10";"0,0"
"02/01/2023";"1600";"32,6";"33,0";"30,6";"49,0";"60,0";"49,0";"20,6";"22,7";"20,4";"993,3";"994,1";"993,3";"4,4";"293,0";"8,3";"3496,10";"0,0"
"02/01/2023";"1700";"29,1";"32,8";"27,3";"76,0";"80,0";"49,0";"24,5";"24,5";"20,2";"992,8";"993,3";"992,8";"1,1";"354,0";"9,0";"2098,20";"0,8"
"02/01/2023";"1800";"31,3";"31,8";"29,0";"58,0";"76,0";"56,0";"22,1";"24,2";"21,6";"991,9";"992,8";"991,9";"4,6";"270,0";"8,4";"2596,00";"0,0"
"02/01/2023";"1900";"31,6";"32,3";"30,8";"51,0";"59,0";"51,0";"20,3";"22,5";"20,3";"991,2";"991,9";"991,2";"5,1";"273,0";"10,8";"2132,00";"0,0"
"02/01/2023";"2000";"30,5";"31,7";"30,3";"55,0";"58,0";"51,0";"20,5";"21,5";"20,3";"991,3";"991,4";"991,1";"5,0";"262,0";"11,7";"1165,20";"0,0"
"02/01/2023";"2100";"29,7";"30,7";"29,7";"55,0";"56,0";"52,0";"19,6";"20,8";"19,6";"991,7";"991,7";"991,2";"4,3";"267,0";"9,1";"672,30";"0,0"
"02/01/2023";"2200";"27,5";"29,7";"27,5";"63,0";"63,0";"55,0";"19,7";"20,1";"19,6";"992,2";"992,2";"991,7";"2,8";"267,0";"7,1";"97,00";"0,0"
"02/01/2023";"2300";"26,5";"27,7";"26,3";"67,0";"69,0";"62,0";"20,0";"20,2";"19,6";"993,0";"993,0";"992,2";"2,1";"275,0";"4,1";"";"0,0"
"03/01/2023";"0000";"26,1";"26,9";"26,0";"57,0";"69,0";"57,0";"16,9";"20,0";"16,9";"994,7";"994,7";"993,0";"2,0";"239,0";"6,4";"";"0,0"
