"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"21,8";"21,9";"21,6";"93,0";"93,0";"92,0";"20,5";"20,7";"20,3";"1012,8";"1012,9";"1012,2";"6,8";"";"8,8";"";"0,0"
"01/01/2023";"0100";"21,7";"21,9";"21,7";"91,0";"93,0";"91,0";"20,2";"20,6";"20,1";"1013,2";"1013,2";"1012,8";"6,8";"";"9,6";"";"0,0"
"01/01/2023";"0200";"21,9";"21,9";"21,6";"91,0";"91,0";"90,0";"20,2";"20,2";"19,9";"1013,5";"1013,5";"1013,1";"5,3";"";"8,9";"";"0,0"
"01/01/2023";"0300";"21,5";"21,9";"21,5";"90,0";"91,0";"90,0";"19,9";"20,2";"19,9";"1013,2";"1013,6";"1013,2";"5,8";"";"7,6";"";"0,0"
"01/01/2023";"0400";"21,4";"21,6";"21,3";"91,0";"91,0";"90,0";"19,8";"20,0";"19,7";"1013,1";"1013,3";"1012,9";"4,3";"";"7,6";"";"0,0"
"01/01/2023";"0500";"21,2";"21,5";"21,2";"92,0";"92,0";"91,0";"19,8";"20,0";"19,8";"1012,4";"1013,1";"1012,4";"4,6";"";"6,4";"";"0,0"
"01/01/2023";"0600";"21,1";"21,2";"21,0";"93,0";"93,0";"92,0";"19,9";"20,0";"19,7";"1012,1";"1012,4";"1012,1";"4,3";"";"6,7";"";"0,0"
"01/01/2023";"0700";"20,9";"21,1";"20,9";"94,0";"94,0";"93,0";"19,9";"19,9";"19,8";"1011,7";"1012,1";"1011,7";"4,9";"";"6,9";"";"0,0"
"01/01/2023";"0800";"20,8";"21,0";"20,8";"94,0";"94,0";"94,0";"19,8";"20,0";"19,8";"1011,8";"1011,8";"1011,5";"5,0";"";"7,4";"";"0,0"
"01/01/2023";"0900";"21,2";"21,2";"20,8";"94,0";"94,0";"94,0";"20,3";"20,3";"19,8";"1012,1";"1012,1";"1011,8";"4,1";"";"6,6";"40,60";"0,0"
"01/01/2023";"1000";"22,2";"22,2";"21,2";"93,0";"94,0";"93,0";"21,0";"21,1";"20,3";"1012,3";"1012,3";"1012,0";"3,4";"";"6,4";"428,30";"0,0"
"01/01/2023";"1100";"23,0";"23,0";"22,1";"91,0";"93,0";"91,0";"21,4";"21,5";"20,8";"1012,5";"1012,5";"1012,2";"4,1";"";"6,3";"724,20";"0,0"
"01/01/2023";"1200";"24,1";"24,1";"22,9";"88,0";"91,0";"87,0";"21,9";"22,0";"21,3";"1012,3";"1012,5";"1012,3";"3,9";"";"6,3";"1170,40";"0,0"
"01/01/2023";"1300";"25,6";"26,2";"24,1";"80,0";"88,0";"79,0";"21,8";"22,8";"21,6";"1012,1";"1012,3";"1012,1";"4,1";"";"5,8";"2237,30";"0,0"
"01/01/2023";"1400";"26,5";"26,9";"25,3";"76,0";"81,0";"76,0";"22,0";"22,7";"21,5";"1011,9";"1012,1";"1011,9";"4,8";"";"6,9";"2975,50";"0,0"
"01/01/2023";"1500";"26,1";"26,9";"25,3";"80,0";"81,0";"76,0";"22,4";"22,8";"21,3";"1011,2";"1011,9";"1011,2";"5,8";"";"8,7";"3489,00";"0,0"
"01/01/2023";"1600";"25,4";"26,1";"25,1";"84,0";"85,0";"80,0";"22,5";"22,9";"21,5";"1010,4";"1011,2";"1010,3";"6,6";"";"9,4";"3035,80";"0,0"
"01/01/2023";"1700";"26,6";"26,7";"24,6";"82,0";"87,0";"82,0";"23,3";"23,7";"21,9";"1009,6";"1010,4";"1009,6";"6,4";"";"9,7";"2721,50";"0,0"
"01/01/2023";"1800";"25,4";"26,6";"25,0";"83,0";"85,0";"81,0";"22,3";"23,4";"21,9";"1008,9";"1009,6";"1008,9";"6,9";"";"9,7";"2860,50";"0,0"
"01/01/2023";"1900";"25,3";"25,6";"24,6";"84,0";"87,0";"83,0";"22,4";"22,9";"21,8";"1008,6";"1008,9";"1008,5";"8,0";"";"11,8";"2755,20";"0,0"
"01/01/2023";"2000";"24,7";"25,3";"23,8";"89,0";"90,0";"84,0";"22,6";"22,6";"21,7";"1007,7";"1008,6";"1007,6";"7,9";"";"12,7";"1490,90";"0,0"
"01/01/2023";"2100";"23,6";"24,7";"23,6";"90,0";"90,0";"87,0";"21,9";"22,6";"21,8";"1007,0";"1007,8";"1007,0";"7,2";"";"12,8";"1002,40";"0,0"
"01/01/2023";"2200";"23,3";"23,7";"23,3";"91,0";"91,0";"90,0";"21,7";"22,1";"21,7";"1006,3";"1007,0";"1006,3";"7,7";"";"12,9";"428,40";"0,0"
"01/01/2023";"2300";"23,4";"23,4";"23,2";"91,0";"92,0";"91,0";"21,8";"21,9";"21,7";"1006,2";"1006,3";"1005,9";"7,9";"";"13,4";"51,80";"0,0"
"02/01/2023";"0000";"23,2";"23,5";"23,2";"92,0";"92,0";"91,0";"21,9";"22,0";"21,8";"1006,0";"1006,4";"1005,8";"7,3";"";"11,9";"";"0,0"
"02/01/2023";"0100";"23,4";"23,4";"23,1";"92,0";"93,0";"92,0";"22,1";"22,1";"21,9";"1006,3";"1006,4";"1006,0";"4,5";"";"10,8";"";"0,0"
"02/01/2023";"0200";"23,7";"23,7";"23,4";"93,0";"93,0";"92,0";"22,4";"22,4";"22,1";"1006,3";"1006,7";"1006,3";"4,2";"";"7,1";"";"0,0"
"02/01/2023";"0300";"23,9";"23,9";"23,7";"92,0";"93,0";"92,0";"22,5";"22,5";"22,4";"1005,5";"1006,3";"1005,5";"4,6";"";"8,8";"";"0,0"
"02/01/2023";"0400";"24,3";"24,4";"23,9";"90,0";"92,0";"89,0";"22,5";"22,5";"22,4";"1004,2";"1005,9";"1004,2";"6,3";"";"12,1";"";"0,0"
"02/01/2023";"0500";"25,0";"25,0";"24,2";"85,0";"90,0";"85,0";"22,2";"22,6";"22,2";"1003,1";"1004,2";"1003,1";"5,4";"";"12,1";"";"0,0"
"02/01/2023";"0600";"24,9";"25,3";"24,9";"80,0";"85,0";"78,0";"21,2";"22,1";"21,1";"1003,3";"1003,6";"1002,9";"4,9";"";"11,1";"";"0,0"
"02/01/2023";"0700";"23,4";"24,9";"23,4";"82,0";"82,0";"78,0";"20,3";"21,2";"20,2";"1002,6";"1003,2";"1002,6";"4,5";"";"9,8";"";"0,0"
"02/01/2023";"0800";"23,3";"23,4";"22,8";"86,0";"88,0";"82,0";"20,9";"21,0";"20,3";"1002,5";"1002,6";"1002,3";"5,1";"";"8,2";"";"0,0"
"02/01/2023";"0900";"22,8";"23,3";"22,8";"89,0";"89,0";"85,0";"21,0";"21,0";"20,5";"1003,0";"1003,1";"1002,5";"3,8";"";"9,4";"25,50";"0,0"
"02/01/2023";"1000";"23,4";"23,5";"22,8";"91,0";"92,0";"89,0";"21,9";"22,1";"21,0";"1003,5";"1003,6";"1002,9";"3,5";"";"6,5";"437,20";"0,0"
"02/01/2023";"1100";"24,4";"24,6";"23,4";"82,0";"92,0";"82,0";"21,1";"22,9";"21,1";"1004,1";"1004,1";"1003,5";"4,8";"";"8,7";"814,40";"0,0"
"02/01/2023";"1200";"23,7";"24,9";"23,7";"77,0";"82,0";"75,0";"19,4";"21,0";"19,4";"1004,6";"1004,7";"1004,1";"4,8";"";"9,3";"800,40";"0,0"
"02/01/2023";"1300";"22,9";"24,2";"22,9";"79,0";"79,0";"76,0";"19,1";"19,9";"19,1";"1004,5";"1004,7";"1004,4";"5,8";"";"9,6";"432,70";"0,0"
"02/01/2023";"1400";"22,9";"23,0";"20,9";"88,0";"92,0";"79,0";"20,9";"21,4";"18,6";"1003,6";"1004,8";"1003,6";"4,2";"";"10,7";"1364,10";"0,2"
"02/01/2023";"1500";"25,7";"25,8";"22,9";"65,0";"89,0";"65,0";"18,7";"22,1";"18,6";"1003,3";"1003,6";"1003,1";"6,3";"";"12,3";"2258,10";"0,0"
